,accuracy_2d_0c,accuracy_2d_1c,accuracy_2d_2c,accuracy_3d_0c,accuracy_3d_1c,accuracy_3d_2c,accuracy_3d_3c,accuracy_test,accuracy_train,batch_size,beta1,beta2,block_size,checkpoint_name,data_dir,decoder,dropout,eval_interval,lr_decay_iters,max_evals_without_improving,max_iters,max_loss_for_early_stopping,max_lr,min_lr,model_dir,n_2d_0c,n_2d_1c,n_2d_2c,n_3d_0c,n_3d_1c,n_3d_2c,n_3d_3c,n_correct_2d_0c,n_correct_2d_1c,n_correct_2d_2c,n_correct_3d_0c,n_correct_3d_1c,n_correct_3d_2c,n_correct_3d_3c,n_correct_test,n_correct_train,n_digits,n_embd,n_head,n_layer,n_test,n_train,n_val,name,resample_data,results_dir,resume,seed,task,test_batch_size,use_delimiter,warmup_iters,weight_decay
0,0.8575170246202201,0.8554469273743017,0.9013199245757384,0.7683809523809524,0.8547785240791957,0.8674966446059148,0.8942857142857142,0.8518428571428571,,64,0.9,0.99,64,10k_plain_addition_decoder_3.pt,data/addition,True,0.0,100,5000,10,8000,1.1,0.0005,5e-05,models,1909,2864,1591,10500,22779,21607,8750,1637,2450,1434,8068,19471,18744,7825,59629,,3,384,6,6,70000,10000,10000,10k_plain_addition_decoder_3,True,results/10k,False,3,plain_addition,2048,True,100,0.1
1,0.5123101100052383,0.5691340782122905,0.6385920804525456,0.791047619047619,0.8830940778787479,0.9134076919516824,0.8928,0.8513428571428572,,64,0.9,0.99,64,10k_plain_addition_decoder_2.pt,data/addition,True,0.0,100,5000,10,8000,1.1,0.0005,5e-05,models,1909,2864,1591,10500,22779,21607,8750,978,1630,1016,8306,20116,19736,7812,59594,,3,384,6,6,70000,10000,10000,10k_plain_addition_decoder_2,True,results/10k,False,2,plain_addition,2048,True,100,0.1
2,0.7920377160817181,0.7901536312849162,0.9270898805782528,0.8973333333333333,0.913297335264937,0.9359466839450178,0.9275428571428572,0.9116428571428572,,64,0.9,0.99,64,10k_plain_addition_decoder_4.pt,data/addition,True,0.0,100,5000,10,8000,1.1,0.0005,5e-05,models,1909,2864,1591,10500,22779,21607,8750,1512,2263,1475,9422,20804,20223,8116,63815,,3,384,6,6,70000,10000,10000,10k_plain_addition_decoder_4,True,results/10k,False,4,plain_addition,2048,True,100,0.1
3,0.998952331063384,0.9685754189944136,0.9849151477058454,0.991904761904762,0.9916150840686596,0.9963437774795204,0.9976,0.9929714285714286,,64,0.9,0.99,64,10k_reversed_addition_decoder_3.pt,data/addition,True,0.0,100,5000,10,8000,1.1,0.0005,5e-05,models,1909,2864,1591,10500,22779,21607,8750,1907,2774,1567,10415,22588,21528,8729,69508,,3,384,6,6,70000,10000,10000,10k_reversed_addition_decoder_3,True,results/10k,False,3,reversed_addition,2048,True,100,0.1
4,0.927187008905186,0.9539106145251396,0.9780012570710244,0.9838095238095238,0.9918345844857104,0.9993983431295412,0.9998857142857144,0.9903428571428572,,64,0.9,0.99,64,10k_reversed_addition_encoder_3.pt,data/addition,False,0.0,100,5000,10,8000,1.1,0.0005,5e-05,models,1909,2864,1591,10500,22779,21607,8750,1770,2732,1556,10330,22593,21594,8749,69324,,3,384,6,6,70000,10000,10000,10k_reversed_addition_encoder_3,True,results/10k,False,3,reversed_addition,2048,True,100,0.1
5,0.9863803038239916,0.981145251396648,0.9868007542426148,0.9857142857142858,0.9844154703893936,0.9874577683158235,0.9979428571428572,0.9872142857142856,,64,0.9,0.99,64,10k_reversed_addition_encoder_0.pt,data/addition,False,0.0,100,5000,10,8000,1.1,0.0005,5e-05,models,1909,2864,1591,10500,22779,21607,8750,1883,2810,1570,10350,22424,21336,8732,69105,,3,384,6,6,70000,10000,10000,10k_reversed_addition_encoder_0,True,results/10k,False,0,reversed_addition,2048,True,100,0.1
6,0.6851754845468832,0.8226256983240223,0.9107479572595852,0.8887619047619048,0.95566091575574,0.9829684824362476,0.9845714285714284,0.9438285714285716,,64,0.9,0.99,64,10k_plain_addition_encoder_3.pt,data/addition,False,0.0,100,5000,10,8000,1.1,0.0005,5e-05,models,1909,2864,1591,10500,22779,21607,8750,1308,2356,1449,9332,21769,21239,8615,66068,,3,384,6,6,70000,10000,10000,10k_plain_addition_encoder_3,True,results/10k,False,3,plain_addition,2048,True,100,0.1
7,0.6830801466736511,0.8505586592178771,0.9478315524827152,0.8685714285714285,0.9647482330216428,0.9830147637339752,0.9939428571428572,0.9468714285714286,,64,0.9,0.99,64,10k_plain_addition_encoder_4.pt,data/addition,False,0.0,100,5000,10,8000,1.1,0.0005,5e-05,models,1909,2864,1591,10500,22779,21607,8750,1304,2436,1508,9120,21976,21240,8697,66281,,3,384,6,6,70000,10000,10000,10k_plain_addition_encoder_4,True,results/10k,False,4,plain_addition,2048,True,100,0.1
8,0.9109481403876376,0.9245810055865922,0.8900062853551226,0.9281904761904762,0.9315158698801528,0.93839959272458,0.9145142857142856,0.9292285714285714,,64,0.9,0.99,64,10k_plain_addition_decoder_0.pt,data/addition,True,0.0,100,5000,10,8000,1.1,0.0005,5e-05,models,1909,2864,1591,10500,22779,21607,8750,1739,2648,1416,9746,21219,20276,8002,65046,,3,384,6,6,70000,10000,10000,10k_plain_addition_decoder_0,True,results/10k,False,0,plain_addition,2048,True,100,0.1
9,0.9764274489261392,0.9839385474860336,0.96291640477687,0.963047619047619,0.986917200807797,0.9929652427454064,0.9964575477088332,0.9854428571428572,,64,0.9,0.99,64,10k_reversed_addition_encoder_1.pt,data/addition,False,0.0,100,5000,10,8000,1.1,0.0005,5e-05,models,1909,2864,1591,10500,22778,21607,8751,1864,2818,1532,10112,22480,21455,8720,68981,,3,384,6,6,70000,10000,10000,10k_reversed_addition_encoder_1,True,results/10k,False,1,reversed_addition,2048,True,100,0.1
10,0.8035620743844945,0.8928072625698324,0.9855436832181018,0.9658095238095238,0.9837130690548312,0.9893553015226548,0.9953142857142856,0.9756285714285714,,64,0.9,0.99,64,10k_reversed_addition_encoder_4.pt,data/addition,False,0.0,100,5000,10,8000,1.1,0.0005,5e-05,models,1909,2864,1591,10500,22779,21607,8750,1534,2557,1568,10141,22408,21377,8709,68294,,3,384,6,6,70000,10000,10000,10k_reversed_addition_encoder_4,True,results/10k,False,4,reversed_addition,2048,True,100,0.1
11,0.9518072289156626,0.9619413407821228,0.977372721558768,0.947047619047619,0.965670134773256,0.9741750358680056,0.9829714285714286,0.9674,,64,0.9,0.99,64,10k_reversed_addition_encoder_2.pt,data/addition,False,0.0,100,5000,10,8000,1.1,0.0005,5e-05,models,1909,2864,1591,10500,22779,21607,8750,1817,2755,1555,9944,21997,21049,8601,67718,,3,384,6,6,70000,10000,10000,10k_reversed_addition_encoder_2,True,results/10k,False,2,reversed_addition,2048,True,100,0.1
