"Step","clutrr_finetuning_encoder - val_accuracy","clutrr_finetuning_encoder - val_accuracy__MIN","clutrr_finetuning_encoder - val_accuracy__MAX","clutrr_finetuning_decoder - val_accuracy","clutrr_finetuning_decoder - val_accuracy__MIN","clutrr_finetuning_decoder - val_accuracy__MAX"
"2050","0.9783457578984736","0.9783457578984736","0.9783457578984736","0.9726659566915158","0.9726659566915158","0.9726659566915158"
"2100","0.9829605963791267","0.9829605963791267","0.9829605963791267","0.9762158324458644","0.9762158324458644","0.9762158324458644"
"2150","0.9854455094071708","0.9854455094071708","0.9854455094071708","0.9676961306354278","0.9676961306354278","0.9676961306354278"
"2200","0.982250621228257","0.982250621228257","0.982250621228257","0.9708910188143415","0.9708910188143415","0.9708910188143415"
"2250","0.9818956336528222","0.9818956336528222","0.9818956336528222","0.9691160809371672","0.9691160809371672","0.9691160809371672"
"2300","0.9833155839545616","0.9833155839545616","0.9833155839545616","0.9648562300319489","0.9648562300319489","0.9648562300319489"
"2350","0.9879304224352148","0.9879304224352148","0.9879304224352148","0.9740859069932553","0.9740859069932553","0.9740859069932553"
"2400","0.984735534256301","0.984735534256301","0.984735534256301","0.9705360312389066","0.9705360312389066","0.9705360312389066"
"2450","0.9811856585019524","0.9811856585019524","0.9811856585019524","0.9779907703230387","0.9779907703230387","0.9779907703230387"
"2500","0.9804756833510827","0.9804756833510827","0.9804756833510827","0.9701810436634718","0.9701810436634718","0.9701810436634718"
"2550","0.9833155839545616","0.9833155839545616","0.9833155839545616","0.9769258075967341","0.9769258075967341","0.9769258075967341"
"2600","0.9854455094071708","0.9854455094071708","0.9854455094071708","0.9801206957756479","0.9801206957756479","0.9801206957756479"
"2650","0.9911253106141285","0.9911253106141285","0.9911253106141285","0.969471068512602","0.969471068512602","0.969471068512602"
"2700","0.9843805466808662","0.9843805466808662","0.9843805466808662","0.9787007454739084","0.9787007454739084","0.9787007454739084"
"2750","0.9850905218317358","0.9850905218317358","0.9850905218317358","0.9801206957756479","0.9801206957756479","0.9801206957756479"
"2800","0.9840255591054313","0.9840255591054313","0.9840255591054313","0.9794107206247782","0.9794107206247782","0.9794107206247782"
"2850","0.9861554845580405","0.9861554845580405","0.9861554845580405","0.9719559815406461","0.9719559815406461","0.9719559815406461"
"2900","0.9865104721334753","0.9865104721334753","0.9865104721334753","0.9762158324458644","0.9762158324458644","0.9762158324458644"
"2950","0.9854455094071708","0.9854455094071708","0.9854455094071708","0.9779907703230387","0.9779907703230387","0.9779907703230387"
"3000","0.9889953851615193","0.9889953851615193","0.9889953851615193","0.9818956336528222","0.9818956336528222","0.9818956336528222"
"3050","0.987220447284345","0.987220447284345","0.987220447284345","0.982250621228257","0.982250621228257","0.982250621228257"
"3100","0.9868654597089102","0.9868654597089102","0.9868654597089102","0.9794107206247782","0.9794107206247782","0.9794107206247782"
"3150","0.987220447284345","0.987220447284345","0.987220447284345","0.9811856585019524","0.9811856585019524","0.9811856585019524"
"3200","0.9882854100106496","0.9882854100106496","0.9882854100106496","0.9826056088036919","0.9826056088036919","0.9826056088036919"
"3250","0.9836705715299965","0.9836705715299965","0.9836705715299965","0.9829605963791267","0.9829605963791267","0.9829605963791267"
"3300","0.9900603478878239","0.9900603478878239","0.9900603478878239","0.9779907703230387","0.9779907703230387","0.9779907703230387"
"3350","0.9858004969826056","0.9858004969826056","0.9858004969826056","0.9833155839545616","0.9833155839545616","0.9833155839545616"
"3400","0.9882854100106496","0.9882854100106496","0.9882854100106496","0.9826056088036919","0.9826056088036919","0.9826056088036919"
"3450","0.9897053603123891","0.9897053603123891","0.9897053603123891","0.9808306709265175","0.9808306709265175","0.9808306709265175"
"3500","0.9882854100106496","0.9882854100106496","0.9882854100106496","0.9726659566915158","0.9726659566915158","0.9726659566915158"
"3550","0.9907703230386936","0.9907703230386936","0.9907703230386936","0.9836705715299965","0.9836705715299965","0.9836705715299965"
"3600","0.9897053603123891","0.9897053603123891","0.9897053603123891","0.9804756833510827","0.9804756833510827","0.9804756833510827"
"3650","0.9911253106141285","0.9911253106141285","0.9911253106141285","0.9808306709265175","0.9808306709265175","0.9808306709265175"
"3700","0.9861554845580405","0.9861554845580405","0.9861554845580405","0.9833155839545616","0.9833155839545616","0.9833155839545616"
"3750","0.9879304224352148","0.9879304224352148","0.9879304224352148","0.9765708200212992","0.9765708200212992","0.9765708200212992"
"3800","0.9804756833510827","0.9804756833510827","0.9804756833510827","0.984735534256301","0.984735534256301","0.984735534256301"
"3850","0.987220447284345","0.987220447284345","0.987220447284345","0.9794107206247782","0.9794107206247782","0.9794107206247782"
"3900","0.9889953851615193","0.9889953851615193","0.9889953851615193","0.9843805466808662","0.9843805466808662","0.9843805466808662"
"3950","0.9882854100106496","0.9882854100106496","0.9882854100106496","0.9808306709265175","0.9808306709265175","0.9808306709265175"
"4000","0.9843805466808662","0.9843805466808662","0.9843805466808662","0.9776357827476039","0.9776357827476039","0.9776357827476039"
"4050","0.9893503727369543","0.9893503727369543","0.9893503727369543","0.9818956336528222","0.9818956336528222","0.9818956336528222"
"4100","0.9932552360667377","0.9932552360667377","0.9932552360667377","0.9804756833510827","0.9804756833510827","0.9804756833510827"
"4150","0.9925452609158679","0.9925452609158679","0.9925452609158679","0.9769258075967341","0.9769258075967341","0.9769258075967341"
"4200","0.9921902733404331","0.9921902733404331","0.9921902733404331","0.979765708200213","0.979765708200213","0.979765708200213"
"4250","0.9914802981895634","0.9914802981895634","0.9914802981895634","0.982250621228257","0.982250621228257","0.982250621228257"
"4300","0.9886403975860845","0.9886403975860845","0.9886403975860845","0.9826056088036919","0.9826056088036919","0.9826056088036919"
"4350","0.9861554845580405","0.9861554845580405","0.9861554845580405","0.9826056088036919","0.9826056088036919","0.9826056088036919"
"4400","0.9929002484913028","0.9929002484913028","0.9929002484913028","0.9804756833510827","0.9804756833510827","0.9804756833510827"
"4450","0.9932552360667377","0.9932552360667377","0.9932552360667377","0.9808306709265175","0.9808306709265175","0.9808306709265175"
"4500","0.9914802981895634","0.9914802981895634","0.9914802981895634","0.9861554845580405","0.9861554845580405","0.9861554845580405"
"4550","0.9921902733404331","0.9921902733404331","0.9921902733404331","0.9850905218317358","0.9850905218317358","0.9850905218317358"
"4600","0.9932552360667377","0.9932552360667377","0.9932552360667377","0.9733759318423855","0.9733759318423855","0.9733759318423855"
"4650","0.9900603478878239","0.9900603478878239","0.9900603478878239","0.9776357827476039","0.9776357827476039","0.9776357827476039"
"4700","0.9893503727369543","0.9893503727369543","0.9893503727369543","0.9776357827476039","0.9776357827476039","0.9776357827476039"
"4750","0.9875754348597799","0.9875754348597799","0.9875754348597799","0.9794107206247782","0.9794107206247782","0.9794107206247782"
"4800","0.9868654597089102","0.9868654597089102","0.9868654597089102","0.9833155839545616","0.9833155839545616","0.9833155839545616"
"4850","0.9840255591054313","0.9840255591054313","0.9840255591054313","0.9826056088036919","0.9826056088036919","0.9826056088036919"
