"Step","clutrr_finetuning_7.5k_encoder - val_accuracy","clutrr_finetuning_7.5k_encoder - val_accuracy__MIN","clutrr_finetuning_7.5k_encoder - val_accuracy__MAX","clutrr_finetuning_7.5k_decoder - val_accuracy","clutrr_finetuning_7.5k_decoder - val_accuracy__MIN","clutrr_finetuning_7.5k_decoder - val_accuracy__MAX","clutrr_finetuning_5k_encoder - val_accuracy","clutrr_finetuning_5k_encoder - val_accuracy__MIN","clutrr_finetuning_5k_encoder - val_accuracy__MAX","clutrr_finetuning_5k_decoder - val_accuracy","clutrr_finetuning_5k_decoder - val_accuracy__MIN","clutrr_finetuning_5k_decoder - val_accuracy__MAX","clutrr_finetuning_2.5k_encoder - val_accuracy","clutrr_finetuning_2.5k_encoder - val_accuracy__MIN","clutrr_finetuning_2.5k_encoder - val_accuracy__MAX","clutrr_finetuning_2.5k_decoder - val_accuracy","clutrr_finetuning_2.5k_decoder - val_accuracy__MIN","clutrr_finetuning_2.5k_decoder - val_accuracy__MAX","clutrr_finetuning_10k_encoder - val_accuracy","clutrr_finetuning_10k_encoder - val_accuracy__MIN","clutrr_finetuning_10k_encoder - val_accuracy__MAX","clutrr_finetuning_10k_decoder - val_accuracy","clutrr_finetuning_10k_decoder - val_accuracy__MIN","clutrr_finetuning_10k_decoder - val_accuracy__MAX"
"550","0.724174653887114","0.724174653887114","0.724174653887114","0.7373091941782037","0.7373091941782037","0.7373091941782037","0.6435924742634008","0.6435924742634008","0.6435924742634008","0.6514022009229677","0.6514022009229677","0.6514022009229677","0.4053958111466099","0.4053958111466099","0.4053958111466099","0.4249201277955272","0.4249201277955272","0.4249201277955272","0.8832090876819312","0.8832090876819312","0.8832090876819312","0.8867589634362797","0.8867589634362797","0.8867589634362797"
"600","0.7539936102236422","0.7539936102236422","0.7539936102236422","0.7479588214412496","0.7479588214412496","0.7479588214412496","0.6592119275825347","0.6592119275825347","0.6592119275825347","0.6478523251686191","0.6478523251686191","0.6478523251686191","0.3961661341853035","0.3961661341853035","0.3961661341853035","0.4263400780972666","0.4263400780972666","0.4263400780972666","0.8800141995030174","0.8800141995030174","0.8800141995030174","0.8974085906993255","0.8974085906993255","0.8974085906993255"
"650","0.7600283990060348","0.7600283990060348","0.7600283990060348","0.7713880014199503","0.7713880014199503","0.7713880014199503","0.6712815051473199","0.6712815051473199","0.6712815051473199","0.6592119275825347","0.6592119275825347","0.6592119275825347","0.40894568690095845","0.40894568690095845","0.40894568690095845","0.41214057507987223","0.41214057507987223","0.41214057507987223","0.8906638267660631","0.8906638267660631","0.8906638267660631","0.8878239261625843","0.8878239261625843","0.8878239261625843"
"700","0.7653532126375577","0.7653532126375577","0.7653532126375577","0.774582889598864","0.774582889598864","0.774582889598864","0.6577919772807952","0.6577919772807952","0.6577919772807952","0.6624068157614483","0.6624068157614483","0.6624068157614483","0.4114305999290025","0.4114305999290025","0.4114305999290025","0.4263400780972666","0.4263400780972666","0.4263400780972666","0.9144479943201987","0.9144479943201987","0.9144479943201987","0.9116080937167199","0.9116080937167199","0.9116080937167199"
"750","0.7831025914093007","0.7831025914093007","0.7831025914093007","0.7770678026269081","0.7770678026269081","0.7770678026269081","0.6847710330138446","0.6847710330138446","0.6847710330138446","0.6705715299964501","0.6705715299964501","0.6705715299964501","0.410010649627263","0.410010649627263","0.410010649627263","0.43024494142705005","0.43024494142705005","0.43024494142705005","0.933972310969116","0.933972310969116","0.933972310969116","0.9272275470358537","0.9272275470358537","0.9272275470358537"
"800","0.7756478523251686","0.7756478523251686","0.7756478523251686","0.7735179268725595","0.7735179268725595","0.7735179268725595","0.6805111821086262","0.6805111821086262","0.6805111821086262","0.6716364927227547","0.6716364927227547","0.6716364927227547","0.3752218672346468","0.3752218672346468","0.3752218672346468","0.4220802271920483","0.4220802271920483","0.4220802271920483","0.9410720624778133","0.9410720624778133","0.9410720624778133","0.9236776712815051","0.9236776712815051","0.9236776712815051"
"850","0.7760028399006035","0.7760028399006035","0.7760028399006035","0.7859424920127795","0.7859424920127795","0.7859424920127795","0.6808661696840611","0.6808661696840611","0.6808661696840611","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.41072062477813276","0.41072062477813276","0.41072062477813276","0.4188853390131345","0.4188853390131345","0.4188853390131345","0.941782037628683","0.941782037628683","0.941782037628683","0.9329073482428115","0.9329073482428115","0.9329073482428115"
"900","0.8065317713880015","0.8065317713880015","0.8065317713880015","0.7788427405040823","0.7788427405040823","0.7788427405040823","0.6851260205892794","0.6851260205892794","0.6851260205892794","0.6719914802981896","0.6719914802981896","0.6719914802981896","0.410010649627263","0.410010649627263","0.410010649627263","0.4164004259850905","0.4164004259850905","0.4164004259850905","0.9524316648917288","0.9524316648917288","0.9524316648917288","0.9371671991480298","0.9371671991480298","0.9371671991480298"
"950","0.8132765353212638","0.8132765353212638","0.8132765353212638","0.7887823926162584","0.7887823926162584","0.7887823926162584","0.6950656727014555","0.6950656727014555","0.6950656727014555","0.6723464678736244","0.6723464678736244","0.6723464678736244","0.4057507987220447","0.4057507987220447","0.4057507987220447","0.4298899538516152","0.4298899538516152","0.4298899538516152","0.946751863684771","0.946751863684771","0.946751863684771","0.916222932197373","0.916222932197373","0.916222932197373"
"1000","0.7884274050408235","0.7884274050408235","0.7884274050408235","0.7990770323038694","0.7990770323038694","0.7990770323038694","0.6922257720979765","0.6922257720979765","0.6922257720979765","0.6805111821086262","0.6805111821086262","0.6805111821086262","0.4068157614483493","0.4068157614483493","0.4068157614483493","0.42882499112531064","0.42882499112531064","0.42882499112531064","0.9591764288249911","0.9591764288249911","0.9591764288249911","0.9361022364217252","0.9361022364217252","0.9361022364217252"
