"Step","reversed_addition_len_gen_extra_small_deep_decoder_1_fixed - val_acc","reversed_addition_len_gen_extra_small_deep_decoder_1_fixed - val_acc__MIN","reversed_addition_len_gen_extra_small_deep_decoder_1_fixed - val_acc__MAX"
"500","0","0","0"
"1000","0.0001","0.0001","0.0001"
"1500","0","0","0"
"2000","0.0004","0.0004","0.0004"
"2500","0.0006","0.0006","0.0006"
"3000","0.001","0.001","0.001"
"3500","0.016","0.016","0.016"
"4000","0.0157","0.0157","0.0157"
"4500","0.0229","0.0229","0.0229"
"5000","0.0285","0.0285","0.0285"
"5500","0.0492","0.0492","0.0492"
"6000","0.515","0.515","0.515"
"6500","0.4543","0.4543","0.4543"
"7000","0.7889","0.7889","0.7889"
"7500","0.7395","0.7395","0.7395"
"8000","0.7839","0.7839","0.7839"
"8500","0.4804","0.4804","0.4804"
"9000","0.7174","0.7174","0.7174"
"9500","0.8673","0.8673","0.8673"
"10000","0.7995","0.7995","0.7995"
"10500","0.8896","0.8896","0.8896"
"11000","0.8545","0.8545","0.8545"
"11500","0.6194","0.6194","0.6194"
"12000","0.8013","0.8013","0.8013"
"12500","0.7277","0.7277","0.7277"
"13000","0.9112","0.9112","0.9112"
"13500","0.9116","0.9116","0.9116"
"14000","0.8665","0.8665","0.8665"
"14500","0.8744","0.8744","0.8744"
"15000","0.9082","0.9082","0.9082"
"15500","0.8203","0.8203","0.8203"
"16000","0.7503","0.7503","0.7503"
"16500","0.9333","0.9333","0.9333"
"17000","0.7588","0.7588","0.7588"
"17500","0.9501","0.9501","0.9501"
"18000","0.9348","0.9348","0.9348"
"18500","0.7736","0.7736","0.7736"
"19000","0.9678","0.9678","0.9678"
"19500","0.7498","0.7498","0.7498"
"20000","0.887","0.887","0.887"
"20500","0.9322","0.9322","0.9322"
"21000","0.959","0.959","0.959"
"21500","0.9232","0.9232","0.9232"
"22000","0.9537","0.9537","0.9537"
"22500","0.8936","0.8936","0.8936"
"23000","0.9176","0.9176","0.9176"
"23500","0.9569","0.9569","0.9569"
"24000","0.8791","0.8791","0.8791"
"24500","0.9033","0.9033","0.9033"
"25000","0.9601","0.9601","0.9601"
"25500","0.9517","0.9517","0.9517"
"26000","0.9564","0.9564","0.9564"
"26500","0.9123","0.9123","0.9123"
"27000","0.9302","0.9302","0.9302"
"27500","0.8475","0.8475","0.8475"
"28000","0.9723","0.9723","0.9723"
"28500","0.8246","0.8246","0.8246"
"29000","0.8752","0.8752","0.8752"
"29500","0.9399","0.9399","0.9399"
"30000","0.8508","0.8508","0.8508"
"30500","0.9533","0.9533","0.9533"
"31000","0.9706","0.9706","0.9706"
"31500","0.9743","0.9743","0.9743"
"32000","0.9471","0.9471","0.9471"
"32500","0.5512","0.5512","0.5512"
"33000","0.985","0.985","0.985"
"33500","0.9787","0.9787","0.9787"
"34000","0.8894","0.8894","0.8894"
"34500","0.9759","0.9759","0.9759"
"35000","0.9767","0.9767","0.9767"
"35500","0.9908","0.9908","0.9908"
"36000","0.9629","0.9629","0.9629"
"36500","0.9655","0.9655","0.9655"
"37000","0.9829","0.9829","0.9829"
"37500","0.9702","0.9702","0.9702"
"38000","0.9877","0.9877","0.9877"
"38500","0.9585","0.9585","0.9585"
"39000","0.9687","0.9687","0.9687"
"39500","0.8945","0.8945","0.8945"
"40000","0.937","0.937","0.937"
"40500","0.9797","0.9797","0.9797"
"41000","0.9857","0.9857","0.9857"
"41500","0.9678","0.9678","0.9678"
"42000","0.9488","0.9488","0.9488"
"42500","0.977","0.977","0.977"
"43000","0.9869","0.9869","0.9869"
"43500","0.9811","0.9811","0.9811"
"44000","0.9859","0.9859","0.9859"
"44500","0.9857","0.9857","0.9857"
"45000","0.987","0.987","0.987"
"45500","0.9529","0.9529","0.9529"
"46000","0.9795","0.9795","0.9795"
"46500","0.9772","0.9772","0.9772"
"47000","0.8982","0.8982","0.8982"
"47500","0.975","0.975","0.975"
"48000","0.9797","0.9797","0.9797"
"48500","0.9946","0.9946","0.9946"
"49000","0.9538","0.9538","0.9538"
"49500","0.9946","0.9946","0.9946"
"50000","0.9891","0.9891","0.9891"
