"Step","reversed_addition_len_gen_extra_small_deep_decoder_0_fixed - val_loss","reversed_addition_len_gen_extra_small_deep_decoder_0_fixed - val_loss__MIN","reversed_addition_len_gen_extra_small_deep_decoder_0_fixed - val_loss__MAX"
"500","2.074134712219238","2.074134712219238","2.074134712219238"
"1000","2.0507350540161133","2.0507350540161133","2.0507350540161133"
"1500","2.051529130935669","2.051529130935669","2.051529130935669"
"2000","2.0349749183654784","2.0349749183654784","2.0349749183654784"
"2500","2.016766061782837","2.016766061782837","2.016766061782837"
"3000","1.9956464576721191","1.9956464576721191","1.9956464576721191"
"3500","1.8910142135620118","1.8910142135620118","1.8910142135620118"
"4000","1.8466256713867188","1.8466256713867188","1.8466256713867188"
"4500","1.7993858242034912","1.7993858242034912","1.7993858242034912"
"5000","1.8172386932373046","1.8172386932373046","1.8172386932373046"
"5500","1.833789734840393","1.833789734840393","1.833789734840393"
"6000","1.7553802490234376","1.7553802490234376","1.7553802490234376"
"6500","1.7342540311813355","1.7342540311813355","1.7342540311813355"
"7000","1.725251135826111","1.725251135826111","1.725251135826111"
"7500","1.7329924058914186","1.7329924058914186","1.7329924058914186"
"8000","1.7151837873458862","1.7151837873458862","1.7151837873458862"
"8500","1.7008694219589233","1.7008694219589233","1.7008694219589233"
"9000","1.6408547735214234","1.6408547735214234","1.6408547735214234"
"9500","1.641292281150818","1.641292281150818","1.641292281150818"
"10000","1.6252472305297851","1.6252472305297851","1.6252472305297851"
"10500","1.646325626373291","1.646325626373291","1.646325626373291"
"11000","1.6584148168563844","1.6584148168563844","1.6584148168563844"
"11500","1.609394016265869","1.609394016265869","1.609394016265869"
"12000","1.5641987037658691","1.5641987037658691","1.5641987037658691"
"12500","1.5363020658493043","1.5363020658493043","1.5363020658493043"
"13000","1.495561170578003","1.495561170578003","1.495561170578003"
"13500","1.7133801794052124","1.7133801794052124","1.7133801794052124"
"14000","1.4887732410430907","1.4887732410430907","1.4887732410430907"
"14500","1.4834462070465089","1.4834462070465089","1.4834462070465089"
"15000","1.4832533693313599","1.4832533693313599","1.4832533693313599"
"15500","1.5097463083267213","1.5097463083267213","1.5097463083267213"
"16000","1.7047232437133788","1.7047232437133788","1.7047232437133788"
"16500","1.4839552307128907","1.4839552307128907","1.4839552307128907"
"17000","1.4790632581710816","1.4790632581710816","1.4790632581710816"
"17500","1.4783735275268555","1.4783735275268555","1.4783735275268555"
"18000","1.4807055711746215","1.4807055711746215","1.4807055711746215"
"18500","1.4770651578903198","1.4770651578903198","1.4770651578903198"
"19000","1.480126643180847","1.480126643180847","1.480126643180847"
"19500","1.4795207786560058","1.4795207786560058","1.4795207786560058"
"20000","1.4801253795623779","1.4801253795623779","1.4801253795623779"
"20500","1.4779232406616212","1.4779232406616212","1.4779232406616212"
"21000","1.4864519357681274","1.4864519357681274","1.4864519357681274"
"21500","1.480691819190979","1.480691819190979","1.480691819190979"
"22000","1.4824134254455565","1.4824134254455565","1.4824134254455565"
"22500","1.4783364486694337","1.4783364486694337","1.4783364486694337"
"23000","1.4791792345046997","1.4791792345046997","1.4791792345046997"
"23500","1.4770382308959962","1.4770382308959962","1.4770382308959962"
"24000","1.4796260452270509","1.4796260452270509","1.4796260452270509"
"24500","1.479546127319336","1.479546127319336","1.479546127319336"
"25000","1.4760830736160278","1.4760830736160278","1.4760830736160278"
"25500","1.4757612466812133","1.4757612466812133","1.4757612466812133"
"26000","1.4740216970443725","1.4740216970443725","1.4740216970443725"
"26500","1.4787025022506715","1.4787025022506715","1.4787025022506715"
"27000","1.4813521575927735","1.4813521575927735","1.4813521575927735"
