"Step","counting_medium_decoder_nope_perm_invariant_0 - accuracy","counting_medium_decoder_nope_perm_invariant_0 - accuracy__MIN","counting_medium_decoder_nope_perm_invariant_0 - accuracy__MAX"
"100","0.6894401210546494","0.6894401210546494","0.6894401210546494"
"200","0.771943382024765","0.771943382024765","0.771943382024765"
"300","0.6115364801883697","0.6115364801883697","0.6115364801883697"
"400","0.7716731995344162","0.7716731995344162","0.7716731995344162"
"500","0.9880110853910447","0.9880110853910447","0.9880110853910447"
"600","0.9571354365348816","0.9571354365348816","0.9571354365348816"
"700","0.9519433790445327","0.9519433790445327","0.9519433790445327"
"800","0.6674902528524399","0.6674902528524399","0.6674902528524399"
"900","0.9899251526594162","0.9899251526594162","0.9899251526594162"
"1000","0.9799772351980209","0.9799772351980209","0.9799772351980209"
"1100","0.8434700709581375","0.8434700709581375","0.8434700709581375"
"1200","0.964908874630928","0.964908874630928","0.964908874630928"
"1300","0.8449511903524399","0.8449511903524399","0.8449511903524399"
"1400","0.9886751508712769","0.9886751508712769","0.9886751508712769"
"1500","0.9968034029006958","0.9968034029006958","0.9968034029006958"
"1600","0.9873112189769745","0.9873112189769745","0.9873112189769745"
"1700","0.9884863495826721","0.9884863495826721","0.9884863495826721"
"1800","0.9969791865348816","0.9969791865348816","0.9969791865348816"
"1900","0.9964290571212768","0.9964290571212768","0.9964290571212768"
"2000","0.9973926001787186","0.9973926001787186","0.9973926001787186"
"2100","0.9970410370826721","0.9970410370826721","0.9970410370826721"
"2200","0.9970703321695328","0.9970703321695328","0.9970703321695328"
"2300","0.9930273622274399","0.9930273622274399","0.9930273622274399"
"2400","0.9986588764190674","0.9986588764190674","0.9986588764190674"
"2500","0.9963086152076721","0.9963086152076721","0.9963086152076721"
"2600","0.9933105647563935","0.9933105647563935","0.9933105647563935"
"2700","0.9980826991796493","0.9980826991796493","0.9980826991796493"
"2800","0.9970345240831375","0.9970345240831375","0.9970345240831375"
"2900","0.9989713722467423","0.9989713722467423","0.9989713722467423"
"3000","0.9982389515638351","0.9982389515638351","0.9982389515638351"
"3100","0.9921679908037185","0.9921679908037185","0.9921679908037185"
"3200","0.9974967628717423","0.9974967628717423","0.9974967628717423"
"3300","0.9989648640155793","0.9989648640155793","0.9989648640155793"
"3400","0.9757747602462769","0.9757747602462769","0.9757747602462769"
"3500","0.9994954562187195","0.9994954562187195","0.9994954562187195"
"3600","0.9994173336029053","0.9994173336029053","0.9994173336029053"
"3700","0.9987760609388352","0.9987760609388352","0.9987760609388352"
"3800","0.9991569209098816","0.9991569209098816","0.9991569209098816"
"3900","0.9995573043823243","0.9995573043823243","0.9995573043823243"
"4000","0.9991894692182541","0.9991894692182541","0.9991894692182541"
"4100","0.9995703268051147","0.9995703268051147","0.9995703268051147"
"4200","0.9993099170923233","0.9993099170923233","0.9993099170923233"
"4300","0.9992610859870911","0.9992610859870911","0.9992610859870911"
"4400","0.9997395914793015","0.9997395914793015","0.9997395914793015"
"4500","0.9998242264986038","0.9998242264986038","0.9998242264986038"
"4600","0.9993977999687195","0.9993977999687195","0.9993977999687195"
"4700","0.999694020152092","0.999694020152092","0.999694020152092"
"4800","0.9996451932191849","0.9996451932191849","0.9996451932191849"
"4900","0.9996777427196503","0.9996777427196503","0.9996777427196503"
"5000","0.9994889491796494","0.9994889491796494","0.9994889491796494"
"5100","0.9995052242279052","0.9995052242279052","0.9995052242279052"
"5200","0.9995377749204636","0.9995377749204636","0.9995377749204636"
"5300","0.9997070395946502","0.9997070395946502","0.9997070395946502"
"5400","0.9997851645946503","0.9997851645946503","0.9997851645946503"
"5500","0.9997395932674408","0.9997395932674408","0.9997395932674408"
"5600","0.9996256631612778","0.9996256631612778","0.9996256631612778"
"5700","0.9998339915275574","0.9998339915275574","0.9998339915275574"
"5800","0.9997168099880218","0.9997168099880218","0.9997168099880218"
"5900","0.9997591215372086","0.9997591215372086","0.9997591215372086"
"6000","0.9996744912862777","0.9996744912862777","0.9996744912862777"
"6100","0.9997200620174408","0.9997200620174408","0.9997200620174408"
"6200","0.9998372483253479","0.9998372483253479","0.9998372483253479"
"6300","0.9997005313634872","0.9997005313634872","0.9997005313634872"
"6400","0.9997168081998825","0.9997168081998825","0.9997168081998825"
"6500","0.9998242270946502","0.9998242270946502","0.9998242270946502"
"6600","0.9997591233253479","0.9997591233253479","0.9997591233253479"
"6700","0.999658213853836","0.999658213853836","0.999658213853836"
"6800","0.9997330838441849","0.9997330838441849","0.9997330838441849"
"6900","0.9996093857288361","0.9996093857288361","0.9996093857288361"
"7000","0.9998763084411622","0.9998763084411622","0.9998763084411622"
"7100","0.9997200620174408","0.9997200620174408","0.9997200620174408"
"7200","0.9998046946525574","0.9998046946525574","0.9998046946525574"
"7300","0.9994401216506958","0.9994401216506958","0.9994401216506958"
"7400","0.9998958373069763","0.9998958373069763","0.9998958373069763"
"7500","0.9998405003547668","0.9998405003547668","0.9998405003547668"
"7600","0.9995247554779053","0.9995247554779053","0.9995247554779053"
"7700","0.9998795634508133","0.9998795634508133","0.9998795634508133"
"7800","0.9998046964406967","0.9998046964406967","0.9998046964406967"
"7900","0.9997428494691849","0.9997428494691849","0.9997428494691849"
"8000","0.9996386837959289","0.9996386837959289","0.9996386837959289"
"8100","0.9998209714889527","0.9998209714889527","0.9998209714889527"
"8200","0.9998763060569763","0.9998763060569763","0.9998763060569763"
"8300","0.9998307365179062","0.9998307365179062","0.9998307365179062"
"8400","0.9997786569595337","0.9997786569595337","0.9997786569595337"
"8500","0.999807950258255","0.999807950258255","0.999807950258255"
"8600","0.9996744936704636","0.9996744936704636","0.9996744936704636"
"8700","0.9999251335859298","0.9999251335859298","0.9999251335859298"
"8800","0.9995735824108124","0.9995735824108124","0.9995735824108124"
"8900","0.9998502683639526","0.9998502683639526","0.9998502683639526"
"9000","0.9998665422201156","0.9998665422201156","0.9998665422201156"
"9100","0.9993847817182541","0.9993847817182541","0.9993847817182541"
"9200","0.9998437535762786","0.9998437535762786","0.9998437535762786"
"9300","0.9997493577003479","0.9997493577003479","0.9997493577003479"
"9400","0.9998339915275574","0.9998339915275574","0.9998339915275574"
"9500","0.99935222864151","0.99935222864151","0.99935222864151"
"9600","0.9994401186704636","0.9994401186704636","0.9994401186704636"
"9700","0.9998958379030227","0.9998958379030227","0.9998958379030227"
"9800","0.999853520989418","0.999853520989418","0.999853520989418"
"9900","0.9994694179296494","0.9994694179296494","0.9994694179296494"
"10000","0.9997949314117431","0.9997949314117431","0.9997949314117431"
