"Step","counting_extra_small_decoder_nope_perm_invariant_0 - accuracy","counting_extra_small_decoder_nope_perm_invariant_0 - accuracy__MIN","counting_extra_small_decoder_nope_perm_invariant_0 - accuracy__MAX"
"100","0.356490895152092","0.356490895152092","0.356490895152092"
"200","0.7541178554296494","0.7541178554296494","0.7541178554296494"
"300","0.8300813984870911","0.8300813984870911","0.8300813984870911"
"400","0.917125671505928","0.917125671505928","0.917125671505928"
"500","0.9520605701208115","0.9520605701208115","0.9520605701208115"
"600","0.9627864795923233","0.9627864795923233","0.9627864795923233"
"700","0.901048196554184","0.901048196554184","0.901048196554184"
"800","0.977454445362091","0.977454445362091","0.977454445362091"
"900","0.9766471529006958","0.9766471529006958","0.9766471529006958"
"1000","0.802633484005928","0.802633484005928","0.802633484005928"
"1100","0.918160827755928","0.918160827755928","0.918160827755928"
"1200","0.9730566596984863","0.9730566596984863","0.9730566596984863"
"1300","0.9523470258712768","0.9523470258712768","0.9523470258712768"
"1400","0.9486621314287186","0.9486621314287186","0.9486621314287186"
"1500","0.9832194209098816","0.9832194209098816","0.9832194209098816"
"1600","0.9612825721502304","0.9612825721502304","0.9612825721502304"
"1700","0.988603532910347","0.988603532910347","0.988603532910347"
"1800","0.9046549659967422","0.9046549659967422","0.9046549659967422"
"1900","0.9895410341024399","0.9895410341024399","0.9895410341024399"
"2000","0.934674500823021","0.934674500823021","0.934674500823021"
"2100","0.9928125202655792","0.9928125202655792","0.9928125202655792"
"2200","0.9918229383230209","0.9918229383230209","0.9918229383230209"
"2300","0.9377669495344162","0.9377669495344162","0.9377669495344162"
"2400","0.9924837446212769","0.9924837446212769","0.9924837446212769"
"2500","0.9928255444765091","0.9928255444765091","0.9928255444765091"
"2600","0.9922037971019745","0.9922037971019745","0.9922037971019745"
"2700","0.972487000823021","0.972487000823021","0.972487000823021"
"2800","0.9904557502269745","0.9904557502269745","0.9904557502269745"
"2900","0.9940462470054626","0.9940462470054626","0.9940462470054626"
"3000","0.9761621278524398","0.9761621278524398","0.9761621278524398"
"3100","0.9935189020633698","0.9935189020633698","0.9935189020633698"
"3200","0.9929004102945328","0.9929004102945328","0.9929004102945328"
"3300","0.9952604359388352","0.9952604359388352","0.9952604359388352"
"3400","0.9947981983423233","0.9947981983423233","0.9947981983423233"
"3500","0.977874368429184","0.977874368429184","0.977874368429184"
"3600","0.996041688323021","0.996041688323021","0.996041688323021"
"3700","0.994186218380928","0.994186218380928","0.994186218380928"
"3800","0.9957389515638352","0.9957389515638352","0.9957389515638352"
"3900","0.9955729359388351","0.9955729359388351","0.9955729359388351"
"4000","0.9954557478427887","0.9954557478427887","0.9954557478427887"
"4100","0.9958789271116256","0.9958789271116256","0.9958789271116256"
"4200","0.9964030158519744","0.9964030158519744","0.9964030158519744"
"4300","0.9965202015638351","0.9965202015638351","0.9965202015638351"
"4400","0.9972363483905792","0.9972363483905792","0.9972363483905792"
"4500","0.9965202021598816","0.9965202021598816","0.9965202021598816"
"4600","0.9962370014190673","0.9962370014190673","0.9962370014190673"
"4700","0.9966601753234863","0.9966601753234863","0.9966601753234863"
"4800","0.9967708539962769","0.9967708539962769","0.9967708539962769"
"4900","0.997145203948021","0.997145203948021","0.997145203948021"
"5000","0.9968782770633697","0.9968782770633697","0.9968782770633697"
"5100","0.9968847864866257","0.9968847864866257","0.9968847864866257"
"5200","0.9975162988901138","0.9975162988901138","0.9975162988901138"
"5300","0.9966211128234863","0.9966211128234863","0.9966211128234863"
"5400","0.997197282910347","0.997197282910347","0.997197282910347"
"5500","0.9971419435739517","0.9971419435739517","0.9971419435739517"
"5600","0.9975748890638352","0.9975748890638352","0.9975748890638352"
"5700","0.9970768433809281","0.9970768433809281","0.9970768433809281"
"5800","0.9975716340541839","0.9975716340541839","0.9975716340541839"
"5900","0.9975000190734863","0.9975000190734863","0.9975000190734863"
"6000","0.9974056202173233","0.9974056202173233","0.9974056202173233"
"6100","0.9971745002269745","0.9971745002269745","0.9971745002269745"
"6200","0.9975293165445328","0.9975293165445328","0.9975293165445328"
"6300","0.9978287947177887","0.9978287947177887","0.9978287947177887"
"6400","0.9976953333616256","0.9976953333616256","0.9976953333616256"
"6500","0.9976465058326721","0.9976465058326721","0.9976465058326721"
"6600","0.9973860883712768","0.9973860883712768","0.9973860883712768"
"6700","0.9959114801883697","0.9959114801883697","0.9959114801883697"
"6800","0.9978776234388351","0.9978776234388351","0.9978776234388351"
"6900","0.9976953327655792","0.9976953327655792","0.9976953327655792"
"7000","0.9981119984388351","0.9981119984388351","0.9981119984388351"
"7100","0.9977181178331375","0.9977181178331375","0.9977181178331375"
"7200","0.9978939008712768","0.9978939008712768","0.9978939008712768"
"7300","0.9974349153041839","0.9974349153041839","0.9974349153041839"
"7400","0.9977734607458114","0.9977734607458114","0.9977734607458114"
"7500","0.9979720258712769","0.9979720258712769","0.9979720258712769"
"7600","0.9979362177848816","0.9979362177848816","0.9979362177848816"
"7700","0.9977278870344162","0.9977278870344162","0.9977278870344162"
"7800","0.997594421505928","0.997594421505928","0.997594421505928"
"7900","0.9941146045923233","0.9941146045923233","0.9941146045923233"
"8000","0.9977799677848815","0.9977799677848815","0.9977799677848815"
"8100","0.9980273628234864","0.9980273628234864","0.9980273628234864"
"8200","0.9979817914962769","0.9979817914962769","0.9979817914962769"
"8300","0.9969173365831375","0.9969173365831375","0.9969173365831375"
"8400","0.9976139509677887","0.9976139509677887","0.9976139509677887"
"8500","0.9977213734388352","0.9977213734388352","0.9977213734388352"
"8600","0.9979622602462769","0.9979622602462769","0.9979622602462769"
"8700","0.9972591364383697","0.9972591364383697","0.9972591364383697"
"8800","0.9976139539480209","0.9976139539480209","0.9976139539480209"
"8900","0.9982910358905792","0.9982910358905792","0.9982910358905792"
"9000","0.9977929878234864","0.9977929878234864","0.9977929878234864"
"9100","0.9972265833616256","0.9972265833616256","0.9972265833616256"
"9200","0.9979752790927887","0.9979752790927887","0.9979752790927887"
"9300","0.9979850488901139","0.9979850488901139","0.9979850488901139"
"9400","0.9984212434291839","0.9984212434291839","0.9984212434291839"
"9500","0.9982910346984863","0.9982910346984863","0.9982910346984863"
"9600","0.9976953315734863","0.9976953315734863","0.9976953315734863"
"9700","0.9980306220054627","0.9980306220054627","0.9980306220054627"
"9800","0.9977246284484863","0.9977246284484863","0.9977246284484863"
"9900","0.9980859595537186","0.9980859595537186","0.9980859595537186"
"10000","0.9983300966024399","0.9983300966024399","0.9983300966024399"
