"Step","counting_extra_small_decoder_perm_invariant_0 - loss","counting_extra_small_decoder_perm_invariant_0 - loss__MIN","counting_extra_small_decoder_perm_invariant_0 - loss__MAX"
"100","2.6711130237579344","2.6711130237579344","2.6711130237579344"
"200","1.3864059567451477","1.3864059567451477","1.3864059567451477"
"300","0.7783711409568786","0.7783711409568786","0.7783711409568786"
"400","0.43281124740839005","0.43281124740839005","0.43281124740839005"
"500","0.34986745700240135","0.34986745700240135","0.34986745700240135"
"600","0.2634194566309452","0.2634194566309452","0.2634194566309452"
"700","0.17339248307049274","0.17339248307049274","0.17339248307049274"
"800","0.4261050925403833","0.4261050925403833","0.4261050925403833"
"900","0.2205477600544691","0.2205477600544691","0.2205477600544691"
"1000","0.08892334427684545","0.08892334427684545","0.08892334427684545"
"1100","0.3089159329980612","0.3089159329980612","0.3089159329980612"
"1200","0.21084441401064397","0.21084441401064397","0.21084441401064397"
"1300","0.19727472566068172","0.19727472566068172","0.19727472566068172"
"1400","0.07410674061626196","0.07410674061626196","0.07410674061626196"
"1500","0.4040414582192898","0.4040414582192898","0.4040414582192898"
"1600","0.07003275226801634","0.07003275226801634","0.07003275226801634"
"1700","0.2812320949137211","0.2812320949137211","0.2812320949137211"
"1800","0.049627020545303824","0.049627020545303824","0.049627020545303824"
"1900","0.16896491412073375","0.16896491412073375","0.16896491412073375"
"2000","0.036450178846716884","0.036450178846716884","0.036450178846716884"
"2100","0.12098285274580121","0.12098285274580121","0.12098285274580121"
"2200","0.028637643167749048","0.028637643167749048","0.028637643167749048"
"2300","0.02407991113141179","0.02407991113141179","0.02407991113141179"
"2400","0.020975252604112028","0.020975252604112028","0.020975252604112028"
"2500","0.11266410548239947","0.11266410548239947","0.11266410548239947"
"2600","0.01993785470724106","0.01993785470724106","0.01993785470724106"
"2700","0.018263035695999862","0.018263035695999862","0.018263035695999862"
"2800","0.017662006337195633","0.017662006337195633","0.017662006337195633"
"2900","0.016492237476631998","0.016492237476631998","0.016492237476631998"
"3000","0.07002526921220124","0.07002526921220124","0.07002526921220124"
"3100","0.014763842355459928","0.014763842355459928","0.014763842355459928"
"3200","0.013402952989563345","0.013402952989563345","0.013402952989563345"
"3300","0.01052433042321354","0.01052433042321354","0.01052433042321354"
"3400","0.021843350699637085","0.021843350699637085","0.021843350699637085"
