"Step","counting_extra_small_decoder_nope_perm_invariant_0 - loss","counting_extra_small_decoder_nope_perm_invariant_0 - loss__MIN","counting_extra_small_decoder_nope_perm_invariant_0 - loss__MAX"
"100","2.6949043107032775","2.6949043107032775","2.6949043107032775"
"200","1.2703901296854019","1.2703901296854019","1.2703901296854019"
"300","0.6122892385721207","0.6122892385721207","0.6122892385721207"
"400","0.37217519789934156","0.37217519789934156","0.37217519789934156"
"500","0.28463115930557253","0.28463115930557253","0.28463115930557253"
"600","0.22558759346604348","0.22558759346604348","0.22558759346604348"
"700","0.19800303965806962","0.19800303965806962","0.19800303965806962"
"800","0.13804816216230392","0.13804816216230392","0.13804816216230392"
"900","0.16769615262746812","0.16769615262746812","0.16769615262746812"
"1000","0.11992658738046885","0.11992658738046885","0.11992658738046885"
"1100","0.20102407798171043","0.20102407798171043","0.20102407798171043"
"1200","0.08477521758526564","0.08477521758526564","0.08477521758526564"
"1300","0.13273206602782012","0.13273206602782012","0.13273206602782012"
"1400","0.08260662272572518","0.08260662272572518","0.08260662272572518"
"1500","0.13078105803579093","0.13078105803579093","0.13078105803579093"
"1600","0.0730277761258185","0.0730277761258185","0.0730277761258185"
"1700","0.10458085808902978","0.10458085808902978","0.10458085808902978"
"1800","0.04426651209592819","0.04426651209592819","0.04426651209592819"
"1900","0.10713123558089137","0.10713123558089137","0.10713123558089137"
"2000","0.06746571822091937","0.06746571822091937","0.06746571822091937"
"2100","0.05865051433444023","0.05865051433444023","0.05865051433444023"
"2200","0.06433345476165414","0.06433345476165414","0.06433345476165414"
"2300","0.06353234320878982","0.06353234320878982","0.06353234320878982"
"2400","0.056567978747189045","0.056567978747189045","0.056567978747189045"
"2500","0.028193705463781953","0.028193705463781953","0.028193705463781953"
"2600","0.08280271099880337","0.08280271099880337","0.08280271099880337"
"2700","0.02444426778703928","0.02444426778703928","0.02444426778703928"
"2800","0.042950977766886354","0.042950977766886354","0.042950977766886354"
"2900","0.027397695817053317","0.027397695817053317","0.027397695817053317"
"3000","0.04245389570482075","0.04245389570482075","0.04245389570482075"
"3100","0.02746345386840403","0.02746345386840403","0.02746345386840403"
"3200","0.024057727893814444","0.024057727893814444","0.024057727893814444"
"3300","0.05414362924173474","0.05414362924173474","0.05414362924173474"
"3400","0.01838564171921462","0.01838564171921462","0.01838564171921462"
"3500","0.01740696368739009","0.01740696368739009","0.01740696368739009"
"3600","0.03449423025827855","0.03449423025827855","0.03449423025827855"
"3700","0.016030159778892994","0.016030159778892994","0.016030159778892994"
"3800","0.017535110833123327","0.017535110833123327","0.017535110833123327"
"3900","0.01739892465993762","0.01739892465993762","0.01739892465993762"
"4000","0.014857663349248469","0.014857663349248469","0.014857663349248469"
"4100","0.013340844591148197","0.013340844591148197","0.013340844591148197"
"4200","0.019370986316353082","0.019370986316353082","0.019370986316353082"
"4300","0.01655010546091944","0.01655010546091944","0.01655010546091944"
"4400","0.011503418749198318","0.011503418749198318","0.011503418749198318"
"4500","0.010566940018907189","0.010566940018907189","0.010566940018907189"
"4600","0.012105477361474186","0.012105477361474186","0.012105477361474186"
"4700","0.011104285602923482","0.011104285602923482","0.011104285602923482"
"4800","0.01167507526697591","0.01167507526697591","0.01167507526697591"
