"Step","counting_extra_small_decoder_perm_invariant_0 - accuracy","counting_extra_small_decoder_perm_invariant_0 - accuracy__MIN","counting_extra_small_decoder_perm_invariant_0 - accuracy__MAX"
"100","0.340543629527092","0.340543629527092","0.340543629527092"
"200","0.5790755409002304","0.5790755409002304","0.5790755409002304"
"300","0.8511458534002304","0.8511458534002304","0.8511458534002304"
"400","0.9147363448143006","0.9147363448143006","0.9147363448143006"
"500","0.9303548401594162","0.9303548401594162","0.9303548401594162"
"600","0.8529492372274399","0.8529492372274399","0.8529492372274399"
"700","0.960306009054184","0.960306009054184","0.960306009054184"
"800","0.9086426001787186","0.9086426001787186","0.9086426001787186"
"900","0.9600944238901138","0.9600944238901138","0.9600944238901138"
"1000","0.9790006697177887","0.9790006697177887","0.9790006697177887"
"1100","0.8712858271598816","0.8712858271598816","0.8712858271598816"
"1200","0.9448144716024399","0.9448144716024399","0.9448144716024399"
"1300","0.9728190320730209","0.9728190320730209","0.9728190320730209"
"1400","0.9797949427366257","0.9797949427366257","0.9797949427366257"
"1500","0.9739127773046493","0.9739127773046493","0.9739127773046493"
"1600","0.982825540304184","0.982825540304184","0.982825540304184"
"1700","0.9814843982458115","0.9814843982458115","0.9814843982458115"
"1800","0.987506532073021","0.987506532073021","0.987506532073021"
"1900","0.9873925989866257","0.9873925989866257","0.9873925989866257"
"2000","0.9913346546888352","0.9913346546888352","0.9913346546888352"
"2100","0.9894824397563934","0.9894824397563934","0.9894824397563934"
"2200","0.9923340052366256","0.9923340052366256","0.9923340052366256"
"2300","0.9925097876787186","0.9925097876787186","0.9925097876787186"
"2400","0.9930859571695327","0.9930859571695327","0.9930859571695327"
"2500","0.9929069179296494","0.9929069179296494","0.9929069179296494"
"2600","0.9939453321695327","0.9939453321695327","0.9939453321695327"
"2700","0.9942317861318588","0.9942317861318588","0.9942317861318588"
"2800","0.9925488448143005","0.9925488448143005","0.9925488448143005"
"2900","0.9946614760160446","0.9946614760160446","0.9946614760160446"
"3000","0.9945345264673233","0.9945345264673233","0.9945345264673233"
"3100","0.9953515839576721","0.9953515839576721","0.9953515839576721"
"3200","0.9960905146598816","0.9960905146598816","0.9960905146598816"
"3300","0.9962728071212769","0.9962728071212769","0.9962728071212769"
"3400","0.9896745002269745","0.9896745002269745","0.9896745002269745"
"3500","0.997366554737091","0.997366554737091","0.997366554737091"
"3600","0.9950488489866257","0.9950488489866257","0.9950488489866257"
"3700","0.9977213764190673","0.9977213764190673","0.9977213764190673"
"3800","0.997366554737091","0.997366554737091","0.997366554737091"
"3900","0.9975944256782532","0.9975944256782532","0.9975944256782532"
"4000","0.9972981971502304","0.9972981971502304","0.9972981971502304"
"4100","0.9978939002752304","0.9978939002752304","0.9978939002752304"
"4200","0.9976758003234864","0.9976758003234864","0.9976758003234864"
"4300","0.9976204615831376","0.9976204615831376","0.9976204615831376"
"4400","0.9975976765155792","0.9975976765155792","0.9975976765155792"
"4500","0.9977636933326721","0.9977636933326721","0.9977636933326721"
"4600","0.997994812130928","0.997994812130928","0.997994812130928"
"4700","0.9975748932361603","0.9975748932361603","0.9975748932361603"
"4800","0.9975488489866257","0.9975488489866257","0.9975488489866257"
"4900","0.9978971558809281","0.9978971558809281","0.9978971558809281"
"5000","0.9977539259195328","0.9977539259195328","0.9977539259195328"
"5100","0.994362000823021","0.994362000823021","0.994362000823021"
"5200","0.9979134303331375","0.9979134303331375","0.9979134303331375"
"5300","0.9978092622756958","0.9978092622756958","0.9978092622756958"
"5400","0.9978711146116257","0.9978711146116257","0.9978711146116257"
"5500","0.998059914112091","0.998059914112091","0.998059914112091"
