"Step","counting_extra_small_decoder_perm_invariant_0 - accuracy","counting_extra_small_decoder_perm_invariant_0 - accuracy__MIN","counting_extra_small_decoder_perm_invariant_0 - accuracy__MAX"
"5600","0.9979069197177887","0.9979069197177887","0.9979069197177887"
"5700","0.9979459804296493","0.9979459804296493","0.9979459804296493"
"5800","0.997858093380928","0.997858093380928","0.997858093380928"
"5900","0.9980957239866257","0.9980957239866257","0.9980957239866257"
"6000","0.9979655128717423","0.9979655128717423","0.9979655128717423"
"6100","0.9979004114866257","0.9979004114866257","0.9979004114866257"
"6200","0.9979394710063935","0.9979394710063935","0.9979394710063935"
"6300","0.9981868690252305","0.9981868690252305","0.9981868690252305"
"6400","0.9981315344572067","0.9981315344572067","0.9981315344572067"
"6500","0.9981478077173233","0.9981478077173233","0.9981478077173233"
"6600","0.9981087470054626","0.9981087470054626","0.9981087470054626"
"6700","0.998222673535347","0.998222673535347","0.998222673535347"
"6800","0.9983235883712769","0.9983235883712769","0.9983235883712769"
"6900","0.998072937130928","0.998072937130928","0.998072937130928"
"7000","0.9980989789962769","0.9980989789962769","0.9980989789962769"
"7100","0.9963411641120911","0.9963411641120911","0.9963411641120911"
"7200","0.9980892091989517","0.9980892091989517","0.9980892091989517"
"7300","0.9980892091989517","0.9980892091989517","0.9980892091989517"
"7400","0.9981478077173233","0.9981478077173233","0.9981478077173233"
"7500","0.9980501520633698","0.9980501520633698","0.9980501520633698"
"7600","0.998105486035347","0.998105486035347","0.998105486035347"
"7700","0.998131526708603","0.998131526708603","0.998131526708603"
"7800","0.9981152546405793","0.9981152546405793","0.9981152546405793"
"7900","0.9982031446695327","0.9982031446695327","0.9982031446695327"
"8000","0.9979785364866257","0.9979785364866257","0.9979785364866257"
"8100","0.9984961152076721","0.9984961152076721","0.9984961152076721"
"8200","0.9981608271598816","0.9981608271598816","0.9981608271598816"
"8300","0.9982389533519744","0.9982389533519744","0.9982389533519744"
"8400","0.9981771010160446","0.9981771010160446","0.9981771010160446"
"8500","0.9979687678813934","0.9979687678813934","0.9979687678813934"
"8600","0.9980729389190673","0.9980729389190673","0.9980729389190673"
"8700","0.9981868666410446","0.9981868666410446","0.9981868666410446"
"8800","0.998186867237091","0.998186867237091","0.998186867237091"
"8900","0.9983300977945327","0.9983300977945327","0.9983300977945327"
"9000","0.9982389533519744","0.9982389533519744","0.9982389533519744"
"9100","0.997962259054184","0.997962259054184","0.997962259054184"
"9200","0.9967838740348816","0.9967838740348816","0.9967838740348816"
"9300","0.9982161664962769","0.9982161664962769","0.9982161664962769"
"9400","0.9964681160449982","0.9964681160449982","0.9964681160449982"
"9500","0.9982519733905793","0.9982519733905793","0.9982519733905793"
"9600","0.9984114784002304","0.9984114784002304","0.9984114784002304"
"9700","0.9982291853427887","0.9982291853427887","0.9982291853427887"
"9800","0.9984375202655792","0.9984375202655792","0.9984375202655792"
"9900","0.9985612201690673","0.9985612201690673","0.9985612201690673"
"10000","0.9983138215541839","0.9983138215541839","0.9983138215541839"
