"Step","medium_openwebtext - encoder_train_loss","medium_openwebtext - encoder_train_loss__MIN","medium_openwebtext - encoder_train_loss__MAX"
"500","9.725062644958497","9.725062644958497","9.725062644958497"
"1000","7.651199947357178","7.651199947357178","7.651199947357178"
"1500","6.7927930727005","6.7927930727005","6.7927930727005"
"2000","6.486143061637878","6.486143061637878","6.486143061637878"
"2500","6.268854678153992","6.268854678153992","6.268854678153992"
"3000","6.132665587425232","6.132665587425232","6.132665587425232"
"3500","6.039853294372558","6.039853294372558","6.039853294372558"
"4000","5.946839241981507","5.946839241981507","5.946839241981507"
"4500","5.879022367477417","5.879022367477417","5.879022367477417"
"5000","5.832942048072815","5.832942048072815","5.832942048072815"
"5500","5.784572573661804","5.784572573661804","5.784572573661804"
"6000","5.735325428962708","5.735325428962708","5.735325428962708"
"6500","5.693192940711975","5.693192940711975","5.693192940711975"
"7000","5.656272374153137","5.656272374153137","5.656272374153137"
"7500","5.634839011192322","5.634839011192322","5.634839011192322"
"8000","5.594025677680969","5.594025677680969","5.594025677680969"
"8500","5.57222813129425","5.57222813129425","5.57222813129425"
"9000","5.542435028076172","5.542435028076172","5.542435028076172"
"9500","5.514065982818604","5.514065982818604","5.514065982818604"
"10000","5.49815221118927","5.49815221118927","5.49815221118927"
"10500","5.4717371501922605","5.4717371501922605","5.4717371501922605"
"11000","5.459686612129212","5.459686612129212","5.459686612129212"
"11500","5.436041063308716","5.436041063308716","5.436041063308716"
"12000","5.41936182308197","5.41936182308197","5.41936182308197"
"12500","5.390441741943359","5.390441741943359","5.390441741943359"
"13000","5.373692289352417","5.373692289352417","5.373692289352417"
"13500","5.368047728538513","5.368047728538513","5.368047728538513"
"14000","5.352465353965759","5.352465353965759","5.352465353965759"
"14500","5.327069989204407","5.327069989204407","5.327069989204407"
"15000","5.307348434448242","5.307348434448242","5.307348434448242"
"15500","5.306860646247864","5.306860646247864","5.306860646247864"
"16000","5.295122077941895","5.295122077941895","5.295122077941895"
"16500","5.281702104568481","5.281702104568481","5.281702104568481"
"17000","5.270620931625366","5.270620931625366","5.270620931625366"
"17500","5.255501920700073","5.255501920700073","5.255501920700073"
"18000","5.241845514297485","5.241845514297485","5.241845514297485"
"18500","5.237318989753724","5.237318989753724","5.237318989753724"
"19000","5.2231420803070066","5.2231420803070066","5.2231420803070066"
"19500","5.220116442680359","5.220116442680359","5.220116442680359"
"20000","5.193824631690979","5.193824631690979","5.193824631690979"
"20500","5.191230018615722","5.191230018615722","5.191230018615722"
"21000","5.186483927726746","5.186483927726746","5.186483927726746"
"21500","5.183440999031067","5.183440999031067","5.183440999031067"
"22000","5.159844877243042","5.159844877243042","5.159844877243042"
"22500","5.156511985778809","5.156511985778809","5.156511985778809"
"23000","5.147359705924988","5.147359705924988","5.147359705924988"
"23500","5.129849095344543","5.129849095344543","5.129849095344543"
"24000","5.12609288597107","5.12609288597107","5.12609288597107"
"24500","5.11886525440216","5.11886525440216","5.11886525440216"
"25000","5.12132705783844","5.12132705783844","5.12132705783844"
"25500","5.1131862487792965","5.1131862487792965","5.1131862487792965"
