"Step","counting_extra_small_decoder_nope_perm_variant_0 - accuracy","counting_extra_small_decoder_nope_perm_variant_0 - accuracy__MIN","counting_extra_small_decoder_nope_perm_variant_0 - accuracy__MAX"
"100","0.2633365972340107","0.2633365972340107","0.2633365972340107"
"200","0.3419661569595337","0.3419661569595337","0.3419661569595337"
"300","0.4252311298251152","0.4252311298251152","0.4252311298251152"
"400","0.5115071806311607","0.5115071806311607","0.5115071806311607"
"500","0.5709635633230209","0.5709635633230209","0.5709635633230209"
"600","0.6222884297370911","0.6222884297370911","0.6222884297370911"
"700","0.6581673395633697","0.6581673395633697","0.6581673395633697"
"800","0.7330827039480209","0.7330827039480209","0.7330827039480209"
"900","0.7269466346502305","0.7269466346502305","0.7269466346502305"
"1000","0.7834375184774399","0.7834375184774399","0.7834375184774399"
"1100","0.799576843380928","0.799576843380928","0.799576843380928"
"1200","0.850690125823021","0.850690125823021","0.850690125823021"
"1300","0.8578353083133697","0.8578353083133697","0.8578353083133697"
"1400","0.8555143421888352","0.8555143421888352","0.8555143421888352"
"1500","0.8740592646598816","0.8740592646598816","0.8740592646598816"
"1600","0.8890039247274398","0.8890039247274398","0.8890039247274398"
"1700","0.9202213722467423","0.9202213722467423","0.9202213722467423"
"1800","0.9316048341989517","0.9316048341989517","0.9316048341989517"
"1900","0.9306998908519745","0.9306998908519745","0.9306998908519745"
"2000","0.9271452045440673","0.9271452045440673","0.9271452045440673"
"2100","0.940074890255928","0.940074890255928","0.940074890255928"
"2200","0.9444856971502305","0.9444856971502305","0.9444856971502305"
"2300","0.9365853083133697","0.9365853083133697","0.9365853083133697"
"2400","0.9445963758230209","0.9445963758230209","0.9445963758230209"
"2500","0.955504577755928","0.955504577755928","0.955504577755928"
"2600","0.9498633033037186","0.9498633033037186","0.9498633033037186"
"2700","0.9594531482458115","0.9594531482458115","0.9594531482458115"
"2800","0.9538183802366257","0.9538183802366257","0.9538183802366257"
"2900","0.9642838740348816","0.9642838740348816","0.9642838740348816"
"3000","0.9651855671405792","0.9651855671405792","0.9651855671405792"
"3100","0.956516946554184","0.956516946554184","0.956516946554184"
"3200","0.9663411611318589","0.9663411611318589","0.9663411611318589"
"3300","0.9675683790445327","0.9675683790445327","0.9675683790445327"
"3400","0.9693912929296493","0.9693912929296493","0.9693912929296493"
"3500","0.9704166853427887","0.9704166853427887","0.9704166853427887"
"3600","0.9733268409967423","0.9733268409967423","0.9733268409967423"
"3700","0.9733040529489517","0.9733040529489517","0.9733040529489517"
"3800","0.9744824403524399","0.9744824403524399","0.9744824403524399"
"3900","0.9757291883230209","0.9757291883230209","0.9757291883230209"
"4000","0.9752929866313934","0.9752929866313934","0.9752929866313934"
"4100","0.9762109583616256","0.9762109583616256","0.9762109583616256"
"4200","0.9771875220537186","0.9771875220537186","0.9771875220537186"
"4300","0.9777018445730209","0.9777018445730209","0.9777018445730209"
"4400","0.9791797071695327","0.9791797071695327","0.9791797071695327"
"4500","0.979267595410347","0.979267595410347","0.979267595410347"
"4600","0.9787077021598816","0.9787077021598816","0.9787077021598816"
"4700","0.9799511921405792","0.9799511921405792","0.9799511921405792"
"4800","0.9797005420923233","0.9797005420923233","0.9797005420923233"
"4900","0.9807617354393006","0.9807617354393006","0.9807617354393006"
"5000","0.9805957221984863","0.9805957221984863","0.9805957221984863"
"5100","0.9817578333616257","0.9817578333616257","0.9817578333616257"
"5200","0.9803548365831375","0.9803548365831375","0.9803548365831375"
"5300","0.9817513233423233","0.9817513233423233","0.9817513233423233"
"5400","0.9826334828138351","0.9826334828138351","0.9826334828138351"
"5500","0.9816211140155793","0.9816211140155793","0.9816211140155793"
"5600","0.9806673383712768","0.9806673383712768","0.9806673383712768"
"5700","0.9834896039962768","0.9834896039962768","0.9834896039962768"
"5800","0.9829492402076722","0.9829492402076722","0.9829492402076722"
