"Step","shakespeare_small_decoder_no_wpe_0 - train_loss","shakespeare_small_decoder_no_wpe_0 - train_loss__MIN","shakespeare_small_decoder_no_wpe_0 - train_loss__MAX"
"1","4.258724212646484","4.258724212646484","4.258724212646484"
"2","4.226856231689453","4.226856231689453","4.226856231689453"
"3","4.195491790771484","4.195491790771484","4.195491790771484"
"4","4.1562042236328125","4.1562042236328125","4.1562042236328125"
"5","4.090065002441406","4.090065002441406","4.090065002441406"
"6","4.0030975341796875","4.0030975341796875","4.0030975341796875"
"7","3.9322280883789062","3.9322280883789062","3.9322280883789062"
"8","3.8558311462402344","3.8558311462402344","3.8558311462402344"
"9","3.7808685302734375","3.7808685302734375","3.7808685302734375"
"10","3.7183876037597656","3.7183876037597656","3.7183876037597656"
"11","3.6815528869628906","3.6815528869628906","3.6815528869628906"
"12","3.650432586669922","3.650432586669922","3.650432586669922"
"13","3.6033592224121094","3.6033592224121094","3.6033592224121094"
"14","3.573169708251953","3.573169708251953","3.573169708251953"
"15","3.555469512939453","3.555469512939453","3.555469512939453"
"16","3.5140762329101562","3.5140762329101562","3.5140762329101562"
"17","3.4917831420898438","3.4917831420898438","3.4917831420898438"
"18","3.4749011993408203","3.4749011993408203","3.4749011993408203"
"19","3.4515819549560547","3.4515819549560547","3.4515819549560547"
"20","3.421794891357422","3.421794891357422","3.421794891357422"
"21","3.4027957916259766","3.4027957916259766","3.4027957916259766"
"22","3.3625659942626953","3.3625659942626953","3.3625659942626953"
"23","3.334627151489258","3.334627151489258","3.334627151489258"
"24","3.2989234924316406","3.2989234924316406","3.2989234924316406"
"25","3.265350341796875","3.265350341796875","3.265350341796875"
"26","3.2620906829833984","3.2620906829833984","3.2620906829833984"
"27","3.2075328826904297","3.2075328826904297","3.2075328826904297"
"28","3.1872005462646484","3.1872005462646484","3.1872005462646484"
"29","3.2059764862060547","3.2059764862060547","3.2059764862060547"
"30","3.1624526977539062","3.1624526977539062","3.1624526977539062"
"31","3.1581573486328125","3.1581573486328125","3.1581573486328125"
"32","3.1036376953125","3.1036376953125","3.1036376953125"
"33","3.0947484970092773","3.0947484970092773","3.0947484970092773"
"34","3.068711280822754","3.068711280822754","3.068711280822754"
"35","3.0610742568969727","3.0610742568969727","3.0610742568969727"
"36","3.0282373428344727","3.0282373428344727","3.0282373428344727"
"37","2.985466957092285","2.985466957092285","2.985466957092285"
"38","3.003145217895508","3.003145217895508","3.003145217895508"
"39","2.9563217163085938","2.9563217163085938","2.9563217163085938"
"40","2.9570302963256836","2.9570302963256836","2.9570302963256836"
"41","2.916073799133301","2.916073799133301","2.916073799133301"
"42","2.9252614974975586","2.9252614974975586","2.9252614974975586"
"43","2.9147815704345703","2.9147815704345703","2.9147815704345703"
"44","2.8820295333862305","2.8820295333862305","2.8820295333862305"
"45","2.9053726196289062","2.9053726196289062","2.9053726196289062"
"46","2.892401695251465","2.892401695251465","2.892401695251465"
"47","2.8456649780273438","2.8456649780273438","2.8456649780273438"
"48","2.8480234146118164","2.8480234146118164","2.8480234146118164"
"49","2.8325538635253906","2.8325538635253906","2.8325538635253906"
"50","2.8549461364746094","2.8549461364746094","2.8549461364746094"
"51","2.8217554092407227","2.8217554092407227","2.8217554092407227"
"52","2.83306884765625","2.83306884765625","2.83306884765625"
"53","2.775859832763672","2.775859832763672","2.775859832763672"
"54","2.772489547729492","2.772489547729492","2.772489547729492"
"55","2.741726875305176","2.741726875305176","2.741726875305176"
"56","2.765000343322754","2.765000343322754","2.765000343322754"
"57","2.7425317764282227","2.7425317764282227","2.7425317764282227"
"58","2.702901840209961","2.702901840209961","2.702901840209961"
"59","2.715714454650879","2.715714454650879","2.715714454650879"
"60","2.74884033203125","2.74884033203125","2.74884033203125"
"61","2.7115774154663086","2.7115774154663086","2.7115774154663086"
"62","2.686847686767578","2.686847686767578","2.686847686767578"
"63","2.7186689376831055","2.7186689376831055","2.7186689376831055"
"64","2.6704020500183105","2.6704020500183105","2.6704020500183105"
"65","2.6779704093933105","2.6779704093933105","2.6779704093933105"
"66","2.660879135131836","2.660879135131836","2.660879135131836"
"67","2.6469931602478027","2.6469931602478027","2.6469931602478027"
"68","2.6767749786376953","2.6767749786376953","2.6767749786376953"
"69","2.682483196258545","2.682483196258545","2.682483196258545"
"70","2.6426501274108887","2.6426501274108887","2.6426501274108887"
"71","2.674248695373535","2.674248695373535","2.674248695373535"
"72","2.6186156272888184","2.6186156272888184","2.6186156272888184"
"73","2.5976967811584473","2.5976967811584473","2.5976967811584473"
"74","2.6274023056030273","2.6274023056030273","2.6274023056030273"
"75","2.6178970336914062","2.6178970336914062","2.6178970336914062"
"76","2.6020560264587402","2.6020560264587402","2.6020560264587402"
"77","2.6292033195495605","2.6292033195495605","2.6292033195495605"
"78","2.611546516418457","2.611546516418457","2.611546516418457"
"79","2.6149282455444336","2.6149282455444336","2.6149282455444336"
"80","2.6099839210510254","2.6099839210510254","2.6099839210510254"
"81","2.587937355041504","2.587937355041504","2.587937355041504"
"82","2.576064348220825","2.576064348220825","2.576064348220825"
"83","2.565247058868408","2.565247058868408","2.565247058868408"
"84","2.562190532684326","2.562190532684326","2.562190532684326"
"85","2.546419382095337","2.546419382095337","2.546419382095337"
"86","2.5382654666900635","2.5382654666900635","2.5382654666900635"
"87","2.556028127670288","2.556028127670288","2.556028127670288"
"88","2.5358517169952393","2.5358517169952393","2.5358517169952393"
"89","2.5474472045898438","2.5474472045898438","2.5474472045898438"
"90","2.5362277030944824","2.5362277030944824","2.5362277030944824"
"91","2.5441842079162598","2.5441842079162598","2.5441842079162598"
"92","2.546257734298706","2.546257734298706","2.546257734298706"
"93","2.5063223838806152","2.5063223838806152","2.5063223838806152"
"94","2.540344476699829","2.540344476699829","2.540344476699829"
"95","2.518538236618042","2.518538236618042","2.518538236618042"
"96","2.5025603771209717","2.5025603771209717","2.5025603771209717"
"97","2.5451204776763916","2.5451204776763916","2.5451204776763916"
"98","2.495227575302124","2.495227575302124","2.495227575302124"
"99","2.5045623779296875","2.5045623779296875","2.5045623779296875"
"100","2.505157470703125","2.505157470703125","2.505157470703125"
"101","2.483450174331665","2.483450174331665","2.483450174331665"
"102","2.5344364643096924","2.5344364643096924","2.5344364643096924"
"103","2.479686975479126","2.479686975479126","2.479686975479126"
"104","2.494589328765869","2.494589328765869","2.494589328765869"
"105","2.5112364292144775","2.5112364292144775","2.5112364292144775"
"106","2.5000479221343994","2.5000479221343994","2.5000479221343994"
"107","2.507436990737915","2.507436990737915","2.507436990737915"
"108","2.4838271141052246","2.4838271141052246","2.4838271141052246"
"109","2.4916064739227295","2.4916064739227295","2.4916064739227295"
"110","2.482680559158325","2.482680559158325","2.482680559158325"
"111","2.4510018825531006","2.4510018825531006","2.4510018825531006"
