"Step","reversed_addition_small_encoder_0 - train_loss","reversed_addition_small_encoder_0 - train_loss__MIN","reversed_addition_small_encoder_0 - train_loss__MAX"
"1","2.747753143310547","2.747753143310547","2.747753143310547"
"2","2.7347469329833984","2.7347469329833984","2.7347469329833984"
"3","2.715585708618164","2.715585708618164","2.715585708618164"
"4","2.6817398071289062","2.6817398071289062","2.6817398071289062"
"5","2.644601821899414","2.644601821899414","2.644601821899414"
"6","2.601938247680664","2.601938247680664","2.601938247680664"
"7","2.5777721405029297","2.5777721405029297","2.5777721405029297"
"8","2.5315990447998047","2.5315990447998047","2.5315990447998047"
"9","2.503490447998047","2.503490447998047","2.503490447998047"
"10","2.4618682861328125","2.4618682861328125","2.4618682861328125"
"11","2.427377700805664","2.427377700805664","2.427377700805664"
"12","2.395188331604004","2.395188331604004","2.395188331604004"
"13","2.346038818359375","2.346038818359375","2.346038818359375"
"14","2.3312978744506836","2.3312978744506836","2.3312978744506836"
"15","2.291975498199463","2.291975498199463","2.291975498199463"
"16","2.2816433906555176","2.2816433906555176","2.2816433906555176"
"17","2.2559804916381836","2.2559804916381836","2.2559804916381836"
"18","2.231456756591797","2.231456756591797","2.231456756591797"
"19","2.2359447479248047","2.2359447479248047","2.2359447479248047"
"20","2.2209110260009766","2.2209110260009766","2.2209110260009766"
"21","2.2243542671203613","2.2243542671203613","2.2243542671203613"
"22","2.2061476707458496","2.2061476707458496","2.2061476707458496"
"23","2.1943092346191406","2.1943092346191406","2.1943092346191406"
"24","2.1913790702819824","2.1913790702819824","2.1913790702819824"
"25","2.179140090942383","2.179140090942383","2.179140090942383"
"26","2.185657501220703","2.185657501220703","2.185657501220703"
"27","2.1777942180633545","2.1777942180633545","2.1777942180633545"
"28","2.178579330444336","2.178579330444336","2.178579330444336"
"29","2.1698153018951416","2.1698153018951416","2.1698153018951416"
"30","2.16194224357605","2.16194224357605","2.16194224357605"
"31","2.171968460083008","2.171968460083008","2.171968460083008"
"32","2.1395561695098877","2.1395561695098877","2.1395561695098877"
"33","2.144644260406494","2.144644260406494","2.144644260406494"
"34","2.1383700370788574","2.1383700370788574","2.1383700370788574"
"35","2.119877815246582","2.119877815246582","2.119877815246582"
"36","2.1308398246765137","2.1308398246765137","2.1308398246765137"
"37","2.1275522708892822","2.1275522708892822","2.1275522708892822"
"38","2.1246769428253174","2.1246769428253174","2.1246769428253174"
"39","2.0988566875457764","2.0988566875457764","2.0988566875457764"
"40","2.1129231452941895","2.1129231452941895","2.1129231452941895"
"41","2.0844552516937256","2.0844552516937256","2.0844552516937256"
"42","2.0926172733306885","2.0926172733306885","2.0926172733306885"
"43","2.080219030380249","2.080219030380249","2.080219030380249"
"44","2.0854380130767822","2.0854380130767822","2.0854380130767822"
"45","2.1498301029205322","2.1498301029205322","2.1498301029205322"
"46","2.0897445678710938","2.0897445678710938","2.0897445678710938"
"47","2.0945019721984863","2.0945019721984863","2.0945019721984863"
"48","2.0928666591644287","2.0928666591644287","2.0928666591644287"
"49","2.0515897274017334","2.0515897274017334","2.0515897274017334"
"50","2.0614757537841797","2.0614757537841797","2.0614757537841797"
"51","2.056309938430786","2.056309938430786","2.056309938430786"
"52","2.0401864051818848","2.0401864051818848","2.0401864051818848"
"53","2.0364832878112793","2.0364832878112793","2.0364832878112793"
"54","2.032194137573242","2.032194137573242","2.032194137573242"
"55","2.0876901149749756","2.0876901149749756","2.0876901149749756"
"56","2.1107254028320312","2.1107254028320312","2.1107254028320312"
"57","2.043149709701538","2.043149709701538","2.043149709701538"
"58","2.0512752532958984","2.0512752532958984","2.0512752532958984"
"59","2.0308542251586914","2.0308542251586914","2.0308542251586914"
"60","2.008755922317505","2.008755922317505","2.008755922317505"
"61","2.010683536529541","2.010683536529541","2.010683536529541"
"62","2.0084643363952637","2.0084643363952637","2.0084643363952637"
"63","1.9910131692886353","1.9910131692886353","1.9910131692886353"
"64","1.9650698900222778","1.9650698900222778","1.9650698900222778"
"65","1.9708166122436523","1.9708166122436523","1.9708166122436523"
"66","1.9612623453140259","1.9612623453140259","1.9612623453140259"
"67","1.9614216089248657","1.9614216089248657","1.9614216089248657"
"68","1.9662569761276245","1.9662569761276245","1.9662569761276245"
"69","1.9570937156677246","1.9570937156677246","1.9570937156677246"
"70","1.9490554332733154","1.9490554332733154","1.9490554332733154"
"71","1.9399726390838623","1.9399726390838623","1.9399726390838623"
"72","1.9455156326293945","1.9455156326293945","1.9455156326293945"
"73","1.9192490577697754","1.9192490577697754","1.9192490577697754"
"74","1.92864990234375","1.92864990234375","1.92864990234375"
"75","1.9464777708053589","1.9464777708053589","1.9464777708053589"
"76","1.9047276973724365","1.9047276973724365","1.9047276973724365"
"77","1.938641905784607","1.938641905784607","1.938641905784607"
"78","1.9188035726547241","1.9188035726547241","1.9188035726547241"
"79","1.924133062362671","1.924133062362671","1.924133062362671"
"80","1.9223428964614868","1.9223428964614868","1.9223428964614868"
"81","1.8579026460647583","1.8579026460647583","1.8579026460647583"
"82","1.8861637115478516","1.8861637115478516","1.8861637115478516"
"83","1.8804324865341187","1.8804324865341187","1.8804324865341187"
"84","1.9037281274795532","1.9037281274795532","1.9037281274795532"
"85","1.8545104265213013","1.8545104265213013","1.8545104265213013"
"86","1.8353017568588257","1.8353017568588257","1.8353017568588257"
"87","1.8433257341384888","1.8433257341384888","1.8433257341384888"
"88","1.855640172958374","1.855640172958374","1.855640172958374"
"89","1.8529391288757324","1.8529391288757324","1.8529391288757324"
"90","1.902422308921814","1.902422308921814","1.902422308921814"
"91","1.8385552167892456","1.8385552167892456","1.8385552167892456"
"92","1.844137191772461","1.844137191772461","1.844137191772461"
"93","1.8761318922042847","1.8761318922042847","1.8761318922042847"
"94","1.8448021411895752","1.8448021411895752","1.8448021411895752"
"95","1.845280647277832","1.845280647277832","1.845280647277832"
"96","1.8205862045288086","1.8205862045288086","1.8205862045288086"
"97","1.8305277824401855","1.8305277824401855","1.8305277824401855"
"98","1.825463891029358","1.825463891029358","1.825463891029358"
