"Step","counting_medium_decoder_perm_variant_0 - loss","counting_medium_decoder_perm_variant_0 - loss__MIN","counting_medium_decoder_perm_variant_0 - loss__MAX"
"100","2.112299762964249","2.112299762964249","2.112299762964249"
"200","1.088934713602066","1.088934713602066","1.088934713602066"
"300","0.5255487057566642","0.5255487057566642","0.5255487057566642"
"400","0.24160912305116652","0.24160912305116652","0.24160912305116652"
"500","0.19350929751992227","0.19350929751992227","0.19350929751992227"
"600","0.2715043330937624","0.2715043330937624","0.2715043330937624"
"700","0.17404680285602808","0.17404680285602808","0.17404680285602808"
"800","0.12161384381353856","0.12161384381353856","0.12161384381353856"
"900","0.10124109338968992","0.10124109338968992","0.10124109338968992"
"1000","0.07743001084774732","0.07743001084774732","0.07743001084774732"
"1100","0.11230642072856427","0.11230642072856427","0.11230642072856427"
"1200","0.07630850728601217","0.07630850728601217","0.07630850728601217"
"1300","0.16669051634147763","0.16669051634147763","0.16669051634147763"
"1400","0.08305890440940857","0.08305890440940857","0.08305890440940857"
"1500","0.10706797253340483","0.10706797253340483","0.10706797253340483"
"1600","0.07198697712272406","0.07198697712272406","0.07198697712272406"
"1700","0.05252902703359723","0.05252902703359723","0.05252902703359723"
"1800","0.05303423611447215","0.05303423611447215","0.05303423611447215"
"1900","0.05155920274555683","0.05155920274555683","0.05155920274555683"
"2000","0.08031321024522185","0.08031321024522185","0.08031321024522185"
"2100","0.044075917126610874","0.044075917126610874","0.044075917126610874"
"2200","0.05863245667889714","0.05863245667889714","0.05863245667889714"
"2300","0.03237365094013512","0.03237365094013512","0.03237365094013512"
"2400","0.032063544671982525","0.032063544671982525","0.032063544671982525"
"2500","0.028041382366791368","0.028041382366791368","0.028041382366791368"
"2600","0.04990860853344202","0.04990860853344202","0.04990860853344202"
"2700","0.02607258951291442","0.02607258951291442","0.02607258951291442"
"2800","0.022746406281366944","0.022746406281366944","0.022746406281366944"
"2900","0.04317030303180218","0.04317030303180218","0.04317030303180218"
"3000","0.03355262870900333","0.03355262870900333","0.03355262870900333"
"3100","0.02188396948389709","0.02188396948389709","0.02188396948389709"
"3200","0.023907521376386284","0.023907521376386284","0.023907521376386284"
"3300","0.034552706237882376","0.034552706237882376","0.034552706237882376"
"3400","0.017831681575626136","0.017831681575626136","0.017831681575626136"
"3500","0.017737633250653743","0.017737633250653743","0.017737633250653743"
"3600","0.01723736021667719","0.01723736021667719","0.01723736021667719"
"3700","0.01697193500585854","0.01697193500585854","0.01697193500585854"
"3800","0.017348006451502442","0.017348006451502442","0.017348006451502442"
"3900","0.015025440622121095","0.015025440622121095","0.015025440622121095"
"4000","0.014777814354747534","0.014777814354747534","0.014777814354747534"
"4100","0.013044736329466105","0.013044736329466105","0.013044736329466105"
"4200","0.014990992047823965","0.014990992047823965","0.014990992047823965"
"4300","0.012871825438924133","0.012871825438924133","0.012871825438924133"
"4400","0.013533424846827983","0.013533424846827983","0.013533424846827983"
"4500","0.012650112006813288","0.012650112006813288","0.012650112006813288"
"4600","0.01255521958693862","0.01255521958693862","0.01255521958693862"
"4700","0.012710172394290566","0.012710172394290566","0.012710172394290566"
"4800","0.01280321138445288","0.01280321138445288","0.01280321138445288"
"4900","0.012793130297213793","0.012793130297213793","0.012793130297213793"
"5000","0.012608291828073562","0.012608291828073562","0.012608291828073562"
"5100","0.012315390594303609","0.012315390594303609","0.012315390594303609"
"5200","0.012539135441184044","0.012539135441184044","0.012539135441184044"
"5300","0.012062828494235874","0.012062828494235874","0.012062828494235874"
"5400","0.012215566211380065","0.012215566211380065","0.012215566211380065"
"5500","0.011690773367881775","0.011690773367881775","0.011690773367881775"
"5600","0.012047941288910806","0.012047941288910806","0.012047941288910806"
"5700","0.01254127822816372","0.01254127822816372","0.01254127822816372"
"5800","0.011426542298868298","0.011426542298868298","0.011426542298868298"
"5900","0.011477131014689803","0.011477131014689803","0.011477131014689803"
"6000","0.01169648701325059","0.01169648701325059","0.01169648701325059"
"6100","0.010650688712485135","0.010650688712485135","0.010650688712485135"
"6200","0.010813314388506114","0.010813314388506114","0.010813314388506114"
