"Step","count3_large_decoder_0 - token_accuracy","count3_large_decoder_0 - token_accuracy__MIN","count3_large_decoder_0 - token_accuracy__MAX"
"100","0.05560547009110451","0.05560547009110451","0.05560547009110451"
"200","0.05699218854308128","0.05699218854308128","0.05699218854308128"
"300","0.05661132976412773","0.05661132976412773","0.05661132976412773"
"400","0.057874350100755693","0.057874350100755693","0.057874350100755693"
"500","0.05817057460546494","0.05817057460546494","0.05817057460546494"
"600","0.058206381052732466","0.058206381052732466","0.058206381052732466"
"700","0.05867187634110451","0.05867187634110451","0.05867187634110451"
"800","0.0573502616584301","0.0573502616584301","0.0573502616584301"
"900","0.05933268368244171","0.05933268368244171","0.05933268368244171"
"1000","0.05917317822575569","0.05917317822575569","0.05917317822575569"
"1100","0.05998047038912773","0.05998047038912773","0.05998047038912773"
"1200","0.060914714634418485","0.060914714634418485","0.060914714634418485"
"1300","0.06203125134110451","0.06203125134110451","0.06203125134110451"
"1400","0.060436199307441714","0.060436199307441714","0.060436199307441714"
"1500","0.0607389335334301","0.0607389335334301","0.0607389335334301"
"1600","0.062226564288139344","0.062226564288139344","0.062226564288139344"
"1700","0.0617806002497673","0.0617806002497673","0.0617806002497673"
"1800","0.06387695506215095","0.06387695506215095","0.06387695506215095"
"1900","0.06256836146116257","0.06256836146116257","0.06256836146116257"
"2000","0.06290364757180214","0.06290364757180214","0.06290364757180214"
"2100","0.06298502802848815","0.06298502802848815","0.06298502802848815"
"2200","0.06470052391290665","0.06470052391290665","0.06470052391290665"
"2300","0.06483073204755783","0.06483073204755783","0.06483073204755783"
"2400","0.06425781443715095","0.06425781443715095","0.06425781443715095"
"2500","0.06519531443715096","0.06519531443715096","0.06519531443715096"
"2600","0.06516276314854622","0.06516276314854622","0.06516276314854622"
"2700","0.06562825798988342","0.06562825798988342","0.06562825798988342"
"2800","0.06664388239383698","0.06664388239383698","0.06664388239383698"
"2900","0.06561849221587181","0.06561849221587181","0.06561849221587181"
"3000","0.06601888194680214","0.06601888194680214","0.06601888194680214"
