"Step","counting_medium_encoder_perm_variant_0 - loss","counting_medium_encoder_perm_variant_0 - loss__MIN","counting_medium_encoder_perm_variant_0 - loss__MAX"
"100","2.145710793733597","2.145710793733597","2.145710793733597"
"200","1.426404470205307","1.426404470205307","1.426404470205307"
"300","0.8208855462074279","0.8208855462074279","0.8208855462074279"
"400","0.43316662177443505","0.43316662177443505","0.43316662177443505"
"500","0.30868167623877524","0.30868167623877524","0.30868167623877524"
"600","0.519846993535757","0.519846993535757","0.519846993535757"
"700","0.5168237237632275","0.5168237237632275","0.5168237237632275"
"800","0.21583652272820472","0.21583652272820472","0.21583652272820472"
"900","0.21949745245277882","0.21949745245277882","0.21949745245277882"
"1000","0.17326115623116492","0.17326115623116492","0.17326115623116492"
"1100","0.21915354054421188","0.21915354054421188","0.21915354054421188"
"1200","0.13181431874632835","0.13181431874632835","0.13181431874632835"
"1300","0.310417839884758","0.310417839884758","0.310417839884758"
"1400","0.1455156412348151","0.1455156412348151","0.1455156412348151"
"1500","0.09208834815770388","0.09208834815770388","0.09208834815770388"
"1600","0.13534742631018162","0.13534742631018162","0.13534742631018162"
"1700","0.12463136166334152","0.12463136166334152","0.12463136166334152"
"1800","0.10762733137235045","0.10762733137235045","0.10762733137235045"
"1900","0.03402352526783943","0.03402352526783943","0.03402352526783943"
"2000","0.07366223163902759","0.07366223163902759","0.07366223163902759"
"2100","0.03562813613563776","0.03562813613563776","0.03562813613563776"
"2200","0.08648054018616676","0.08648054018616676","0.08648054018616676"
"2300","0.033930330760777","0.033930330760777","0.033930330760777"
"2400","0.04230096774175763","0.04230096774175763","0.04230096774175763"
"2500","0.06847798787057399","0.06847798787057399","0.06847798787057399"
"2600","0.02826873503625393","0.02826873503625393","0.02826873503625393"
"2700","0.02664603378623724","0.02664603378623724","0.02664603378623724"
"2800","0.06587287030182779","0.06587287030182779","0.06587287030182779"
"2900","0.021874911328777672","0.021874911328777672","0.021874911328777672"
"3000","0.021935077756643294","0.021935077756643294","0.021935077756643294"
"3100","0.03676488868892193","0.03676488868892193","0.03676488868892193"
"3200","0.022312198644503952","0.022312198644503952","0.022312198644503952"
"3300","0.06355112327262759","0.06355112327262759","0.06355112327262759"
"3400","0.01767960381694138","0.01767960381694138","0.01767960381694138"
"3500","0.017383340178057552","0.017383340178057552","0.017383340178057552"
"3600","0.017792046554386615","0.017792046554386615","0.017792046554386615"
"3700","0.019874017536640167","0.019874017536640167","0.019874017536640167"
"3800","0.025805152645334603","0.025805152645334603","0.025805152645334603"
"3900","0.01570966883562505","0.01570966883562505","0.01570966883562505"
"4000","0.01604780892841518","0.01604780892841518","0.01604780892841518"
"4100","0.015397668918594717","0.015397668918594717","0.015397668918594717"
"4200","0.02077447248622775","0.02077447248622775","0.02077447248622775"
"4300","0.013951563090085984","0.013951563090085984","0.013951563090085984"
"4400","0.015369892111048103","0.015369892111048103","0.015369892111048103"
"4500","0.014988024914637209","0.014988024914637209","0.014988024914637209"
"4600","0.013669151929207146","0.013669151929207146","0.013669151929207146"
"4700","0.013466541580855846","0.013466541580855846","0.013466541580855846"
"4800","0.013314504045993089","0.013314504045993089","0.013314504045993089"
"4900","0.013519231192767621","0.013519231192767621","0.013519231192767621"
"5000","0.015579235940240323","0.015579235940240323","0.015579235940240323"
"5100","0.012482531336136162","0.012482531336136162","0.012482531336136162"
"5200","0.012583269351162017","0.012583269351162017","0.012583269351162017"
"5300","0.013230875944718718","0.013230875944718718","0.013230875944718718"
"5400","0.012950967759825288","0.012950967759825288","0.012950967759825288"
"5500","0.012520453706383706","0.012520453706383706","0.012520453706383706"
"5600","0.013162894914858043","0.013162894914858043","0.013162894914858043"
"5700","0.01332931169308722","0.01332931169308722","0.01332931169308722"
"5800","0.016512662204913795","0.016512662204913795","0.016512662204913795"
"5900","0.011229102388024331","0.011229102388024331","0.011229102388024331"
"6000","0.011319242538884283","0.011319242538884283","0.011319242538884283"
"6100","0.011920800348743796","0.011920800348743796","0.011920800348743796"
"6200","0.012007665745913982","0.012007665745913982","0.012007665745913982"
"6300","0.011909122066572308","0.011909122066572308","0.011909122066572308"
"6400","0.012188577582128346","0.012188577582128346","0.012188577582128346"
"6500","0.011201151721179485","0.011201151721179485","0.011201151721179485"
"6600","0.011525918804109097","0.011525918804109097","0.011525918804109097"
"6700","0.011506492486223579","0.011506492486223579","0.011506492486223579"
"6800","0.011438956805504859","0.011438956805504859","0.011438956805504859"
"6900","0.010751399737782776","0.010751399737782776","0.010751399737782776"
"7000","0.010528388149105013","0.010528388149105013","0.010528388149105013"
"7100","0.009611561200581492","0.009611561200581492","0.009611561200581492"
"7200","0.01064591778907925","0.01064591778907925","0.01064591778907925"
"7300","0.010019287220202386","0.010019287220202386","0.010019287220202386"
"7400","0.009147894666530192","0.009147894666530192","0.009147894666530192"
"7500","0.009980829060077667","0.009980829060077667","0.009980829060077667"
"7600","0.009921908052638173","0.009921908052638173","0.009921908052638173"
"7700","0.010042768744751811","0.010042768744751811","0.010042768744751811"
"7800","0.009540319028310477","0.009540319028310477","0.009540319028310477"
"7900","0.009952953201718628","0.009952953201718628","0.009952953201718628"
"8000","0.009842102660331874","0.009842102660331874","0.009842102660331874"
"8100","0.009473067508079112","0.009473067508079112","0.009473067508079112"
"8200","0.00939126567915082","0.00939126567915082","0.00939126567915082"
"8300","0.010537668373435735","0.010537668373435735","0.010537668373435735"
"8400","0.009148712228052318","0.009148712228052318","0.009148712228052318"
"8500","0.009589160750620067","0.009589160750620067","0.009589160750620067"
"8600","0.009081993645522743","0.009081993645522743","0.009081993645522743"
"8700","0.009746228775475175","0.009746228775475175","0.009746228775475175"
"8800","0.008862131203059107","0.008862131203059107","0.008862131203059107"
"8900","0.009132248109672218","0.009132248109672218","0.009132248109672218"
"9000","0.013691405304707588","0.013691405304707588","0.013691405304707588"
"9100","0.00823828992433846","0.00823828992433846","0.00823828992433846"
"9200","0.00831805052002892","0.00831805052002892","0.00831805052002892"
"9300","0.008942383690737188","0.008942383690737188","0.008942383690737188"
"9400","0.009204616961069405","0.009204616961069405","0.009204616961069405"
"9500","0.009739027940668166","0.009739027940668166","0.009739027940668166"
"9600","0.012022036430425941","0.012022036430425941","0.012022036430425941"
"9700","0.013462248183786869","0.013462248183786869","0.013462248183786869"
"9800","0.008288883613422513","0.008288883613422513","0.008288883613422513"
"9900","0.008444749913178385","0.008444749913178385","0.008444749913178385"
"10000","0.008480513184331358","0.008480513184331358","0.008480513184331358"
