"Step","counting_large_encoder_nope_perm_variant_0 - loss","counting_large_encoder_nope_perm_variant_0 - loss__MIN","counting_large_encoder_nope_perm_variant_0 - loss__MAX"
"100","1.6486377906799317","1.6486377906799317","1.6486377906799317"
"200","1.4919710302352904","1.4919710302352904","1.4919710302352904"
"300","1.38046226978302","1.38046226978302","1.38046226978302"
"400","1.3096956300735474","1.3096956300735474","1.3096956300735474"
"500","1.2177113926410674","1.2177113926410674","1.2177113926410674"
"600","1.1755599689483642","1.1755599689483642","1.1755599689483642"
"700","1.1232926917076111","1.1232926917076111","1.1232926917076111"
"800","1.1278571337461472","1.1278571337461472","1.1278571337461472"
"900","1.068991059064865","1.068991059064865","1.068991059064865"
"1000","1.0527305430173874","1.0527305430173874","1.0527305430173874"
"1100","1.0199895632266998","1.0199895632266998","1.0199895632266998"
"1200","0.9869868040084839","0.9869868040084839","0.9869868040084839"
"1300","0.9676884144544602","0.9676884144544602","0.9676884144544602"
"1400","0.9408000552654266","0.9408000552654266","0.9408000552654266"
"1500","0.9023537802696228","0.9023537802696228","0.9023537802696228"
"1600","0.8522393530607224","0.8522393530607224","0.8522393530607224"
"1700","0.8630763512849807","0.8630763512849807","0.8630763512849807"
"1800","0.8534984356164932","0.8534984356164932","0.8534984356164932"
"1900","0.8181016576290131","0.8181016576290131","0.8181016576290131"
"2000","0.7930079138278961","0.7930079138278961","0.7930079138278961"
"2100","0.7596408599615097","0.7596408599615097","0.7596408599615097"
"2200","0.7418196424841881","0.7418196424841881","0.7418196424841881"
"2300","0.7564716356992721","0.7564716356992721","0.7564716356992721"
"2400","0.7147533392906189","0.7147533392906189","0.7147533392906189"
"2500","0.7232478046417237","0.7232478046417237","0.7232478046417237"
"2600","0.713228948712349","0.713228948712349","0.713228948712349"
"2700","0.6856729835271835","0.6856729835271835","0.6856729835271835"
"2800","0.6891947638988495","0.6891947638988495","0.6891947638988495"
"2900","0.6418548548221588","0.6418548548221588","0.6418548548221588"
"3000","0.6296723407506942","0.6296723407506942","0.6296723407506942"
"3100","0.6184676030278206","0.6184676030278206","0.6184676030278206"
"3200","0.5892036816477776","0.5892036816477776","0.5892036816477776"
"3300","0.5940935909748077","0.5940935909748077","0.5940935909748077"
"3400","0.5581746205687523","0.5581746205687523","0.5581746205687523"
"3500","0.5768300107121468","0.5768300107121468","0.5768300107121468"
"3600","0.553208175599575","0.553208175599575","0.553208175599575"
"3700","0.5524822127819061","0.5524822127819061","0.5524822127819061"
"3800","0.5313161507248878","0.5313161507248878","0.5313161507248878"
"3900","0.5249669995903968","0.5249669995903968","0.5249669995903968"
"4000","0.5216067895293236","0.5216067895293236","0.5216067895293236"
"4100","0.506265122294426","0.506265122294426","0.506265122294426"
"4200","0.4978440520167351","0.4978440520167351","0.4978440520167351"
"4300","0.4999901893734932","0.4999901893734932","0.4999901893734932"
"4400","0.4834983158111572","0.4834983158111572","0.4834983158111572"
"4500","0.48615083187818525","0.48615083187818525","0.48615083187818525"
"4600","0.47687417358160017","0.47687417358160017","0.47687417358160017"
"4700","0.4673840460181236","0.4673840460181236","0.4673840460181236"
"4800","0.47920168459415435","0.47920168459415435","0.47920168459415435"
"4900","0.4548711040616035","0.4548711040616035","0.4548711040616035"
"5000","0.4576307940483093","0.4576307940483093","0.4576307940483093"
"5100","0.4566055145859718","0.4566055145859718","0.4566055145859718"
"5200","0.4509107747673988","0.4509107747673988","0.4509107747673988"
"5300","0.4487640282511711","0.4487640282511711","0.4487640282511711"
"5400","0.44623141795396803","0.44623141795396803","0.44623141795396803"
"5500","0.4418255344033241","0.4418255344033241","0.4418255344033241"
"5600","0.4457550859451294","0.4457550859451294","0.4457550859451294"
"5700","0.4470790821313858","0.4470790821313858","0.4470790821313858"
"5800","0.44020348966121675","0.44020348966121675","0.44020348966121675"
"5900","0.43569547176361084","0.43569547176361084","0.43569547176361084"
"6000","0.4422928461432457","0.4422928461432457","0.4422928461432457"
"6100","0.44562454968690873","0.44562454968690873","0.44562454968690873"
"6200","0.44227564066648484","0.44227564066648484","0.44227564066648484"
"6300","0.4484826493263245","0.4484826493263245","0.4484826493263245"
"6400","0.43932065814733506","0.43932065814733506","0.43932065814733506"
"6500","0.4337960812449455","0.4337960812449455","0.4337960812449455"
"6600","0.4285619580745697","0.4285619580745697","0.4285619580745697"
"6700","0.43565074265003206","0.43565074265003206","0.43565074265003206"
"6800","0.4319626325368881","0.4319626325368881","0.4319626325368881"
"6900","0.4296495652198791","0.4296495652198791","0.4296495652198791"
"7000","0.42383462518453596","0.42383462518453596","0.42383462518453596"
"7100","0.4267017510533333","0.4267017510533333","0.4267017510533333"
"7200","0.4168535229563713","0.4168535229563713","0.4168535229563713"
"7300","0.42797098457813265","0.42797098457813265","0.42797098457813265"
"7400","0.4228964912891388","0.4228964912891388","0.4228964912891388"
"7500","0.42975477665662765","0.42975477665662765","0.42975477665662765"
"7600","0.4278131252527237","0.4278131252527237","0.4278131252527237"
"7700","0.42525228261947634","0.42525228261947634","0.42525228261947634"
"7800","0.4194684919714928","0.4194684919714928","0.4194684919714928"
"7900","0.4185772129893303","0.4185772129893303","0.4185772129893303"
"8000","0.4205780836939812","0.4205780836939812","0.4205780836939812"
"8100","0.4068135040998459","0.4068135040998459","0.4068135040998459"
"8200","0.42257340222597123","0.42257340222597123","0.42257340222597123"
"8300","0.42490230947732927","0.42490230947732927","0.42490230947732927"
"8400","0.41263088494539263","0.41263088494539263","0.41263088494539263"
"8500","0.40754387646913526","0.40754387646913526","0.40754387646913526"
"8600","0.41376747101545336","0.41376747101545336","0.41376747101545336"
"8700","0.41304936140775683","0.41304936140775683","0.41304936140775683"
"8800","0.4163805741071701","0.4163805741071701","0.4163805741071701"
"8900","0.4064372181892395","0.4064372181892395","0.4064372181892395"
"9000","0.4077889317274094","0.4077889317274094","0.4077889317274094"
"9100","0.4119070902466774","0.4119070902466774","0.4119070902466774"
"9200","0.40681443601846695","0.40681443601846695","0.40681443601846695"
"9300","0.4048116609454155","0.4048116609454155","0.4048116609454155"
"9400","0.4076044285297394","0.4076044285297394","0.4076044285297394"
"9500","0.4019717252254486","0.4019717252254486","0.4019717252254486"
"9600","0.400870306789875","0.400870306789875","0.400870306789875"
"9700","0.4035724127292633","0.4035724127292633","0.4035724127292633"
"9800","0.40022973030805586","0.40022973030805586","0.40022973030805586"
"9900","0.4088271322846413","0.4088271322846413","0.4088271322846413"
"10000","0.4017808738350868","0.4017808738350868","0.4017808738350868"
