"Step","count3_medium_encoder_0_resumed - sequence_accuracy","count3_medium_encoder_0_resumed - sequence_accuracy__MIN","count3_medium_encoder_0_resumed - sequence_accuracy__MAX"
"67700","0.5346875","0.5346875","0.5346875"
"67800","0.359375","0.359375","0.359375"
"67900","0.3634375","0.3634375","0.3634375"
"68000","0.2278125","0.2278125","0.2278125"
"68100","0.27984375","0.27984375","0.27984375"
"68200","0.58453125","0.58453125","0.58453125"
"68300","0.3390625","0.3390625","0.3390625"
"68400","0.000625","0.000625","0.000625"
"68500","0.738125","0.738125","0.738125"
"68600","0.245625","0.245625","0.245625"
"68700","0.35765625","0.35765625","0.35765625"
"68800","0.37203125","0.37203125","0.37203125"
"68900","0.35609375","0.35609375","0.35609375"
"69000","0.4778125","0.4778125","0.4778125"
"69100","0.56","0.56","0.56"
"69200","0.504375","0.504375","0.504375"
"69300","0.48578125","0.48578125","0.48578125"
"69400","0.6540625","0.6540625","0.6540625"
"69500","0.40203125","0.40203125","0.40203125"
"69600","0.345","0.345","0.345"
"69700","0.5178125","0.5178125","0.5178125"
"69800","0.405625","0.405625","0.405625"
"69900","0.40546875","0.40546875","0.40546875"
"70000","0.46328125","0.46328125","0.46328125"
"70100","0.596875","0.596875","0.596875"
"70200","0.531875","0.531875","0.531875"
"70300","0.475625","0.475625","0.475625"
"70400","0.34109375","0.34109375","0.34109375"
"70500","0.179375","0.179375","0.179375"
"70600","0.58265625","0.58265625","0.58265625"
"70700","0.27265625","0.27265625","0.27265625"
"70800","0.5034375","0.5034375","0.5034375"
"70900","0.0725","0.0725","0.0725"
"71000","0.6140625","0.6140625","0.6140625"
"71100","0.56390625","0.56390625","0.56390625"
"71200","0.324375","0.324375","0.324375"
"71300","0.66296875","0.66296875","0.66296875"
"71400","0.2171875","0.2171875","0.2171875"
"71500","0.5790625","0.5790625","0.5790625"
"71600","0.45578125","0.45578125","0.45578125"
"71700","0.24546875","0.24546875","0.24546875"
"71800","0.51171875","0.51171875","0.51171875"
"71900","0.5334375","0.5334375","0.5334375"
"72000","0.11890625","0.11890625","0.11890625"
"72100","0.5328125","0.5328125","0.5328125"
"72200","0.35984375","0.35984375","0.35984375"
"72300","0.35015625","0.35015625","0.35015625"
"72400","0.5040625","0.5040625","0.5040625"
"72500","0.56609375","0.56609375","0.56609375"
"72600","0.545","0.545","0.545"
"72700","0.72390625","0.72390625","0.72390625"
"72800","0.460625","0.460625","0.460625"
"72900","0.485","0.485","0.485"
"73000","0.53078125","0.53078125","0.53078125"
"73100","0.414375","0.414375","0.414375"
"73200","0.76421875","0.76421875","0.76421875"
"73300","0.520625","0.520625","0.520625"
"73400","0.47265625","0.47265625","0.47265625"
"73500","0.545625","0.545625","0.545625"
"73600","0.56734375","0.56734375","0.56734375"
"73700","0.11921875","0.11921875","0.11921875"
"73800","0","0","0"
"73900","0.839375","0.839375","0.839375"
"74000","0.665","0.665","0.665"
"74100","0.62671875","0.62671875","0.62671875"
"74200","0.59859375","0.59859375","0.59859375"
"74300","0.5371875","0.5371875","0.5371875"
"74400","0.72421875","0.72421875","0.72421875"
"74500","0.5090625","0.5090625","0.5090625"
"74600","0.52828125","0.52828125","0.52828125"
"74700","0.7446875","0.7446875","0.7446875"
"74800","0.36765625","0.36765625","0.36765625"
"74900","0.55515625","0.55515625","0.55515625"
"75000","0.83421875","0.83421875","0.83421875"
"75100","0.72109375","0.72109375","0.72109375"
"75200","0.5065625","0.5065625","0.5065625"
"75300","0.61640625","0.61640625","0.61640625"
"75400","0.51234375","0.51234375","0.51234375"
"75500","0.11796875","0.11796875","0.11796875"
"75600","0.7596875","0.7596875","0.7596875"
"75700","0.601875","0.601875","0.601875"
"75800","0.74078125","0.74078125","0.74078125"
"75900","0.680625","0.680625","0.680625"
"76000","0.61578125","0.61578125","0.61578125"
"76100","0.626875","0.626875","0.626875"
"76200","0.47453125","0.47453125","0.47453125"
"76300","0.6684375","0.6684375","0.6684375"
"76400","0.549375","0.549375","0.549375"
"76500","0.6209375","0.6209375","0.6209375"
"76600","0.49953125","0.49953125","0.49953125"
"76700","0.8296875","0.8296875","0.8296875"
"76800","0.68953125","0.68953125","0.68953125"
"76900","0.7125","0.7125","0.7125"
"77000","0.576875","0.576875","0.576875"
"77100","0.62","0.62","0.62"
"77200","0.6340625","0.6340625","0.6340625"
"77300","0.700625","0.700625","0.700625"
"77400","0.3696875","0.3696875","0.3696875"
"77500","0.07390625","0.07390625","0.07390625"
"77600","0.8653125","0.8653125","0.8653125"
"77700","0.69796875","0.69796875","0.69796875"
"77800","0.5553125","0.5553125","0.5553125"
"77900","0.53296875","0.53296875","0.53296875"
"78000","0.59203125","0.59203125","0.59203125"
"78100","0.52796875","0.52796875","0.52796875"
"78200","0.60234375","0.60234375","0.60234375"
"78300","0.59390625","0.59390625","0.59390625"
"78400","0.18453125","0.18453125","0.18453125"
"78500","0.835625","0.835625","0.835625"
"78600","0.653125","0.653125","0.653125"
"78700","0.574375","0.574375","0.574375"
"78800","0.71","0.71","0.71"
"78900","0.78296875","0.78296875","0.78296875"
"79000","0.86609375","0.86609375","0.86609375"
"79100","0.63375","0.63375","0.63375"
"79200","0.249375","0.249375","0.249375"
"79300","0.8140625","0.8140625","0.8140625"
"79400","0.68921875","0.68921875","0.68921875"
"79500","0.64375","0.64375","0.64375"
"79600","0.86734375","0.86734375","0.86734375"
"79700","0.808125","0.808125","0.808125"
"79800","0.78625","0.78625","0.78625"
"79900","0.64484375","0.64484375","0.64484375"
"80000","0.77171875","0.77171875","0.77171875"
"80100","0.5675","0.5675","0.5675"
"80200","0.5171875","0.5171875","0.5171875"
"80300","0.90421875","0.90421875","0.90421875"
"80400","0.8721875","0.8721875","0.8721875"
"80500","0.69625","0.69625","0.69625"
"80600","0.76","0.76","0.76"
"80700","0.25296875","0.25296875","0.25296875"
"80800","0.918125","0.918125","0.918125"
"80900","0.78515625","0.78515625","0.78515625"
"81000","0.758125","0.758125","0.758125"
"81100","0.72421875","0.72421875","0.72421875"
"81200","0.74546875","0.74546875","0.74546875"
"81300","0.906875","0.906875","0.906875"
"81400","0.80296875","0.80296875","0.80296875"
"81500","0.63375","0.63375","0.63375"
"81600","0.759375","0.759375","0.759375"
"81700","0.72828125","0.72828125","0.72828125"
"81800","0.51984375","0.51984375","0.51984375"
"81900","0.81703125","0.81703125","0.81703125"
"82000","0.7853125","0.7853125","0.7853125"
"82100","0.67765625","0.67765625","0.67765625"
"82200","0.9009375","0.9009375","0.9009375"
"82300","0.90609375","0.90609375","0.90609375"
"82400","0.7778125","0.7778125","0.7778125"
"82500","0.7171875","0.7171875","0.7171875"
"82600","0.67375","0.67375","0.67375"
"82700","0.79828125","0.79828125","0.79828125"
"82800","0.77015625","0.77015625","0.77015625"
"82900","0.6378125","0.6378125","0.6378125"
"83000","0.75734375","0.75734375","0.75734375"
"83100","0.64234375","0.64234375","0.64234375"
"83200","0.78625","0.78625","0.78625"
"83300","0.9003125","0.9003125","0.9003125"
"83400","0.82171875","0.82171875","0.82171875"
"83500","0.6096875","0.6096875","0.6096875"
"83600","0.79359375","0.79359375","0.79359375"
"83700","0.70796875","0.70796875","0.70796875"
"83800","0.7925","0.7925","0.7925"
"83900","0.00140625","0.00140625","0.00140625"
"84000","0.90203125","0.90203125","0.90203125"
"84100","0.905625","0.905625","0.905625"
"84200","0.6584375","0.6584375","0.6584375"
"84300","0.76796875","0.76796875","0.76796875"
"84400","0.79015625","0.79015625","0.79015625"
"84500","0.75046875","0.75046875","0.75046875"
"84600","0.825625","0.825625","0.825625"
"84700","0.82265625","0.82265625","0.82265625"
"84800","0.79359375","0.79359375","0.79359375"
"84900","0.76203125","0.76203125","0.76203125"
"85000","0.3053125","0.3053125","0.3053125"
"85100","0.93125","0.93125","0.93125"
"85200","0.90265625","0.90265625","0.90265625"
"85300","0.81890625","0.81890625","0.81890625"
"85400","0.74015625","0.74015625","0.74015625"
"85500","0.86421875","0.86421875","0.86421875"
"85600","0.83890625","0.83890625","0.83890625"
"85700","0.86578125","0.86578125","0.86578125"
"85800","0.9346875","0.9346875","0.9346875"
"85900","0.79359375","0.79359375","0.79359375"
"86000","0.83265625","0.83265625","0.83265625"
"86100","0.78625","0.78625","0.78625"
"86200","0.79921875","0.79921875","0.79921875"
"86300","0.181875","0.181875","0.181875"
"86400","0.914375","0.914375","0.914375"
"86500","0.8346875","0.8346875","0.8346875"
"86600","0.71609375","0.71609375","0.71609375"
"86700","0.805625","0.805625","0.805625"
"86800","0.8521875","0.8521875","0.8521875"
"86900","0.774375","0.774375","0.774375"
"87000","0.695","0.695","0.695"
"87100","0.8196875","0.8196875","0.8196875"
"87200","0.79078125","0.79078125","0.79078125"
"87300","0.81953125","0.81953125","0.81953125"
"87400","0.779375","0.779375","0.779375"
"87500","0.84625","0.84625","0.84625"
"87600","0.833125","0.833125","0.833125"
"87700","0.9309375","0.9309375","0.9309375"
"87800","0.85375","0.85375","0.85375"
"87900","0.8528125","0.8528125","0.8528125"
"88000","0.79421875","0.79421875","0.79421875"
"88100","0.74234375","0.74234375","0.74234375"
"88200","0.74984375","0.74984375","0.74984375"
"88300","0.7821875","0.7821875","0.7821875"
"88400","0.74125","0.74125","0.74125"
"88500","0.83109375","0.83109375","0.83109375"
"88600","0.74296875","0.74296875","0.74296875"
"88700","0.82515625","0.82515625","0.82515625"
"88800","0.82328125","0.82328125","0.82328125"
"88900","0.035","0.035","0.035"
"89000","0.9440625","0.9440625","0.9440625"
"89100","0.94625","0.94625","0.94625"
"89200","0.878125","0.878125","0.878125"
"89300","0.8675","0.8675","0.8675"
"89400","0.840625","0.840625","0.840625"
"89500","0.84140625","0.84140625","0.84140625"
"89600","0.06984375","0.06984375","0.06984375"
"89700","0.86265625","0.86265625","0.86265625"
"89800","0.09265625","0.09265625","0.09265625"
"89900","0.9509375","0.9509375","0.9509375"
"90000","0.9509375","0.9509375","0.9509375"
"90100","0.8128125","0.8128125","0.8128125"
"90200","0.8634375","0.8634375","0.8634375"
"90300","0.89484375","0.89484375","0.89484375"
"90400","0.74359375","0.74359375","0.74359375"
"90500","0.8325","0.8325","0.8325"
"90600","0.8665625","0.8665625","0.8665625"
"90700","0.74234375","0.74234375","0.74234375"
"90800","0.8765625","0.8765625","0.8765625"
"90900","0.86765625","0.86765625","0.86765625"
"91000","0.39109375","0.39109375","0.39109375"
"91100","0.916875","0.916875","0.916875"
