"Step","count3_medium_encoder_0_resumed - sequence_accuracy","count3_medium_encoder_0_resumed - sequence_accuracy__MIN","count3_medium_encoder_0_resumed - sequence_accuracy__MAX"
"102100","0.9503125","0.9503125","0.9503125"
"102200","0.90578125","0.90578125","0.90578125"
"102300","0.8509375","0.8509375","0.8509375"
"102400","0.961875","0.961875","0.961875"
"102500","0.9434375","0.9434375","0.9434375"
"102600","0.8965625","0.8965625","0.8965625"
"102700","0.93265625","0.93265625","0.93265625"
"102800","0.90265625","0.90265625","0.90265625"
"102900","0.921875","0.921875","0.921875"
"103000","0.933125","0.933125","0.933125"
"103100","0.94328125","0.94328125","0.94328125"
"103200","0.93296875","0.93296875","0.93296875"
"103300","0.91765625","0.91765625","0.91765625"
"103400","0.878125","0.878125","0.878125"
"103500","0.94078125","0.94078125","0.94078125"
"103600","0.84234375","0.84234375","0.84234375"
"103700","0.904375","0.904375","0.904375"
"103800","0.92078125","0.92078125","0.92078125"
"103900","0.9121875","0.9121875","0.9121875"
"104000","0.9196875","0.9196875","0.9196875"
"104100","0.94625","0.94625","0.94625"
"104200","0.92140625","0.92140625","0.92140625"
"104300","0","0","0"
"104400","0.97859375","0.97859375","0.97859375"
"104500","0.9821875","0.9821875","0.9821875"
"104600","0.9571875","0.9571875","0.9571875"
"104700","0.9428125","0.9428125","0.9428125"
"104800","0.89515625","0.89515625","0.89515625"
"104900","0.94625","0.94625","0.94625"
"105000","0.8903125","0.8903125","0.8903125"
"105100","0.91984375","0.91984375","0.91984375"
"105200","0.9646875","0.9646875","0.9646875"
"105300","0.97234375","0.97234375","0.97234375"
"105400","0.95875","0.95875","0.95875"
"105500","0.97296875","0.97296875","0.97296875"
"105600","0.94734375","0.94734375","0.94734375"
"105700","0.90921875","0.90921875","0.90921875"
"105800","0.90375","0.90375","0.90375"
"105900","0","0","0"
"106000","0.9809375","0.9809375","0.9809375"
"106100","0.97265625","0.97265625","0.97265625"
"106200","0.9253125","0.9253125","0.9253125"
"106300","0.920625","0.920625","0.920625"
"106400","0.9034375","0.9034375","0.9034375"
"106500","0.94375","0.94375","0.94375"
"106600","0.91015625","0.91015625","0.91015625"
"106700","0.8990625","0.8990625","0.8990625"
