"Step","memory_bound_extra_small_decoder_0 - loss","memory_bound_extra_small_decoder_0 - loss__MIN","memory_bound_extra_small_decoder_0 - loss__MAX"
"100","32.16260177612305","32.16260177612305","32.16260177612305"
"200","31.44226692199707","31.44226692199707","31.44226692199707"
"300","31.578867835998537","31.578867835998537","31.578867835998537"
"400","31.646542377471924","31.646542377471924","31.646542377471924"
"500","31.393528633117675","31.393528633117675","31.393528633117675"
"600","31.29504011154175","31.29504011154175","31.29504011154175"
"700","31.166441993713377","31.166441993713377","31.166441993713377"
"800","31.54362726211548","31.54362726211548","31.54362726211548"
"900","31.497260665893556","31.497260665893556","31.497260665893556"
"1000","31.32616975784302","31.32616975784302","31.32616975784302"
"1100","31.173858032226562","31.173858032226562","31.173858032226562"
"1200","31.161098232269286","31.161098232269286","31.161098232269286"
"1300","31.144799575805663","31.144799575805663","31.144799575805663"
"1400","30.827582321166993","30.827582321166993","30.827582321166993"
"1500","30.75395643234253","30.75395643234253","30.75395643234253"
"1600","30.715342273712157","30.715342273712157","30.715342273712157"
"1700","30.572796726226805","30.572796726226805","30.572796726226805"
"1800","30.55272693634033","30.55272693634033","30.55272693634033"
"1900","30.51023935317993","30.51023935317993","30.51023935317993"
"2000","30.56909090042114","30.56909090042114","30.56909090042114"
"2100","30.54679334640503","30.54679334640503","30.54679334640503"
"2200","30.38980489730835","30.38980489730835","30.38980489730835"
"2300","30.220208835601806","30.220208835601806","30.220208835601806"
"2400","30.382385692596436","30.382385692596436","30.382385692596436"
"2500","30.382986087799072","30.382986087799072","30.382986087799072"
"2600","30.222458057403564","30.222458057403564","30.222458057403564"
"2700","30.17125255584717","30.17125255584717","30.17125255584717"
"2800","30.233135261535644","30.233135261535644","30.233135261535644"
"2900","30.1188724899292","30.1188724899292","30.1188724899292"
"3000","29.990730113983155","29.990730113983155","29.990730113983155"
"3100","30.095875186920168","30.095875186920168","30.095875186920168"
"3200","29.89710096359253","29.89710096359253","29.89710096359253"
"3300","29.925204486846923","29.925204486846923","29.925204486846923"
"3400","29.96169975280762","29.96169975280762","29.96169975280762"
"3500","29.769257984161378","29.769257984161378","29.769257984161378"
"3600","29.744313850402833","29.744313850402833","29.744313850402833"
"3700","29.808200874328612","29.808200874328612","29.808200874328612"
"3800","29.766006717681886","29.766006717681886","29.766006717681886"
"3900","29.79403736114502","29.79403736114502","29.79403736114502"
"4000","29.792143993377685","29.792143993377685","29.792143993377685"
"4100","29.89299238204956","29.89299238204956","29.89299238204956"
"4200","29.689779186248778","29.689779186248778","29.689779186248778"
"4300","29.75133586883545","29.75133586883545","29.75133586883545"
"4400","29.67072868347168","29.67072868347168","29.67072868347168"
"4500","29.51029754638672","29.51029754638672","29.51029754638672"
"4600","29.481574764251707","29.481574764251707","29.481574764251707"
"4700","29.464120597839354","29.464120597839354","29.464120597839354"
"4800","29.67042682647705","29.67042682647705","29.67042682647705"
"4900","29.625812778472902","29.625812778472902","29.625812778472902"
"5000","29.516944541931153","29.516944541931153","29.516944541931153"
"5100","29.54170091629028","29.54170091629028","29.54170091629028"
"5200","29.43953435897827","29.43953435897827","29.43953435897827"
"5300","29.468981037139894","29.468981037139894","29.468981037139894"
"5400","29.130541191101074","29.130541191101074","29.130541191101074"
"5500","29.334230022430418","29.334230022430418","29.334230022430418"
"5600","29.390684757232666","29.390684757232666","29.390684757232666"
"5700","29.21506546020508","29.21506546020508","29.21506546020508"
"5800","29.327540588378906","29.327540588378906","29.327540588378906"
"5900","29.351188564300536","29.351188564300536","29.351188564300536"
"6000","29.262615070343017","29.262615070343017","29.262615070343017"
"6100","29.20907539367676","29.20907539367676","29.20907539367676"
"6200","29.146702613830566","29.146702613830566","29.146702613830566"
"6300","29.36675828933716","29.36675828933716","29.36675828933716"
"6400","29.09376314163208","29.09376314163208","29.09376314163208"
"6500","29.123499813079835","29.123499813079835","29.123499813079835"
"6600","29.014939804077148","29.014939804077148","29.014939804077148"
"6700","29.256808910369873","29.256808910369873","29.256808910369873"
"6800","29.021310367584228","29.021310367584228","29.021310367584228"
"6900","29.17348846435547","29.17348846435547","29.17348846435547"
"7000","28.98375665664673","28.98375665664673","28.98375665664673"
"7100","28.975849628448486","28.975849628448486","28.975849628448486"
"7200","28.978127212524413","28.978127212524413","28.978127212524413"
"7300","28.89761848449707","28.89761848449707","28.89761848449707"
"7400","28.962415504455567","28.962415504455567","28.962415504455567"
"7500","28.90152488708496","28.90152488708496","28.90152488708496"
"7600","28.81353893280029","28.81353893280029","28.81353893280029"
"7700","28.86256586074829","28.86256586074829","28.86256586074829"
"7800","28.796881046295166","28.796881046295166","28.796881046295166"
"7900","28.875381870269777","28.875381870269777","28.875381870269777"
"8000","28.876839370727538","28.876839370727538","28.876839370727538"
"8100","28.942120418548583","28.942120418548583","28.942120418548583"
"8200","28.64790138244629","28.64790138244629","28.64790138244629"
"8300","28.659440536499023","28.659440536499023","28.659440536499023"
"8400","28.831124420166017","28.831124420166017","28.831124420166017"
