"Step","reversed_addition_len_gen_extra_small_deep_encoder_2_fixed - val_acc","reversed_addition_len_gen_extra_small_deep_encoder_2_fixed - val_acc__MIN","reversed_addition_len_gen_extra_small_deep_encoder_2_fixed - val_acc__MAX"
"500","0","0","0"
"1000","0.0004","0.0004","0.0004"
"1500","0.0001","0.0001","0.0001"
"2000","0.0006","0.0006","0.0006"
"2500","0.0002","0.0002","0.0002"
"3000","0.0002","0.0002","0.0002"
"3500","0.0004","0.0004","0.0004"
"4000","0.0053","0.0053","0.0053"
"4500","0.0119","0.0119","0.0119"
"5000","0.0188","0.0188","0.0188"
"5500","0.0149","0.0149","0.0149"
"6000","0.0315","0.0315","0.0315"
"6500","0.0049","0.0049","0.0049"
"7000","0.6539","0.6539","0.6539"
"7500","0.9804","0.9804","0.9804"
"8000","0.0102","0.0102","0.0102"
"8500","1","1","1"
"9000","0.9974","0.9974","0.9974"
"9500","0.9933","0.9933","0.9933"
"10000","1","1","1"
"10500","0.9985","0.9985","0.9985"
"11000","0.9931","0.9931","0.9931"
"11500","1","1","1"
"12000","1","1","1"
"12500","1","1","1"
"13000","1","1","1"
"13500","0.9994","0.9994","0.9994"
"14000","0.9903","0.9903","0.9903"
"14500","0.9615","0.9615","0.9615"
"15000","1","1","1"
"15500","0.9927","0.9927","0.9927"
"16000","0.9988","0.9988","0.9988"
"16500","0.8488","0.8488","0.8488"
"17000","1","1","1"
