"Step","reversed_addition_len_gen_extra_small_deep_decoder_1_fixed - test_acc","reversed_addition_len_gen_extra_small_deep_decoder_1_fixed - test_acc__MIN","reversed_addition_len_gen_extra_small_deep_decoder_1_fixed - test_acc__MAX"
"500","0","0","0"
"1000","0","0","0"
"1500","0","0","0"
"2000","0","0","0"
"2500","0","0","0"
"3000","0","0","0"
"3500","0.0001","0.0001","0.0001"
"4000","0.0002","0.0002","0.0002"
"4500","0.003","0.003","0.003"
"5000","0.0009","0.0009","0.0009"
"5500","0.0003","0.0003","0.0003"
"6000","0.0005","0.0005","0.0005"
"6500","0.017","0.017","0.017"
"7000","0.4594","0.4594","0.4594"
"7500","0.1068","0.1068","0.1068"
"8000","0.0759","0.0759","0.0759"
"8500","0.0257","0.0257","0.0257"
"9000","0.0984","0.0984","0.0984"
"9500","0.0648","0.0648","0.0648"
"10000","0.1284","0.1284","0.1284"
"10500","0.3274","0.3274","0.3274"
"11000","0.1787","0.1787","0.1787"
"11500","0.0697","0.0697","0.0697"
"12000","0.0249","0.0249","0.0249"
"12500","0.255","0.255","0.255"
"13000","0.0319","0.0319","0.0319"
"13500","0.218","0.218","0.218"
"14000","0.1608","0.1608","0.1608"
"14500","0.2717","0.2717","0.2717"
"15000","0.0663","0.0663","0.0663"
"15500","0.2055","0.2055","0.2055"
"16000","0.2996","0.2996","0.2996"
"16500","0.1932","0.1932","0.1932"
"17000","0.0292","0.0292","0.0292"
"17500","0.4729","0.4729","0.4729"
"18000","0.067","0.067","0.067"
"18500","0.204","0.204","0.204"
"19000","0.2721","0.2721","0.2721"
"19500","0.0815","0.0815","0.0815"
"20000","0.0944","0.0944","0.0944"
"20500","0.1772","0.1772","0.1772"
"21000","0.0812","0.0812","0.0812"
"21500","0.0187","0.0187","0.0187"
"22000","0.5239","0.5239","0.5239"
"22500","0.185","0.185","0.185"
"23000","0.2539","0.2539","0.2539"
"23500","0.3647","0.3647","0.3647"
"24000","0.2658","0.2658","0.2658"
"24500","0.3578","0.3578","0.3578"
"25000","0.0704","0.0704","0.0704"
"25500","0.453","0.453","0.453"
"26000","0.2116","0.2116","0.2116"
"26500","0.242","0.242","0.242"
"27000","0.3571","0.3571","0.3571"
"27500","0.1105","0.1105","0.1105"
"28000","0.461","0.461","0.461"
"28500","0.0651","0.0651","0.0651"
"29000","0.67","0.67","0.67"
"29500","0.1491","0.1491","0.1491"
"30000","0.0246","0.0246","0.0246"
"30500","0.38","0.38","0.38"
"31000","0.3815","0.3815","0.3815"
"31500","0.1525","0.1525","0.1525"
"32000","0.0758","0.0758","0.0758"
"32500","0.0005","0.0005","0.0005"
"33000","0.2355","0.2355","0.2355"
"33500","0.2958","0.2958","0.2958"
"34000","0.2963","0.2963","0.2963"
"34500","0.325","0.325","0.325"
"35000","0.2363","0.2363","0.2363"
"35500","0.3553","0.3553","0.3553"
"36000","0.2659","0.2659","0.2659"
"36500","0.1632","0.1632","0.1632"
"37000","0.2421","0.2421","0.2421"
"37500","0.2494","0.2494","0.2494"
"38000","0.4462","0.4462","0.4462"
"38500","0.1499","0.1499","0.1499"
"39000","0.1213","0.1213","0.1213"
"39500","0.3949","0.3949","0.3949"
"40000","0.303","0.303","0.303"
"40500","0.3769","0.3769","0.3769"
"41000","0.2143","0.2143","0.2143"
"41500","0.2773","0.2773","0.2773"
"42000","0.2695","0.2695","0.2695"
"42500","0.2929","0.2929","0.2929"
"43000","0.3748","0.3748","0.3748"
"43500","0.3023","0.3023","0.3023"
"44000","0.375","0.375","0.375"
"44500","0.196","0.196","0.196"
"45000","0.2489","0.2489","0.2489"
"45500","0.1735","0.1735","0.1735"
"46000","0.4453","0.4453","0.4453"
"46500","0.2996","0.2996","0.2996"
"47000","0.3734","0.3734","0.3734"
"47500","0.5586","0.5586","0.5586"
"48000","0.3621","0.3621","0.3621"
"48500","0.3824","0.3824","0.3824"
"49000","0.4033","0.4033","0.4033"
"49500","0.2664","0.2664","0.2664"
"50000","0.2266","0.2266","0.2266"
