"Step","count3_medium_encoder_0_resumed - loss","count3_medium_encoder_0_resumed - loss__MIN","count3_medium_encoder_0_resumed - loss__MAX"
"31600","1.1606798708438872","1.1606798708438872","1.1606798708438872"
"31700","1.145858895778656","1.145858895778656","1.145858895778656"
"31800","1.1306768727302552","1.1306768727302552","1.1306768727302552"
"31900","1.1431959307193755","1.1431959307193755","1.1431959307193755"
"32000","1.152337486743927","1.152337486743927","1.152337486743927"
"32100","1.125683113336563","1.125683113336563","1.125683113336563"
"32200","1.1265065455436707","1.1265065455436707","1.1265065455436707"
"32300","1.1229822874069213","1.1229822874069213","1.1229822874069213"
"32400","1.1312324023246765","1.1312324023246765","1.1312324023246765"
"32500","1.1182510983943938","1.1182510983943938","1.1182510983943938"
"32600","1.1178353667259215","1.1178353667259215","1.1178353667259215"
"32700","1.1230798768997192","1.1230798768997192","1.1230798768997192"
"32800","1.1090655660629272","1.1090655660629272","1.1090655660629272"
"32900","1.1116788172721863","1.1116788172721863","1.1116788172721863"
"33000","1.121061954498291","1.121061954498291","1.121061954498291"
"33100","1.1025420606136322","1.1025420606136322","1.1025420606136322"
"33200","1.1031885075569152","1.1031885075569152","1.1031885075569152"
"33300","1.0919450724124908","1.0919450724124908","1.0919450724124908"
"33400","1.0961203062534333","1.0961203062534333","1.0961203062534333"
"33500","1.102935073375702","1.102935073375702","1.102935073375702"
"33600","1.0848849719762803","1.0848849719762803","1.0848849719762803"
"33700","1.081869072318077","1.081869072318077","1.081869072318077"
"33800","1.0792707514762878","1.0792707514762878","1.0792707514762878"
"33900","1.0823614549636842","1.0823614549636842","1.0823614549636842"
"34000","1.0666967290639877","1.0666967290639877","1.0666967290639877"
"34100","1.0760838317871093","1.0760838317871093","1.0760838317871093"
"34200","1.0680580633878707","1.0680580633878707","1.0680580633878707"
"34300","1.0665292376279831","1.0665292376279831","1.0665292376279831"
"34400","1.0635062158107758","1.0635062158107758","1.0635062158107758"
"34500","1.0712269365787506","1.0712269365787506","1.0712269365787506"
"34600","1.073975465297699","1.073975465297699","1.073975465297699"
"34700","1.054158695936203","1.054158695936203","1.054158695936203"
"34800","1.0527364444732665","1.0527364444732665","1.0527364444732665"
"34900","1.0416348439455032","1.0416348439455032","1.0416348439455032"
"35000","1.0528967559337616","1.0528967559337616","1.0528967559337616"
"35100","1.041809874176979","1.041809874176979","1.041809874176979"
"35200","1.0467617452144622","1.0467617452144622","1.0467617452144622"
"35300","1.0420528626441956","1.0420528626441956","1.0420528626441956"
"35400","1.0411262899637221","1.0411262899637221","1.0411262899637221"
"35500","1.0399667209386825","1.0399667209386825","1.0399667209386825"
"35600","1.033179715871811","1.033179715871811","1.033179715871811"
"35700","1.0241595315933227","1.0241595315933227","1.0241595315933227"
"35800","1.0308589667081833","1.0308589667081833","1.0308589667081833"
"35900","1.014660388827324","1.014660388827324","1.014660388827324"
"36000","1.0215370178222656","1.0215370178222656","1.0215370178222656"
"36100","1.0156106841564179","1.0156106841564179","1.0156106841564179"
"36200","1.0182958203554153","1.0182958203554153","1.0182958203554153"
"36300","1.0095720380544662","1.0095720380544662","1.0095720380544662"
"36400","1.0110122400522232","1.0110122400522232","1.0110122400522232"
"36500","0.9998388183116913","0.9998388183116913","0.9998388183116913"
"36600","0.9962150800228119","0.9962150800228119","0.9962150800228119"
"36700","1.0080210161209107","1.0080210161209107","1.0080210161209107"
"36800","0.9882361549139023","0.9882361549139023","0.9882361549139023"
"36900","0.992300945520401","0.992300945520401","0.992300945520401"
"37000","0.9920479011535644","0.9920479011535644","0.9920479011535644"
"37100","0.99575519323349","0.99575519323349","0.99575519323349"
"37200","0.9924903059005737","0.9924903059005737","0.9924903059005737"
"37300","0.9871786600351333","0.9871786600351333","0.9871786600351333"
"37400","0.9732495790719986","0.9732495790719986","0.9732495790719986"
"37500","0.9839874970912933","0.9839874970912933","0.9839874970912933"
"37600","0.9632339251041412","0.9632339251041412","0.9632339251041412"
"37700","0.969598218202591","0.969598218202591","0.969598218202591"
"37800","0.9595039343833923","0.9595039343833923","0.9595039343833923"
"37900","0.9687075138092041","0.9687075138092041","0.9687075138092041"
"38000","0.9545312023162842","0.9545312023162842","0.9545312023162842"
"38100","0.9595936888456345","0.9595936888456345","0.9595936888456345"
"38200","0.9581124722957611","0.9581124722957611","0.9581124722957611"
"38300","0.9566469722986222","0.9566469722986222","0.9566469722986222"
"38400","0.9511039596796036","0.9511039596796036","0.9511039596796036"
"38500","0.942296187877655","0.942296187877655","0.942296187877655"
"38600","0.9322548604011536","0.9322548604011536","0.9322548604011536"
"38700","0.9395026737451553","0.9395026737451553","0.9395026737451553"
"38800","0.9465623539686203","0.9465623539686203","0.9465623539686203"
"38900","0.9429129207134247","0.9429129207134247","0.9429129207134247"
"39000","0.9230656290054321","0.9230656290054321","0.9230656290054321"
"39100","0.920743123292923","0.920743123292923","0.920743123292923"
"39200","0.9231804621219635","0.9231804621219635","0.9231804621219635"
"39300","0.9234167695045471","0.9234167695045471","0.9234167695045471"
"39400","0.926581762433052","0.926581762433052","0.926581762433052"
"39500","0.9135998916625977","0.9135998916625977","0.9135998916625977"
"39600","0.9189867162704468","0.9189867162704468","0.9189867162704468"
"39700","0.9060649210214615","0.9060649210214615","0.9060649210214615"
