"Step","plain_addition_small_encoder_0 - val_loss","plain_addition_small_encoder_0 - val_loss__MIN","plain_addition_small_encoder_0 - val_loss__MAX"
"100","1.837122939825058","1.837122939825058","1.837122939825058"
"200","1.625272296667099","1.625272296667099","1.625272296667099"
"300","1.5554356825351716","1.5554356825351716","1.5554356825351716"
"400","1.51888467669487","1.51888467669487","1.51888467669487"
"500","1.5739809739589692","1.5739809739589692","1.5739809739589692"
"600","1.4730025434494018","1.4730025434494018","1.4730025434494018"
"700","1.4418975126743316","1.4418975126743316","1.4418975126743316"
"800","1.4191910171508788","1.4191910171508788","1.4191910171508788"
"900","1.4089384996891021","1.4089384996891021","1.4089384996891021"
"1000","1.3564636719226837","1.3564636719226837","1.3564636719226837"
"1100","1.2509161233901978","1.2509161233901978","1.2509161233901978"
"1200","1.1955337977409364","1.1955337977409364","1.1955337977409364"
"1300","1.1589857590198518","1.1589857590198518","1.1589857590198518"
"1400","1.1522159659862519","1.1522159659862519","1.1522159659862519"
"1500","1.1445920085906982","1.1445920085906982","1.1445920085906982"
"1600","1.1481937050819397","1.1481937050819397","1.1481937050819397"
"1700","1.148404438495636","1.148404438495636","1.148404438495636"
"1800","1.1675886833667755","1.1675886833667755","1.1675886833667755"
"1900","1.2045861983299255","1.2045861983299255","1.2045861983299255"
"2000","1.2394967317581176","1.2394967317581176","1.2394967317581176"
"2100","1.332623109817505","1.332623109817505","1.332623109817505"
"2200","1.4334629023075103","1.4334629023075103","1.4334629023075103"
"2300","1.5555525958538055","1.5555525958538055","1.5555525958538055"
"2400","1.7119373154640198","1.7119373154640198","1.7119373154640198"
"2500","1.9141672205924989","1.9141672205924989","1.9141672205924989"
"2600","2.113891999721527","2.113891999721527","2.113891999721527"
"2700","2.279611942768097","2.279611942768097","2.279611942768097"
"2800","2.482182807922363","2.482182807922363","2.482182807922363"
"2900","2.589043505191803","2.589043505191803","2.589043505191803"
"3000","2.6717564845085144","2.6717564845085144","2.6717564845085144"
"3100","2.7549720788002015","2.7549720788002015","2.7549720788002015"
"3200","2.833898677825928","2.833898677825928","2.833898677825928"
"3300","2.8524175262451172","2.8524175262451172","2.8524175262451172"
"3400","2.914680800437927","2.914680800437927","2.914680800437927"
"3500","2.961081602573395","2.961081602573395","2.961081602573395"
"3600","2.968751108646393","2.968751108646393","2.968751108646393"
"3700","3.0343659114837647","3.0343659114837647","3.0343659114837647"
"3800","3.0594527077674867","3.0594527077674867","3.0594527077674867"
"3900","3.109262149333954","3.109262149333954","3.109262149333954"
"4000","3.0922194933891296","3.0922194933891296","3.0922194933891296"
