"Step","shakespeare_small_decoder_0 - val_loss","shakespeare_small_decoder_0 - val_loss__MIN","shakespeare_small_decoder_0 - val_loss__MAX"
"100","2.53760169506073","2.53760169506073","2.53760169506073"
"200","2.3228144788742067","2.3228144788742067","2.3228144788742067"
"300","2.1547295880317687","2.1547295880317687","2.1547295880317687"
"400","2.048667652606964","2.048667652606964","2.048667652606964"
"500","1.957996234893799","1.957996234893799","1.957996234893799"
"600","1.9108490228652955","1.9108490228652955","1.9108490228652955"
"700","1.854804277420044","1.854804277420044","1.854804277420044"
"800","1.8383441197872161","1.8383441197872161","1.8383441197872161"
"900","1.800153511762619","1.800153511762619","1.800153511762619"
"1000","1.7875274860858916","1.7875274860858916","1.7875274860858916"
"1100","1.7610233855247497","1.7610233855247497","1.7610233855247497"
"1200","1.7429333078861236","1.7429333078861236","1.7429333078861236"
"1300","1.7385802161693573","1.7385802161693573","1.7385802161693573"
"1400","1.7219526529312135","1.7219526529312135","1.7219526529312135"
"1500","1.6950150859355926","1.6950150859355926","1.6950150859355926"
"1600","1.7011188316345214","1.7011188316345214","1.7011188316345214"
"1700","1.6869263434410096","1.6869263434410096","1.6869263434410096"
"1800","1.6861333334445954","1.6861333334445954","1.6861333334445954"
"1900","1.6848579525947571","1.6848579525947571","1.6848579525947571"
"2000","1.6617613697052003","1.6617613697052003","1.6617613697052003"
"2100","1.6591623508930207","1.6591623508930207","1.6591623508930207"
"2200","1.6626793372631072","1.6626793372631072","1.6626793372631072"
"2300","1.6512463736534118","1.6512463736534118","1.6512463736534118"
"2400","1.651060084104538","1.651060084104538","1.651060084104538"
"2500","1.6370961618423463","1.6370961618423463","1.6370961618423463"
"2600","1.6428717052936554","1.6428717052936554","1.6428717052936554"
"2700","1.6281065893173219","1.6281065893173219","1.6281065893173219"
"2800","1.627903822660446","1.627903822660446","1.627903822660446"
"2900","1.6313108837604522","1.6313108837604522","1.6313108837604522"
"3000","1.631840637922287","1.631840637922287","1.631840637922287"
"3100","1.6340389049053192","1.6340389049053192","1.6340389049053192"
"3200","1.626501430273056","1.626501430273056","1.626501430273056"
"3300","1.6235990524291992","1.6235990524291992","1.6235990524291992"
"3400","1.6280586969852449","1.6280586969852449","1.6280586969852449"
"3500","1.628247787952423","1.628247787952423","1.628247787952423"
"3600","1.6170758163928987","1.6170758163928987","1.6170758163928987"
"3700","1.6238215041160584","1.6238215041160584","1.6238215041160584"
"3800","1.6336033070087432","1.6336033070087432","1.6336033070087432"
"3900","1.6250483667850495","1.6250483667850495","1.6250483667850495"
"4000","1.6274554121494293","1.6274554121494293","1.6274554121494293"
"4100","1.6176459348201753","1.6176459348201753","1.6176459348201753"
"4200","1.623622943162918","1.623622943162918","1.623622943162918"
"4300","1.6200250923633575","1.6200250923633575","1.6200250923633575"
"4400","1.6261622631549835","1.6261622631549835","1.6261622631549835"
"4500","1.619922935962677","1.619922935962677","1.619922935962677"
"4600","1.6190013933181762","1.6190013933181762","1.6190013933181762"
