"Step","reversed_addition_len_gen_extra_small_deep_decoder_0_fixed - val_acc","reversed_addition_len_gen_extra_small_deep_decoder_0_fixed - val_acc__MIN","reversed_addition_len_gen_extra_small_deep_decoder_0_fixed - val_acc__MAX"
"500","0.0002","0.0002","0.0002"
"1000","0.0001","0.0001","0.0001"
"1500","0.0003","0.0003","0.0003"
"2000","0.0001","0.0001","0.0001"
"2500","0.0003","0.0003","0.0003"
"3000","0.0006","0.0006","0.0006"
"3500","0.0036","0.0036","0.0036"
"4000","0.0077","0.0077","0.0077"
"4500","0.0136","0.0136","0.0136"
"5000","0.0153","0.0153","0.0153"
"5500","0.02","0.02","0.02"
"6000","0.097","0.097","0.097"
"6500","0.1467","0.1467","0.1467"
"7000","0.1575","0.1575","0.1575"
"7500","0.1369","0.1369","0.1369"
"8000","0.1672","0.1672","0.1672"
"8500","0.1711","0.1711","0.1711"
"9000","0.3366","0.3366","0.3366"
"9500","0.3366","0.3366","0.3366"
"10000","0.3898","0.3898","0.3898"
"10500","0.3081","0.3081","0.3081"
"11000","0.2335","0.2335","0.2335"
"11500","0.397","0.397","0.397"
"12000","0.4556","0.4556","0.4556"
"12500","0.4621","0.4621","0.4621"
"13000","0.8573","0.8573","0.8573"
"13500","0.2252","0.2252","0.2252"
"14000","0.9515","0.9515","0.9515"
"14500","0.8941","0.8941","0.8941"
"15000","0.9704","0.9704","0.9704"
"15500","0.7493","0.7493","0.7493"
"16000","0.1409","0.1409","0.1409"
"16500","0.9926","0.9926","0.9926"
"17000","0.9947","0.9947","0.9947"
"17500","0.9916","0.9916","0.9916"
"18000","0.9931","0.9931","0.9931"
"18500","0.9795","0.9795","0.9795"
"19000","0.9957","0.9957","0.9957"
"19500","0.9923","0.9923","0.9923"
"20000","0.9971","0.9971","0.9971"
"20500","0.9959","0.9959","0.9959"
"21000","0.9699","0.9699","0.9699"
"21500","0.9975","0.9975","0.9975"
"22000","0.9962","0.9962","0.9962"
"22500","0.9948","0.9948","0.9948"
"23000","0.9966","0.9966","0.9966"
"23500","0.9979","0.9979","0.9979"
"24000","0.9936","0.9936","0.9936"
"24500","0.9668","0.9668","0.9668"
"25000","0.9983","0.9983","0.9983"
"25500","0.9939","0.9939","0.9939"
"26000","0.9992","0.9992","0.9992"
"26500","0.9948","0.9948","0.9948"
"27000","0.9581","0.9581","0.9581"
"27500","0.9985","0.9985","0.9985"
"28000","0.9977","0.9977","0.9977"
"28500","0.285","0.285","0.285"
"29000","0.9991","0.9991","0.9991"
"29500","0.9973","0.9973","0.9973"
"30000","0.977","0.977","0.977"
"30500","0.9999","0.9999","0.9999"
"31000","0.9117","0.9117","0.9117"
"31500","0.9587","0.9587","0.9587"
"32000","0.9995","0.9995","0.9995"
"32500","0.9999","0.9999","0.9999"
"33000","0.9997","0.9997","0.9997"
"33500","0.9964","0.9964","0.9964"
"34000","0.9982","0.9982","0.9982"
"34500","0.9972","0.9972","0.9972"
"35000","0.9797","0.9797","0.9797"
"35500","0.9993","0.9993","0.9993"
"36000","0.9956","0.9956","0.9956"
"36500","0.9862","0.9862","0.9862"
"37000","0.9999","0.9999","0.9999"
"37500","0.9998","0.9998","0.9998"
"38000","0.9988","0.9988","0.9988"
"38500","0.9997","0.9997","0.9997"
"39000","0.9999","0.9999","0.9999"
"39500","0.9932","0.9932","0.9932"
"40000","0.9999","0.9999","0.9999"
"40500","1","1","1"
"41000","0.9999","0.9999","0.9999"
"41500","1","1","1"
"42000","0.9997","0.9997","0.9997"
"42500","1","1","1"
"43000","0.9975","0.9975","0.9975"
"43500","1","1","1"
"44000","1","1","1"
"44500","0.9977","0.9977","0.9977"
"45000","0.997","0.997","0.997"
"45500","0.9999","0.9999","0.9999"
"46000","0.9997","0.9997","0.9997"
"46500","0.9999","0.9999","0.9999"
"47000","1","1","1"
"47500","0.9999","0.9999","0.9999"
"48000","0.9999","0.9999","0.9999"
"48500","1","1","1"
"49000","0.9999","0.9999","0.9999"
"49500","1","1","1"
"50000","1","1","1"
