"Step","reversed_addition_len_gen_extra_small_deep_decoder_0_fixed - test_acc","reversed_addition_len_gen_extra_small_deep_decoder_0_fixed - test_acc__MIN","reversed_addition_len_gen_extra_small_deep_decoder_0_fixed - test_acc__MAX"
"500","0","0","0"
"1000","0","0","0"
"1500","0","0","0"
"2000","0","0","0"
"2500","0","0","0"
"3000","0","0","0"
"3500","0","0","0"
"4000","0","0","0"
"4500","0.0001","0.0001","0.0001"
"5000","0.0001","0.0001","0.0001"
"5500","0","0","0"
"6000","0.0012","0.0012","0.0012"
"6500","0.0051","0.0051","0.0051"
"7000","0.0009","0.0009","0.0009"
"7500","0.0002","0.0002","0.0002"
"8000","0.0083","0.0083","0.0083"
"8500","0.0029","0.0029","0.0029"
"9000","0.0448","0.0448","0.0448"
"9500","0.0339","0.0339","0.0339"
"10000","0.0276","0.0276","0.0276"
"10500","0.0051","0.0051","0.0051"
"11000","0","0","0"
"11500","0.0139","0.0139","0.0139"
"12000","0.0115","0.0115","0.0115"
"12500","0.0004","0.0004","0.0004"
"13000","0.0937","0.0937","0.0937"
"13500","0.0411","0.0411","0.0411"
"14000","0.1012","0.1012","0.1012"
"14500","0.2353","0.2353","0.2353"
"15000","0.1881","0.1881","0.1881"
"15500","0.0015","0.0015","0.0015"
"16000","0.0002","0.0002","0.0002"
"16500","0.2125","0.2125","0.2125"
"17000","0.2678","0.2678","0.2678"
"17500","0.2693","0.2693","0.2693"
"18000","0.2599","0.2599","0.2599"
"18500","0.2877","0.2877","0.2877"
"19000","0.2244","0.2244","0.2244"
"19500","0.281","0.281","0.281"
"20000","0.2651","0.2651","0.2651"
"20500","0.2033","0.2033","0.2033"
"21000","0.0148","0.0148","0.0148"
"21500","0.2492","0.2492","0.2492"
"22000","0.023","0.023","0.023"
"22500","0.2442","0.2442","0.2442"
"23000","0.1809","0.1809","0.1809"
"23500","0.2","0.2","0.2"
"24000","0.3605","0.3605","0.3605"
"24500","0.0661","0.0661","0.0661"
"25000","0.3354","0.3354","0.3354"
"25500","0.303","0.303","0.303"
"26000","0.3849","0.3849","0.3849"
"26500","0.2109","0.2109","0.2109"
"27000","0.2921","0.2921","0.2921"
"27500","0.1914","0.1914","0.1914"
"28000","0.2075","0.2075","0.2075"
"28500","0.0076","0.0076","0.0076"
"29000","0.2715","0.2715","0.2715"
"29500","0.1523","0.1523","0.1523"
"30000","0.0128","0.0128","0.0128"
"30500","0.0947","0.0947","0.0947"
"31000","0.0125","0.0125","0.0125"
"31500","0.3272","0.3272","0.3272"
"32000","0.172","0.172","0.172"
"32500","0.1997","0.1997","0.1997"
"33000","0.0141","0.0141","0.0141"
"33500","0.0522","0.0522","0.0522"
"34000","0.1363","0.1363","0.1363"
"34500","0.1738","0.1738","0.1738"
"35000","0.2075","0.2075","0.2075"
"35500","0.1638","0.1638","0.1638"
"36000","0.1059","0.1059","0.1059"
"36500","0.2893","0.2893","0.2893"
"37000","0.0275","0.0275","0.0275"
"37500","0.1357","0.1357","0.1357"
"38000","0.0659","0.0659","0.0659"
"38500","0.0002","0.0002","0.0002"
"39000","0.2182","0.2182","0.2182"
"39500","0.0001","0.0001","0.0001"
"40000","0.0293","0.0293","0.0293"
"40500","0.3625","0.3625","0.3625"
"41000","0.1333","0.1333","0.1333"
"41500","0.1706","0.1706","0.1706"
"42000","0.1859","0.1859","0.1859"
"42500","0.1498","0.1498","0.1498"
"43000","0.2263","0.2263","0.2263"
"43500","0.1907","0.1907","0.1907"
"44000","0.1499","0.1499","0.1499"
"44500","0.1047","0.1047","0.1047"
"45000","0.1135","0.1135","0.1135"
"45500","0.0206","0.0206","0.0206"
"46000","0.1424","0.1424","0.1424"
"46500","0.2251","0.2251","0.2251"
"47000","0.185","0.185","0.185"
"47500","0.0455","0.0455","0.0455"
"48000","0.1143","0.1143","0.1143"
"48500","0.3152","0.3152","0.3152"
"49000","0.0679","0.0679","0.0679"
"49500","0.0058","0.0058","0.0058"
"50000","0.0851","0.0851","0.0851"
