"Step","counting_medium_encoder_nope_perm_invariant_0 - accuracy","counting_medium_encoder_nope_perm_invariant_0 - accuracy__MIN","counting_medium_encoder_nope_perm_invariant_0 - accuracy__MAX"
"100","0.5519824439287185","0.5519824439287185","0.5519824439287185"
"200","0.7096517139673233","0.7096517139673233","0.7096517139673233"
"300","0.7978385609388351","0.7978385609388351","0.7978385609388351"
"400","0.8174479359388351","0.8174479359388351","0.8174479359388351"
"500","0.8909765803813934","0.8909765803813934","0.8909765803813934"
"600","0.8920345270633697","0.8920345270633697","0.8920345270633697"
"700","0.8782584857940674","0.8782584857940674","0.8782584857940674"
"800","0.9276139527559281","0.9276139527559281","0.9276139527559281"
"900","0.9105664265155792","0.9105664265155792","0.9105664265155792"
"1000","0.916279314160347","0.916279314160347","0.916279314160347"
"1100","0.9572819179296493","0.9572819179296493","0.9572819179296493"
"1200","0.9523340028524399","0.9523340028524399","0.9523340028524399"
"1300","0.6963086104393006","0.6963086104393006","0.6963086104393006"
"1400","0.9544173407554627","0.9544173407554627","0.9544173407554627"
"1500","0.9880078327655792","0.9880078327655792","0.9880078327655792"
"1600","0.9912825739383697","0.9912825739383697","0.9912825739383697"
"1700","0.9882259327173233","0.9882259327173233","0.9882259327173233"
"1800","0.9377832186222076","0.9377832186222076","0.9377832186222076"
"1900","0.9920312696695328","0.9920312696695328","0.9920312696695328"
"2000","0.9908300977945328","0.9908300977945328","0.9908300977945328"
"2100","0.9948926013708115","0.9948926013708115","0.9948926013708115"
"2200","0.9332031416893005","0.9332031416893005","0.9332031416893005"
"2300","0.9972363460063934","0.9972363460063934","0.9972363460063934"
"2400","0.9662955909967422","0.9662955909967422","0.9662955909967422"
"2500","0.9969368672370911","0.9969368672370911","0.9969368672370911"
"2600","0.9957064020633698","0.9957064020633698","0.9957064020633698"
"2700","0.9922591322660446","0.9922591322660446","0.9922591322660446"
"2800","0.9963541901111603","0.9963541901111603","0.9963541901111603"
"2900","0.9976953303813935","0.9976953303813935","0.9976953303813935"
"3000","0.9964941638708115","0.9964941638708115","0.9964941638708115"
"3100","0.997480491399765","0.997480491399765","0.997480491399765"
"3200","0.996510437130928","0.996510437130928","0.996510437130928"
"3300","0.9981705921888352","0.9981705921888352","0.9981705921888352"
"3400","0.9886165583133697","0.9886165583133697","0.9886165583133697"
"3500","0.9983073103427887","0.9983073103427887","0.9983073103427887"
"3600","0.9746517145633697","0.9746517145633697","0.9746517145633697"
"3700","0.9988997590541839","0.9988997590541839","0.9988997590541839"
"3800","0.9990722846984863","0.9990722846984863","0.9990722846984863"
"3900","0.9982519751787186","0.9982519751787186","0.9982519751787186"
"4000","0.9983789283037185","0.9983789283037185","0.9983789283037185"
"4100","0.9985319185256958","0.9985319185256958","0.9985319185256958"
"4200","0.9984765803813934","0.9984765803813934","0.9984765803813934"
"4300","0.998313820362091","0.998313820362091","0.998313820362091"
"4400","0.998336609005928","0.998336609005928","0.998336609005928"
"4500","0.9994401174783707","0.9994401174783707","0.9994401174783707"
"4600","0.9991276216506958","0.9991276216506958","0.9991276216506958"
"4700","0.9992968928813935","0.9992968928813935","0.9992968928813935"
"4800","0.9990039271116257","0.9990039271116257","0.9990039271116257"
"4900","0.99936199426651","0.99936199426651","0.99936199426651"
"5000","0.9983919483423233","0.9983919483423233","0.9983919483423233"
"5100","0.9990560072660446","0.9990560072660446","0.9990560072660446"
"5200","0.9989746236801147","0.9989746236801147","0.9989746236801147"
"5300","0.9989127784967422","0.9989127784967422","0.9989127784967422"
"5400","0.9993619948625565","0.9993619948625565","0.9993619948625565"
"5500","0.9994856911897659","0.9994856911897659","0.9994856911897659"
"5600","0.9994759267568588","0.9994759267568588","0.9994759267568588"
"5700","0.9922103041410446","0.9922103041410446","0.9922103041410446"
"5800","0.9995931100845337","0.9995931100845337","0.9995931100845337"
"5900","0.9994759261608124","0.9994759261608124","0.9994759261608124"
"6000","0.9995215010643005","0.9995215010643005","0.9995215010643005"
"6100","0.9989355671405792","0.9989355671405792","0.9989355671405792"
"6200","0.9992155134677887","0.9992155134677887","0.9992155134677887"
"6300","0.9990527534484863","0.9990527534484863","0.9990527534484863"
"6400","0.9995475399494171","0.9995475399494171","0.9995475399494171"
"6500","0.9992610859870911","0.9992610859870911","0.9992610859870911"
"6600","0.9985254073143005","0.9985254073143005","0.9985254073143005"
"6700","0.9995573049783707","0.9995573049783707","0.9995573049783707"
"6800","0.9979069221019745","0.9979069221019745","0.9979069221019745"
"6900","0.9995214968919754","0.9995214968919754","0.9995214968919754"
"7000","0.997744157910347","0.997744157910347","0.997744157910347"
"7100","0.9991438978910446","0.9991438978910446","0.9991438978910446"
"7200","0.999541026353836","0.999541026353836","0.999541026353836"
"7300","0.999182960987091","0.999182960987091","0.999182960987091"
"7400","0.9997298276424408","0.9997298276424408","0.9997298276424408"
"7500","0.9994108235836029","0.9994108235836029","0.9994108235836029"
"7600","0.9991438978910446","0.9991438978910446","0.9991438978910446"
"7700","0.999404312968254","0.999404312968254","0.999404312968254"
"7800","0.999404314160347","0.999404314160347","0.999404314160347"
"7900","0.9996061319112778","0.9996061319112778","0.9996061319112778"
"8000","0.9996191525459289","0.9996191525459289","0.9996191525459289"
"8100","0.9996061295270919","0.9996061295270919","0.9996061295270919"
"8200","0.9995996218919754","0.9995996218919754","0.9995996218919754"
"8300","0.9997200608253479","0.9997200608253479","0.9997200608253479"
"8400","0.9992968916893006","0.9992968916893006","0.9992968916893006"
"8500","0.9989746278524398","0.9989746278524398","0.9989746278524398"
"8600","0.997893899679184","0.997893899679184","0.997893899679184"
"8700","0.9993717622756958","0.9993717622756958","0.9993717622756958"
"8800","0.9993261855840683","0.9993261855840683","0.9993261855840683"
"8900","0.9991829597949982","0.9991829597949982","0.9991829597949982"
"9000","0.9995214968919754","0.9995214968919754","0.9995214968919754"
"9100","0.9993522256612778","0.9993522256612778","0.9993522256612778"
"9200","0.9996061313152313","0.9996061313152313","0.9996061313152313"
"9300","0.9971875226497651","0.9971875226497651","0.9971875226497651"
"9400","0.9996517026424407","0.9996517026424407","0.9996517026424407"
"9500","0.9992122584581375","0.9992122584581375","0.9992122584581375"
"9600","0.9997265738248825","0.9997265738248825","0.9997265738248825"
"9700","0.9992968928813935","0.9992968928813935","0.9992968928813935"
"9800","0.9985709822177887","0.9985709822177887","0.9985709822177887"
"9900","0.9993033981323243","0.9993033981323243","0.9993033981323243"
"10000","0.9992610871791839","0.9992610871791839","0.9992610871791839"
