"Step","count3_medium_encoder_0_resumed_2 - sequence_accuracy","count3_medium_encoder_0_resumed_2 - sequence_accuracy__MIN","count3_medium_encoder_0_resumed_2 - sequence_accuracy__MAX"
"115700","0.975625","0.975625","0.975625"
"115800","0.9603125","0.9603125","0.9603125"
"115900","0.964375","0.964375","0.964375"
"116000","0.88609375","0.88609375","0.88609375"
"116100","0.855625","0.855625","0.855625"
"116200","0.9065625","0.9065625","0.9065625"
"116300","0.89765625","0.89765625","0.89765625"
"116400","0.93125","0.93125","0.93125"
"116500","0.95765625","0.95765625","0.95765625"
"116600","0.936875","0.936875","0.936875"
"116700","0.941875","0.941875","0.941875"
"116800","0.96734375","0.96734375","0.96734375"
"116900","0.95375","0.95375","0.95375"
"117000","0.95609375","0.95609375","0.95609375"
"117100","0.045","0.045","0.045"
"117200","0.98015625","0.98015625","0.98015625"
"117300","0.98484375","0.98484375","0.98484375"
"117400","0.959375","0.959375","0.959375"
"117500","0.9140625","0.9140625","0.9140625"
"117600","0.95140625","0.95140625","0.95140625"
"117700","0.92359375","0.92359375","0.92359375"
"117800","0.88359375","0.88359375","0.88359375"
"117900","0.94828125","0.94828125","0.94828125"
"118000","0.9425","0.9425","0.9425"
"118100","0.936875","0.936875","0.936875"
"118200","0.95171875","0.95171875","0.95171875"
"118300","0.914375","0.914375","0.914375"
"118400","0.97703125","0.97703125","0.97703125"
"118500","0.9815625","0.9815625","0.9815625"
"118600","0.98375","0.98375","0.98375"
"118700","0.93921875","0.93921875","0.93921875"
"118800","0.9584375","0.9584375","0.9584375"
"118900","0.91296875","0.91296875","0.91296875"
"119000","0.94953125","0.94953125","0.94953125"
"119100","0.946875","0.946875","0.946875"
"119200","0.954375","0.954375","0.954375"
"119300","0.96359375","0.96359375","0.96359375"
"119400","0.9228125","0.9228125","0.9228125"
"119500","0.9396875","0.9396875","0.9396875"
"119600","0.47125","0.47125","0.47125"
"119700","0.97859375","0.97859375","0.97859375"
"119800","0.98390625","0.98390625","0.98390625"
"119900","0.98359375","0.98359375","0.98359375"
"120000","0.9715625","0.9715625","0.9715625"
"120100","0.9528125","0.9528125","0.9528125"
"120200","0.91390625","0.91390625","0.91390625"
"120300","0.95546875","0.95546875","0.95546875"
"120400","0.9515625","0.9515625","0.9515625"
"120500","0.94234375","0.94234375","0.94234375"
"120600","0.94046875","0.94046875","0.94046875"
"120700","0.958125","0.958125","0.958125"
"120800","0.93875","0.93875","0.93875"
"120900","0.51953125","0.51953125","0.51953125"
"121000","0.9796875","0.9796875","0.9796875"
"121100","0.98453125","0.98453125","0.98453125"
"121200","0.97890625","0.97890625","0.97890625"
"121300","0.9225","0.9225","0.9225"
"121400","0.9721875","0.9721875","0.9721875"
"121500","0.79765625","0.79765625","0.79765625"
"121600","0.9","0.9","0.9"
"121700","0.9025","0.9025","0.9025"
"121800","0.9421875","0.9421875","0.9421875"
"121900","0.92390625","0.92390625","0.92390625"
"122000","0.98203125","0.98203125","0.98203125"
"122100","0.97765625","0.97765625","0.97765625"
"122200","0.97625","0.97625","0.97625"
"122300","0.95984375","0.95984375","0.95984375"
"122400","0.95921875","0.95921875","0.95921875"
"122500","0.94265625","0.94265625","0.94265625"
"122600","0.92609375","0.92609375","0.92609375"
"122700","0.964375","0.964375","0.964375"
"122800","0.98375","0.98375","0.98375"
"122900","0.9828125","0.9828125","0.9828125"
"123000","0.92265625","0.92265625","0.92265625"
"123100","0.951875","0.951875","0.951875"
"123200","0.8896875","0.8896875","0.8896875"
"123300","0.96796875","0.96796875","0.96796875"
"123400","0.958125","0.958125","0.958125"
"123500","0.9484375","0.9484375","0.9484375"
"123600","0","0","0"
"123700","0.98328125","0.98328125","0.98328125"
"123800","0.9809375","0.9809375","0.9809375"
"123900","0.92609375","0.92609375","0.92609375"
"124000","0.94953125","0.94953125","0.94953125"
"124100","0.9546875","0.9546875","0.9546875"
"124200","0.90015625","0.90015625","0.90015625"
"124300","0.95421875","0.95421875","0.95421875"
"124400","0.88171875","0.88171875","0.88171875"
"124500","0.97015625","0.97015625","0.97015625"
"124600","0.9828125","0.9828125","0.9828125"
"124700","0.98203125","0.98203125","0.98203125"
"124800","0.97046875","0.97046875","0.97046875"
"124900","0.955","0.955","0.955"
"125000","0.91078125","0.91078125","0.91078125"
"125100","0.960625","0.960625","0.960625"
"125200","0.91578125","0.91578125","0.91578125"
"125300","0.12375","0.12375","0.12375"
"125400","0.98359375","0.98359375","0.98359375"
"125500","0.9846875","0.9846875","0.9846875"
"125600","0.975","0.975","0.975"
"125700","0.9528125","0.9528125","0.9528125"
"125800","0.9684375","0.9684375","0.9684375"
"125900","0.94875","0.94875","0.94875"
"126000","0.936875","0.936875","0.936875"
"126100","0.9775","0.9775","0.9775"
"126200","0.98484375","0.98484375","0.98484375"
"126300","0.98015625","0.98015625","0.98015625"
"126400","0.89375","0.89375","0.89375"
"126500","0.9521875","0.9521875","0.9521875"
"126600","0.95953125","0.95953125","0.95953125"
"126700","0.94734375","0.94734375","0.94734375"
"126800","0.93609375","0.93609375","0.93609375"
"126900","0.92984375","0.92984375","0.92984375"
"127000","0.96203125","0.96203125","0.96203125"
"127100","0.93","0.93","0.93"
"127200","0.96390625","0.96390625","0.96390625"
"127300","0.9690625","0.9690625","0.9690625"
"127400","0.8503125","0.8503125","0.8503125"
"127500","0.93765625","0.93765625","0.93765625"
"127600","0.9384375","0.9384375","0.9384375"
"127700","0.92109375","0.92109375","0.92109375"
"127800","0.948125","0.948125","0.948125"
"127900","0.8709375","0.8709375","0.8709375"
"128000","0.95296875","0.95296875","0.95296875"
"128100","0.86984375","0.86984375","0.86984375"
"128200","0.77828125","0.77828125","0.77828125"
"128300","0.95359375","0.95359375","0.95359375"
"128400","0.92484375","0.92484375","0.92484375"
"128500","0.97421875","0.97421875","0.97421875"
"128600","0.9796875","0.9796875","0.9796875"
"128700","0.980625","0.980625","0.980625"
"128800","0.95203125","0.95203125","0.95203125"
"128900","0.96390625","0.96390625","0.96390625"
"129000","0.965625","0.965625","0.965625"
"129100","0.92265625","0.92265625","0.92265625"
"129200","0.795","0.795","0.795"
"129300","0.98640625","0.98640625","0.98640625"
"129400","0.989375","0.989375","0.989375"
"129500","0.965","0.965","0.965"
"129600","0.9640625","0.9640625","0.9640625"
"129700","0.96265625","0.96265625","0.96265625"
"129800","0.961875","0.961875","0.961875"
"129900","0.93640625","0.93640625","0.93640625"
"130000","0.84484375","0.84484375","0.84484375"
"130100","0.9540625","0.9540625","0.9540625"
"130200","0.9640625","0.9640625","0.9640625"
"130300","0.943125","0.943125","0.943125"
"130400","0.93421875","0.93421875","0.93421875"
"130500","0.96140625","0.96140625","0.96140625"
"130600","0.95625","0.95625","0.95625"
"130700","0.95015625","0.95015625","0.95015625"
"130800","0.95125","0.95125","0.95125"
"130900","0.96734375","0.96734375","0.96734375"
"131000","0.98515625","0.98515625","0.98515625"
"131100","0.9796875","0.9796875","0.9796875"
"131200","0.95859375","0.95859375","0.95859375"
"131300","0.95828125","0.95828125","0.95828125"
"131400","0.95921875","0.95921875","0.95921875"
"131500","0.96703125","0.96703125","0.96703125"
"131600","0.94234375","0.94234375","0.94234375"
"131700","0.126875","0.126875","0.126875"
"131800","0.9834375","0.9834375","0.9834375"
"131900","0.9840625","0.9840625","0.9840625"
"132000","0.9709375","0.9709375","0.9709375"
"132100","0.9475","0.9475","0.9475"
"132200","0.95265625","0.95265625","0.95265625"
"132300","0.9603125","0.9603125","0.9603125"
"132400","0.96734375","0.96734375","0.96734375"
"132500","0.96171875","0.96171875","0.96171875"
"132600","0.96265625","0.96265625","0.96265625"
"132700","0.9315625","0.9315625","0.9315625"
"132800","0.943125","0.943125","0.943125"
"132900","0.913125","0.913125","0.913125"
"133000","0.77640625","0.77640625","0.77640625"
"133100","0.96921875","0.96921875","0.96921875"
"133200","0.9553125","0.9553125","0.9553125"
"133300","0.9471875","0.9471875","0.9471875"
"133400","0.96328125","0.96328125","0.96328125"
"133500","0.95","0.95","0.95"
"133600","0.95703125","0.95703125","0.95703125"
"133700","0.960625","0.960625","0.960625"
"133800","0.94421875","0.94421875","0.94421875"
"133900","0.97078125","0.97078125","0.97078125"
"134000","0.92609375","0.92609375","0.92609375"
"134100","0.9753125","0.9753125","0.9753125"
"134200","0.8434375","0.8434375","0.8434375"
"134300","0.98515625","0.98515625","0.98515625"
"134400","0.97796875","0.97796875","0.97796875"
"134500","0.9259375","0.9259375","0.9259375"
"134600","0.9384375","0.9384375","0.9384375"
"134700","0.96765625","0.96765625","0.96765625"
"134800","0.89515625","0.89515625","0.89515625"
"134900","0.9728125","0.9728125","0.9728125"
"135000","0.9846875","0.9846875","0.9846875"
"135100","0.9853125","0.9853125","0.9853125"
