"Step","reversed_addition_len_gen_extra_small_deep_encoder_1_fixed - val_loss","reversed_addition_len_gen_extra_small_deep_encoder_1_fixed - val_loss__MIN","reversed_addition_len_gen_extra_small_deep_encoder_1_fixed - val_loss__MAX"
"500","2.1150384044647215","2.1150384044647215","2.1150384044647215"
"1000","2.1275551605224607","2.1275551605224607","2.1275551605224607"
"1500","2.117654409408569","2.117654409408569","2.117654409408569"
"2000","2.0619286632537843","2.0619286632537843","2.0619286632537843"
"2500","2.0569270610809327","2.0569270610809327","2.0569270610809327"
"3000","2.03854736328125","2.03854736328125","2.03854736328125"
"3500","2.0285684394836427","2.0285684394836427","2.0285684394836427"
"4000","1.871108694076538","1.871108694076538","1.871108694076538"
"4500","1.9308652114868163","1.9308652114868163","1.9308652114868163"
"5000","1.8091757440567016","1.8091757440567016","1.8091757440567016"
"5500","1.5036383628845216","1.5036383628845216","1.5036383628845216"
"6000","1.944978380203247","1.944978380203247","1.944978380203247"
"6500","1.7667207574844361","1.7667207574844361","1.7667207574844361"
"7000","1.4938709402084351","1.4938709402084351","1.4938709402084351"
"7500","1.9484791517257691","1.9484791517257691","1.9484791517257691"
"8000","1.802001814842224","1.802001814842224","1.802001814842224"
"8500","2.060572452545166","2.060572452545166","2.060572452545166"
"9000","1.7738240623474122","1.7738240623474122","1.7738240623474122"
"9500","1.4994590520858764","1.4994590520858764","1.4994590520858764"
"10000","1.4872928047180176","1.4872928047180176","1.4872928047180176"
"10500","1.49128080368042","1.49128080368042","1.49128080368042"
"11000","1.4858987903594971","1.4858987903594971","1.4858987903594971"
"11500","1.4779907608032226","1.4779907608032226","1.4779907608032226"
"12000","1.5923500871658325","1.5923500871658325","1.5923500871658325"
"12500","1.4764662647247315","1.4764662647247315","1.4764662647247315"
"13000","1.4815028047561645","1.4815028047561645","1.4815028047561645"
"13500","1.4945205736160279","1.4945205736160279","1.4945205736160279"
"14000","1.4806204843521118","1.4806204843521118","1.4806204843521118"
"14500","1.4798499631881714","1.4798499631881714","1.4798499631881714"
"15000","1.4829372072219849","1.4829372072219849","1.4829372072219849"
"15500","1.500101089477539","1.500101089477539","1.500101089477539"
"16000","1.4770757865905761","1.4770757865905761","1.4770757865905761"
"16500","1.475823221206665","1.475823221206665","1.475823221206665"
"17000","1.5011049556732177","1.5011049556732177","1.5011049556732177"
"17500","1.479683713912964","1.479683713912964","1.479683713912964"
"18000","1.4761567783355714","1.4761567783355714","1.4761567783355714"
"18500","1.4807829236984253","1.4807829236984253","1.4807829236984253"
"19000","1.4798488187789918","1.4798488187789918","1.4798488187789918"
"19500","1.483888030052185","1.483888030052185","1.483888030052185"
"20000","1.4879500198364257","1.4879500198364257","1.4879500198364257"
"20500","1.488275752067566","1.488275752067566","1.488275752067566"
"21000","1.4775374841690063","1.4775374841690063","1.4775374841690063"
"21500","1.4763464641571045","1.4763464641571045","1.4763464641571045"
"22000","1.4742239332199096","1.4742239332199096","1.4742239332199096"
"22500","1.4732942962646485","1.4732942962646485","1.4732942962646485"
"23000","1.4794241857528687","1.4794241857528687","1.4794241857528687"
"23500","1.4781323099136352","1.4781323099136352","1.4781323099136352"
"24000","1.480110878944397","1.480110878944397","1.480110878944397"
"24500","1.4783639907836914","1.4783639907836914","1.4783639907836914"
"25000","1.4781723022460938","1.4781723022460938","1.4781723022460938"
"25500","1.4793540668487548","1.4793540668487548","1.4793540668487548"
"26000","1.482271099090576","1.482271099090576","1.482271099090576"
"26500","1.4796946001052858","1.4796946001052858","1.4796946001052858"
"27000","1.4770558595657348","1.4770558595657348","1.4770558595657348"
"27500","1.4757027530670166","1.4757027530670166","1.4757027530670166"
"28000","1.4815498352050782","1.4815498352050782","1.4815498352050782"
"28500","1.4770076227188111","1.4770076227188111","1.4770076227188111"
"29000","1.4745320415496825","1.4745320415496825","1.4745320415496825"
"29500","1.475345458984375","1.475345458984375","1.475345458984375"
"30000","1.4742986106872558","1.4742986106872558","1.4742986106872558"
