"Step","counting_medium_decoder_nope_perm_variant_0 - accuracy","counting_medium_decoder_nope_perm_variant_0 - accuracy__MIN","counting_medium_decoder_nope_perm_variant_0 - accuracy__MAX"
"100","0.3132487070560455","0.3132487070560455","0.3132487070560455"
"200","0.521692725121975","0.521692725121975","0.521692725121975"
"300","0.8665169483423233","0.8665169483423233","0.8665169483423233"
"400","0.9563379120826722","0.9563379120826722","0.9563379120826722"
"500","0.9452929890155792","0.9452929890155792","0.9452929890155792"
"600","0.9749837458133698","0.9749837458133698","0.9749837458133698"
"700","0.872718117237091","0.872718117237091","0.872718117237091"
"800","0.9808333539962768","0.9808333539962768","0.9808333539962768"
"900","0.9539583516120911","0.9539583516120911","0.9539583516120911"
"1000","0.9781836134195327","0.9781836134195327","0.9781836134195327"
"1100","0.9260026246309281","0.9260026246309281","0.9260026246309281"
"1200","0.9858854395151139","0.9858854395151139","0.9858854395151139"
"1300","0.987656272649765","0.987656272649765","0.987656272649765"
"1400","0.9410189014673233","0.9410189014673233","0.9410189014673233"
"1500","0.986969421505928","0.986969421505928","0.986969421505928"
"1600","0.9881022322177887","0.9881022322177887","0.9881022322177887"
"1700","0.9898665559291839","0.9898665559291839","0.9898665559291839"
"1800","0.9858724176883698","0.9858724176883698","0.9858724176883698"
"1900","0.9942936414480209","0.9942936414480209","0.9942936414480209"
"2000","0.9916829651594162","0.9916829651594162","0.9916829651594162"
"2100","0.9945540541410446","0.9945540541410446","0.9945540541410446"
"2200","0.9879557472467423","0.9879557472467423","0.9879557472467423"
"2300","0.9120019727945328","0.9120019727945328","0.9120019727945328"
"2400","0.9975586134195328","0.9975586134195328","0.9975586134195328"
"2500","0.9962174671888352","0.9962174671888352","0.9962174671888352"
"2600","0.9950162976980209","0.9950162976980209","0.9950162976980209"
"2700","0.9815039265155793","0.9815039265155793","0.9815039265155793"
"2800","0.9958886927366257","0.9958886927366257","0.9958886927366257"
"2900","0.9961881709098815","0.9961881709098815","0.9961881709098815"
"3000","0.9967610847949981","0.9967610847949981","0.9967610847949981"
"3100","0.9980566614866256","0.9980566614866256","0.9980566614866256"
"3200","0.9975521016120911","0.9975521016120911","0.9975521016120911"
"3300","0.9978287976980209","0.9978287976980209","0.9978287976980209"
"3400","0.9939616072177887","0.9939616072177887","0.9939616072177887"
"3500","0.9980761939287186","0.9980761939287186","0.9980761939287186"
"3600","0.997028011083603","0.997028011083603","0.997028011083603"
"3700","0.9984440290927887","0.9984440290927887","0.9984440290927887"
"3800","0.9986588734388352","0.9986588734388352","0.9986588734388352"
"3900","0.9984570521116257","0.9984570521116257","0.9984570521116257"
"4000","0.998723977804184","0.998723977804184","0.998723977804184"
"4100","0.9983659064769745","0.9983659064769745","0.9983659064769745"
"4200","0.9991048365831375","0.9991048365831375","0.9991048365831375"
"4300","0.999121111035347","0.999121111035347","0.999121111035347"
"4400","0.9994629055261612","0.9994629055261612","0.9994629055261612"
"4500","0.9992024952173233","0.9992024952173233","0.9992024952173233"
"4600","0.9994433760643006","0.9994433760643006","0.9994433760643006"
"4700","0.999169939160347","0.999169939160347","0.999169939160347"
"4800","0.9995605617761611","0.9995605617761611","0.9995605617761611"
"4900","0.9992090028524399","0.9992090028524399","0.9992090028524399"
"5000","0.9994108241796493","0.9994108241796493","0.9994108241796493"
"5100","0.9995898586511612","0.9995898586511612","0.9995898586511612"
"5200","0.9992383009195328","0.9992383009195328","0.9992383009195328"
"5300","0.9991959804296493","0.9991959804296493","0.9991959804296493"
"5400","0.9997298300266266","0.9997298300266266","0.9997298300266266"
"5500","0.9994498884677887","0.9994498884677887","0.9994498884677887"
"5600","0.9993587428331375","0.9993587428331375","0.9993587428331375"
"5700","0.999117860198021","0.999117860198021","0.999117860198021"
"5800","0.9995735812187195","0.9995735812187195","0.9995735812187195"
"5900","0.9992610859870911","0.9992610859870911","0.9992610859870911"
"6000","0.9990820515155793","0.9990820515155793","0.9990820515155793"
"6100","0.9995475429296493","0.9995475429296493","0.9995475429296493"
"6200","0.9989746284484863","0.9989746284484863","0.9989746284484863"
"6300","0.99962566614151","0.99962566614151","0.99962566614151"
"6400","0.998737000823021","0.998737000823021","0.998737000823021"
"6500","0.9995703285932541","0.9995703285932541","0.9995703285932541"
"6600","0.999593113064766","0.999593113064766","0.999593113064766"
"6700","0.9992448085546494","0.9992448085546494","0.9992448085546494"
"6800","0.9997265768051148","0.9997265768051148","0.9997265768051148"
"6900","0.9994205915927887","0.9994205915927887","0.9994205915927887"
"7000","0.999589861035347","0.999589861035347","0.999589861035347"
"7100","0.9995735836029053","0.9995735836029053","0.9995735836029053"
"7200","0.9997395938634872","0.9997395938634872","0.9997395938634872"
"7300","0.9992187702655793","0.9992187702655793","0.9992187702655793"
"7400","0.9997623789310456","0.9997623789310456","0.9997623789310456"
"7500","0.9996224099397659","0.9996224099397659","0.9996224099397659"
"7600","0.9996614694595337","0.9996614694595337","0.9996614694595337"
"7700","0.9990332239866256","0.9990332239866256","0.9990332239866256"
"7800","0.9996647274494171","0.9996647274494171","0.9996647274494171"
"7900","0.9996028792858124","0.9996028792858124","0.9996028792858124"
"8000","0.9990755397081376","0.9990755397081376","0.9990755397081376"
"8100","0.9998600327968598","0.9998600327968598","0.9998600327968598"
"8200","0.9995182490348816","0.9995182490348816","0.9995182490348816"
"8300","0.9996517068147659","0.9996517068147659","0.9996517068147659"
"8400","0.9996777468919754","0.9996777468919754","0.9996777468919754"
"8500","0.9997493594884872","0.9997493594884872","0.9997493594884872"
"8600","0.9995996242761612","0.9995996242761612","0.9995996242761612"
"8700","0.9996517074108123","0.9996517074108123","0.9996517074108123"
"8800","0.9996126466989517","0.9996126466989517","0.9996126466989517"
"8900","0.999599626660347","0.999599626660347","0.999599626660347"
"9000","0.9991211104393005","0.9991211104393005","0.9991211104393005"
"9100","0.9996451950073242","0.9996451950073242","0.9996451950073242"
"9200","0.9992350435256958","0.9992350435256958","0.9992350435256958"
"9300","0.9998405009508133","0.9998405009508133","0.9998405009508133"
"9400","0.9994629073143005","0.9994629073143005","0.9994629073143005"
"9500","0.999856778383255","0.999856778383255","0.999856778383255"
"9600","0.9997395944595336","0.9997395944595336","0.9997395944595336"
"9700","0.9992708498239518","0.9992708498239518","0.9992708498239518"
"9800","0.9998079508543014","0.9998079508543014","0.9998079508543014"
"9900","0.9997623807191849","0.9997623807191849","0.9997623807191849"
"10000","0.9994922071695328","0.9994922071695328","0.9994922071695328"
