"Step","memory_bound_extra_small_encoder_0 - loss","memory_bound_extra_small_encoder_0 - loss__MIN","memory_bound_extra_small_encoder_0 - loss__MAX"
"100","32.16253080368042","32.16253080368042","32.16253080368042"
"200","31.442222576141358","31.442222576141358","31.442222576141358"
"300","31.578589210510255","31.578589210510255","31.578589210510255"
"400","31.63690397262573","31.63690397262573","31.63690397262573"
"500","31.3766876411438","31.3766876411438","31.3766876411438"
"600","31.28794797897339","31.28794797897339","31.28794797897339"
"700","31.16199150085449","31.16199150085449","31.16199150085449"
"800","31.530346450805663","31.530346450805663","31.530346450805663"
"900","31.4530366897583","31.4530366897583","31.4530366897583"
"1000","31.24816734313965","31.24816734313965","31.24816734313965"
"1100","31.11485507965088","31.11485507965088","31.11485507965088"
"1200","31.122651271820068","31.122651271820068","31.122651271820068"
"1300","31.05195541381836","31.05195541381836","31.05195541381836"
"1400","30.66490520477295","30.66490520477295","30.66490520477295"
"1500","30.609859981536864","30.609859981536864","30.609859981536864"
"1600","30.644860820770262","30.644860820770262","30.644860820770262"
"1700","30.503796768188476","30.503796768188476","30.503796768188476"
"1800","30.392598495483398","30.392598495483398","30.392598495483398"
"1900","30.306661357879637","30.306661357879637","30.306661357879637"
"2000","30.39201217651367","30.39201217651367","30.39201217651367"
"2100","30.348329887390136","30.348329887390136","30.348329887390136"
"2200","30.21984998703003","30.21984998703003","30.21984998703003"
"2300","30.065024223327637","30.065024223327637","30.065024223327637"
"2400","30.260065937042235","30.260065937042235","30.260065937042235"
"2500","30.23857551574707","30.23857551574707","30.23857551574707"
"2600","30.02495590209961","30.02495590209961","30.02495590209961"
"2700","29.88158353805542","29.88158353805542","29.88158353805542"
"2800","29.95256534576416","29.95256534576416","29.95256534576416"
"2900","29.800673694610595","29.800673694610595","29.800673694610595"
"3000","29.690540618896485","29.690540618896485","29.690540618896485"
"3100","29.753894386291503","29.753894386291503","29.753894386291503"
"3200","29.557761154174806","29.557761154174806","29.557761154174806"
"3300","29.457068977355956","29.457068977355956","29.457068977355956"
"3400","29.467969169616698","29.467969169616698","29.467969169616698"
"3500","29.210963115692138","29.210963115692138","29.210963115692138"
"3600","29.175612335205077","29.175612335205077","29.175612335205077"
"3700","29.22258476257324","29.22258476257324","29.22258476257324"
"3800","29.093924903869627","29.093924903869627","29.093924903869627"
"3900","29.093706455230713","29.093706455230713","29.093706455230713"
"4000","29.026239471435545","29.026239471435545","29.026239471435545"
"4100","29.13183490753174","29.13183490753174","29.13183490753174"
"4200","28.893970947265625","28.893970947265625","28.893970947265625"
"4300","28.95987003326416","28.95987003326416","28.95987003326416"
"4400","28.939150314331055","28.939150314331055","28.939150314331055"
"4500","28.74870740890503","28.74870740890503","28.74870740890503"
"4600","28.66190565109253","28.66190565109253","28.66190565109253"
"4700","28.647612113952636","28.647612113952636","28.647612113952636"
"4800","28.788864765167236","28.788864765167236","28.788864765167236"
"4900","28.697747440338134","28.697747440338134","28.697747440338134"
"5000","28.622145671844482","28.622145671844482","28.622145671844482"
"5100","28.61678304672241","28.61678304672241","28.61678304672241"
"5200","28.47806350708008","28.47806350708008","28.47806350708008"
"5300","28.504392375946043","28.504392375946043","28.504392375946043"
"5400","28.137164573669434","28.137164573669434","28.137164573669434"
"5500","28.294554271697997","28.294554271697997","28.294554271697997"
"5600","28.318605728149414","28.318605728149414","28.318605728149414"
"5700","28.00195810317993","28.00195810317993","28.00195810317993"
"5800","27.9386989402771","27.9386989402771","27.9386989402771"
"5900","27.84933811187744","27.84933811187744","27.84933811187744"
"6000","27.695108661651613","27.695108661651613","27.695108661651613"
"6100","27.565750885009766","27.565750885009766","27.565750885009766"
"6200","27.373911266326903","27.373911266326903","27.373911266326903"
"6300","27.436064796447752","27.436064796447752","27.436064796447752"
"6400","27.034959964752197","27.034959964752197","27.034959964752197"
"6500","27.016497631072998","27.016497631072998","27.016497631072998"
"6600","26.87264436721802","26.87264436721802","26.87264436721802"
"6700","26.939832096099853","26.939832096099853","26.939832096099853"
"6800","26.598872871398925","26.598872871398925","26.598872871398925"
"6900","26.696239109039308","26.696239109039308","26.696239109039308"
"7000","26.487408447265626","26.487408447265626","26.487408447265626"
"7100","26.47197542190552","26.47197542190552","26.47197542190552"
"7200","26.446952667236328","26.446952667236328","26.446952667236328"
"7300","26.283641471862794","26.283641471862794","26.283641471862794"
"7400","26.190480041503907","26.190480041503907","26.190480041503907"
"7500","26.007381916046143","26.007381916046143","26.007381916046143"
"7600","25.94755889892578","25.94755889892578","25.94755889892578"
"7700","25.976976776123045","25.976976776123045","25.976976776123045"
"7800","25.737015266418457","25.737015266418457","25.737015266418457"
"7900","25.73852289199829","25.73852289199829","25.73852289199829"
"8000","25.740910663604737","25.740910663604737","25.740910663604737"
"8100","25.65750144958496","25.65750144958496","25.65750144958496"
"8200","25.445353145599366","25.445353145599366","25.445353145599366"
"8300","25.3590185546875","25.3590185546875","25.3590185546875"
"8400","25.341037425994873","25.341037425994873","25.341037425994873"
"8500","25.17465709686279","25.17465709686279","25.17465709686279"
"8600","25.149212474823","25.149212474823","25.149212474823"
"8700","25.203430919647218","25.203430919647218","25.203430919647218"
"8800","25.023063888549803","25.023063888549803","25.023063888549803"
"8900","24.898289165496827","24.898289165496827","24.898289165496827"
"9000","24.802101573944093","24.802101573944093","24.802101573944093"
"9100","24.665424938201905","24.665424938201905","24.665424938201905"
"9200","24.787167015075685","24.787167015075685","24.787167015075685"
"9300","24.68697961807251","24.68697961807251","24.68697961807251"
"9400","24.520973377227783","24.520973377227783","24.520973377227783"
"9500","24.472359714508055","24.472359714508055","24.472359714508055"
"9600","24.34483409881592","24.34483409881592","24.34483409881592"
"9700","24.232222213745118","24.232222213745118","24.232222213745118"
"9800","24.126314220428466","24.126314220428466","24.126314220428466"
"9900","23.98849157333374","23.98849157333374","23.98849157333374"
"10000","23.94302261352539","23.94302261352539","23.94302261352539"
"10100","23.89762310028076","23.89762310028076","23.89762310028076"
"10200","23.71396463394165","23.71396463394165","23.71396463394165"
"10300","23.675382957458496","23.675382957458496","23.675382957458496"
"10400","23.390325984954835","23.390325984954835","23.390325984954835"
"10500","23.34869728088379","23.34869728088379","23.34869728088379"
"10600","23.2072532081604","23.2072532081604","23.2072532081604"
"10700","23.105974006652833","23.105974006652833","23.105974006652833"
"10800","22.889412803649904","22.889412803649904","22.889412803649904"
"10900","22.762017879486084","22.762017879486084","22.762017879486084"
"11000","22.666108360290526","22.666108360290526","22.666108360290526"
"11100","22.378964920043945","22.378964920043945","22.378964920043945"
"11200","22.386724243164064","22.386724243164064","22.386724243164064"
"11300","22.251895809173583","22.251895809173583","22.251895809173583"
"11400","22.110727806091308","22.110727806091308","22.110727806091308"
"11500","21.888537998199464","21.888537998199464","21.888537998199464"
"11600","21.74190448760986","21.74190448760986","21.74190448760986"
"11700","21.766977729797365","21.766977729797365","21.766977729797365"
"11800","21.556521186828615","21.556521186828615","21.556521186828615"
"11900","21.466503429412843","21.466503429412843","21.466503429412843"
"12000","21.23778350830078","21.23778350830078","21.23778350830078"
"12100","21.112016582489012","21.112016582489012","21.112016582489012"
"12200","20.987338676452637","20.987338676452637","20.987338676452637"
"12300","20.954040718078613","20.954040718078613","20.954040718078613"
"12400","20.81032642364502","20.81032642364502","20.81032642364502"
"12500","20.664797134399414","20.664797134399414","20.664797134399414"
"12600","20.524416484832763","20.524416484832763","20.524416484832763"
"12700","20.49458703994751","20.49458703994751","20.49458703994751"
"12800","20.251004676818848","20.251004676818848","20.251004676818848"
"12900","20.132035274505615","20.132035274505615","20.132035274505615"
"13000","20.158008308410643","20.158008308410643","20.158008308410643"
"13100","19.90484239578247","19.90484239578247","19.90484239578247"
"13200","20.002832851409913","20.002832851409913","20.002832851409913"
"13300","19.77668712615967","19.77668712615967","19.77668712615967"
"13400","19.83355007171631","19.83355007171631","19.83355007171631"
"13500","19.71005016326904","19.71005016326904","19.71005016326904"
"13600","19.56520441055298","19.56520441055298","19.56520441055298"
"13700","19.534895401000977","19.534895401000977","19.534895401000977"
"13800","19.44565368652344","19.44565368652344","19.44565368652344"
"13900","19.389802436828614","19.389802436828614","19.389802436828614"
"14000","19.233704833984376","19.233704833984376","19.233704833984376"
"14100","19.169032917022705","19.169032917022705","19.169032917022705"
"14200","19.155352993011476","19.155352993011476","19.155352993011476"
"14300","19.031076107025147","19.031076107025147","19.031076107025147"
"14400","18.963798770904543","18.963798770904543","18.963798770904543"
"14500","18.860123462677002","18.860123462677002","18.860123462677002"
"14600","18.79301067352295","18.79301067352295","18.79301067352295"
"14700","18.77316499710083","18.77316499710083","18.77316499710083"
"14800","18.780034160614015","18.780034160614015","18.780034160614015"
"14900","18.664437713623048","18.664437713623048","18.664437713623048"
"15000","18.697969360351564","18.697969360351564","18.697969360351564"
"15100","18.442846279144288","18.442846279144288","18.442846279144288"
"15200","18.43286371231079","18.43286371231079","18.43286371231079"
"15300","18.372824268341063","18.372824268341063","18.372824268341063"
"15400","18.288638973236083","18.288638973236083","18.288638973236083"
"15500","18.236556396484374","18.236556396484374","18.236556396484374"
"15600","18.23221857070923","18.23221857070923","18.23221857070923"
"15700","17.96556926727295","17.96556926727295","17.96556926727295"
"15800","18.103249931335448","18.103249931335448","18.103249931335448"
"15900","17.90687473297119","17.90687473297119","17.90687473297119"
"16000","17.975511341094972","17.975511341094972","17.975511341094972"
"16100","17.949680099487306","17.949680099487306","17.949680099487306"
"16200","17.876396789550782","17.876396789550782","17.876396789550782"
"16300","17.694967193603517","17.694967193603517","17.694967193603517"
"16400","17.702544059753418","17.702544059753418","17.702544059753418"
"16500","17.63741346359253","17.63741346359253","17.63741346359253"
"16600","17.478823585510256","17.478823585510256","17.478823585510256"
"16700","17.545158195495606","17.545158195495606","17.545158195495606"
"16800","17.49299758911133","17.49299758911133","17.49299758911133"
"16900","17.318023052215576","17.318023052215576","17.318023052215576"
"17000","17.42322944641113","17.42322944641113","17.42322944641113"
"17100","17.585247611999513","17.585247611999513","17.585247611999513"
"17200","17.29684579849243","17.29684579849243","17.29684579849243"
"17300","17.293011569976805","17.293011569976805","17.293011569976805"
"17400","17.21944667816162","17.21944667816162","17.21944667816162"
"17500","16.98416400909424","16.98416400909424","16.98416400909424"
"17600","17.10042537689209","17.10042537689209","17.10042537689209"
"17700","17.068976821899415","17.068976821899415","17.068976821899415"
"17800","17.056662254333496","17.056662254333496","17.056662254333496"
"17900","16.97005979537964","16.97005979537964","16.97005979537964"
"18000","16.997097454071046","16.997097454071046","16.997097454071046"
"18100","16.760792789459227","16.760792789459227","16.760792789459227"
"18200","16.830351819992064","16.830351819992064","16.830351819992064"
"18300","16.811610441207886","16.811610441207886","16.811610441207886"
"18400","16.804386463165283","16.804386463165283","16.804386463165283"
"18500","16.581898899078368","16.581898899078368","16.581898899078368"
"18600","16.823496732711792","16.823496732711792","16.823496732711792"
"18700","16.57093585014343","16.57093585014343","16.57093585014343"
"18800","16.62506679534912","16.62506679534912","16.62506679534912"
"18900","16.493904142379762","16.493904142379762","16.493904142379762"
"19000","16.457440061569216","16.457440061569216","16.457440061569216"
"19100","16.395209636688232","16.395209636688232","16.395209636688232"
"19200","16.408035459518434","16.408035459518434","16.408035459518434"
"19300","16.351405029296874","16.351405029296874","16.351405029296874"
"19400","16.32194158554077","16.32194158554077","16.32194158554077"
"19500","16.229396018981934","16.229396018981934","16.229396018981934"
"19600","16.24997172355652","16.24997172355652","16.24997172355652"
"19700","16.214613285064697","16.214613285064697","16.214613285064697"
"19800","16.00363338470459","16.00363338470459","16.00363338470459"
"19900","16.133103408813476","16.133103408813476","16.133103408813476"
"20000","16.002445945739748","16.002445945739748","16.002445945739748"
"20100","16.02021727561951","16.02021727561951","16.02021727561951"
"20200","15.9660622215271","15.9660622215271","15.9660622215271"
"20300","15.947013740539552","15.947013740539552","15.947013740539552"
"20400","15.940746030807496","15.940746030807496","15.940746030807496"
"20500","15.875962314605713","15.875962314605713","15.875962314605713"
"20600","15.866292047500611","15.866292047500611","15.866292047500611"
"20700","15.793602647781372","15.793602647781372","15.793602647781372"
