"Step","counting_medium_encoder_nope_perm_variant_0 - loss","counting_medium_encoder_nope_perm_variant_0 - loss__MIN","counting_medium_encoder_nope_perm_variant_0 - loss__MAX"
"100","2.148788660764694","2.148788660764694","2.148788660764694"
"200","1.8955373251438141","1.8955373251438141","1.8955373251438141"
"300","1.8333464717864991","1.8333464717864991","1.8333464717864991"
"400","1.7427958297729491","1.7427958297729491","1.7427958297729491"
"500","1.6552630746364594","1.6552630746364594","1.6552630746364594"
"600","1.5562975919246673","1.5562975919246673","1.5562975919246673"
"700","1.4915971648693085","1.4915971648693085","1.4915971648693085"
"800","1.3992102289199828","1.3992102289199828","1.3992102289199828"
"900","1.3347346985340118","1.3347346985340118","1.3347346985340118"
"1000","1.2663432919979096","1.2663432919979096","1.2663432919979096"
"1100","1.19938072681427","1.19938072681427","1.19938072681427"
"1200","1.160390545129776","1.160390545129776","1.160390545129776"
"1300","1.107909225821495","1.107909225821495","1.107909225821495"
"1400","1.059277270436287","1.059277270436287","1.059277270436287"
"1500","1.014531135559082","1.014531135559082","1.014531135559082"
"1600","0.9899802201986313","0.9899802201986313","0.9899802201986313"
"1700","0.9660850125551224","0.9660850125551224","0.9660850125551224"
"1800","0.9216642129421234","0.9216642129421234","0.9216642129421234"
"1900","0.8868115741014481","0.8868115741014481","0.8868115741014481"
"2000","0.8682830291986465","0.8682830291986465","0.8682830291986465"
"2100","0.8351827085018158","0.8351827085018158","0.8351827085018158"
"2200","0.8162390053272247","0.8162390053272247","0.8162390053272247"
"2300","0.7911135023832321","0.7911135023832321","0.7911135023832321"
"2400","0.7603472071886063","0.7603472071886063","0.7603472071886063"
"2500","0.7449505108594895","0.7449505108594895","0.7449505108594895"
"2600","0.7264524042606354","0.7264524042606354","0.7264524042606354"
"2700","0.7135974168777466","0.7135974168777466","0.7135974168777466"
"2800","0.6865157967805863","0.6865157967805863","0.6865157967805863"
"2900","0.6809074664115906","0.6809074664115906","0.6809074664115906"
"3000","0.6478524506092072","0.6478524506092072","0.6478524506092072"
"3100","0.6495546329021454","0.6495546329021454","0.6495546329021454"
"3200","0.6361021691560745","0.6361021691560745","0.6361021691560745"
"3300","0.6148559516668319","0.6148559516668319","0.6148559516668319"
"3400","0.6016389751434326","0.6016389751434326","0.6016389751434326"
"3500","0.5962106966972351","0.5962106966972351","0.5962106966972351"
"3600","0.5879897511005402","0.5879897511005402","0.5879897511005402"
"3700","0.5690620073676109","0.5690620073676109","0.5690620073676109"
"3800","0.5613232883810997","0.5613232883810997","0.5613232883810997"
"3900","0.5530728760361672","0.5530728760361672","0.5530728760361672"
"4000","0.5396898108720779","0.5396898108720779","0.5396898108720779"
"4100","0.5194563385844231","0.5194563385844231","0.5194563385844231"
"4200","0.5191740402579308","0.5191740402579308","0.5191740402579308"
"4300","0.5132254576683044","0.5132254576683044","0.5132254576683044"
"4400","0.5173548424243927","0.5173548424243927","0.5173548424243927"
"4500","0.5061270043253898","0.5061270043253898","0.5061270043253898"
"4600","0.4934339138865471","0.4934339138865471","0.4934339138865471"
"4700","0.4915171965956688","0.4915171965956688","0.4915171965956688"
"4800","0.489049137532711","0.489049137532711","0.489049137532711"
"4900","0.48442711383104325","0.48442711383104325","0.48442711383104325"
"5000","0.48067421168088914","0.48067421168088914","0.48067421168088914"
"5100","0.47614497095346453","0.47614497095346453","0.47614497095346453"
"5200","0.46505336731672287","0.46505336731672287","0.46505336731672287"
"5300","0.46766631454229357","0.46766631454229357","0.46766631454229357"
"5400","0.4593669381737709","0.4593669381737709","0.4593669381737709"
"5500","0.4618142467737198","0.4618142467737198","0.4618142467737198"
"5600","0.4645648536086082","0.4645648536086082","0.4645648536086082"
