"Step","counting_medium_encoder_nope_perm_variant_0 - loss","counting_medium_encoder_nope_perm_variant_0 - loss__MIN","counting_medium_encoder_nope_perm_variant_0 - loss__MAX"
"5700","0.46091987907886506","0.46091987907886506","0.46091987907886506"
"5800","0.4606797006726265","0.4606797006726265","0.4606797006726265"
"5900","0.4679765525460243","0.4679765525460243","0.4679765525460243"
"6000","0.461592983007431","0.461592983007431","0.461592983007431"
"6100","0.45219113022089","0.45219113022089","0.45219113022089"
"6200","0.4504325422644615","0.4504325422644615","0.4504325422644615"
"6300","0.45524238765239716","0.45524238765239716","0.45524238765239716"
"6400","0.4577523773908615","0.4577523773908615","0.4577523773908615"
"6500","0.45231703847646715","0.45231703847646715","0.45231703847646715"
"6600","0.44748628705739973","0.44748628705739973","0.44748628705739973"
"6700","0.4506465756893158","0.4506465756893158","0.4506465756893158"
"6800","0.4402459043264389","0.4402459043264389","0.4402459043264389"
"6900","0.4427507343888283","0.4427507343888283","0.4427507343888283"
"7000","0.43948428213596347","0.43948428213596347","0.43948428213596347"
"7100","0.4513698583841324","0.4513698583841324","0.4513698583841324"
"7200","0.4470009967684746","0.4470009967684746","0.4470009967684746"
"7300","0.4408999469876289","0.4408999469876289","0.4408999469876289"
"7400","0.4326335820555687","0.4326335820555687","0.4326335820555687"
"7500","0.4342523726820946","0.4342523726820946","0.4342523726820946"
"7600","0.4398874849081039","0.4398874849081039","0.4398874849081039"
"7700","0.43765150994062424","0.43765150994062424","0.43765150994062424"
"7800","0.42977919667959213","0.42977919667959213","0.42977919667959213"
"7900","0.4344188293814659","0.4344188293814659","0.4344188293814659"
"8000","0.43640232235193255","0.43640232235193255","0.43640232235193255"
"8100","0.4306243720650673","0.4306243720650673","0.4306243720650673"
"8200","0.4317243394255638","0.4317243394255638","0.4317243394255638"
"8300","0.4300959175825119","0.4300959175825119","0.4300959175825119"
"8400","0.42334305167198183","0.42334305167198183","0.42334305167198183"
"8500","0.42156486213207245","0.42156486213207245","0.42156486213207245"
"8600","0.4250553724169731","0.4250553724169731","0.4250553724169731"
"8700","0.4221627700328827","0.4221627700328827","0.4221627700328827"
"8800","0.4215446135401726","0.4215446135401726","0.4215446135401726"
"8900","0.4245649003982544","0.4245649003982544","0.4245649003982544"
"9000","0.4178302648663521","0.4178302648663521","0.4178302648663521"
"9100","0.4218976789712906","0.4218976789712906","0.4218976789712906"
"9200","0.4227056935429573","0.4227056935429573","0.4227056935429573"
"9300","0.42098903089761736","0.42098903089761736","0.42098903089761736"
"9400","0.4173199012875557","0.4173199012875557","0.4173199012875557"
"9500","0.4221810546517372","0.4221810546517372","0.4221810546517372"
"9600","0.422558773458004","0.422558773458004","0.422558773458004"
"9700","0.4178674361109734","0.4178674361109734","0.4178674361109734"
"9800","0.4133409711718559","0.4133409711718559","0.4133409711718559"
"9900","0.41541525661945344","0.41541525661945344","0.41541525661945344"
"10000","0.4114004275202751","0.4114004275202751","0.4114004275202751"
