"Step","memory_bound_extra_small_encoder_0_resumed - loss","memory_bound_extra_small_encoder_0_resumed - loss__MIN","memory_bound_extra_small_encoder_0_resumed - loss__MAX"
"40300","10.511687622070312","10.511687622070312","10.511687622070312"
"40400","10.507619562149047","10.507619562149047","10.507619562149047"
"40500","10.474201498031617","10.474201498031617","10.474201498031617"
"40600","10.496381130218506","10.496381130218506","10.496381130218506"
"40700","10.404397735595703","10.404397735595703","10.404397735595703"
"40800","10.4860968875885","10.4860968875885","10.4860968875885"
"40900","10.405263271331787","10.405263271331787","10.405263271331787"
"41000","10.489253931045532","10.489253931045532","10.489253931045532"
"41100","10.426870536804199","10.426870536804199","10.426870536804199"
"41200","10.311989488601684","10.311989488601684","10.311989488601684"
"41300","10.348323879241944","10.348323879241944","10.348323879241944"
"41400","10.365789499282837","10.365789499282837","10.365789499282837"
"41500","10.39417844772339","10.39417844772339","10.39417844772339"
"41600","10.26609561920166","10.26609561920166","10.26609561920166"
"41700","10.325555038452148","10.325555038452148","10.325555038452148"
"41800","10.313874940872193","10.313874940872193","10.313874940872193"
"41900","10.308096828460693","10.308096828460693","10.308096828460693"
"42000","10.245007848739624","10.245007848739624","10.245007848739624"
"42100","10.247629823684692","10.247629823684692","10.247629823684692"
"42200","10.246507863998414","10.246507863998414","10.246507863998414"
"42300","10.171604118347169","10.171604118347169","10.171604118347169"
"42400","10.254088926315308","10.254088926315308","10.254088926315308"
"42500","10.164692525863648","10.164692525863648","10.164692525863648"
"42600","10.189082851409912","10.189082851409912","10.189082851409912"
"42700","10.15411732673645","10.15411732673645","10.15411732673645"
"42800","10.143376989364624","10.143376989364624","10.143376989364624"
"42900","10.098173608779907","10.098173608779907","10.098173608779907"
"43000","10.171868925094605","10.171868925094605","10.171868925094605"
"43100","10.184339542388916","10.184339542388916","10.184339542388916"
"43200","10.11552170753479","10.11552170753479","10.11552170753479"
"43300","10.09135645866394","10.09135645866394","10.09135645866394"
"43400","10.106878232955932","10.106878232955932","10.106878232955932"
"43500","10.15172435760498","10.15172435760498","10.15172435760498"
"43600","9.999158601760865","9.999158601760865","9.999158601760865"
"43700","10.009720869064331","10.009720869064331","10.009720869064331"
"43800","10.04116135597229","10.04116135597229","10.04116135597229"
"43900","10.055423421859741","10.055423421859741","10.055423421859741"
"44000","9.985397748947143","9.985397748947143","9.985397748947143"
"44100","9.99569016456604","9.99569016456604","9.99569016456604"
"44200","10.050594997406005","10.050594997406005","10.050594997406005"
"44300","9.980836687088013","9.980836687088013","9.980836687088013"
"44400","9.92926259994507","9.92926259994507","9.92926259994507"
"44500","9.954561519622803","9.954561519622803","9.954561519622803"
"44600","10.018363943099976","10.018363943099976","10.018363943099976"
"44700","9.94378165245056","9.94378165245056","9.94378165245056"
"44800","9.89587586402893","9.89587586402893","9.89587586402893"
"44900","9.896152935028077","9.896152935028077","9.896152935028077"
"45000","9.921081590652467","9.921081590652467","9.921081590652467"
"45100","9.850378684997558","9.850378684997558","9.850378684997558"
"45200","9.93034878730774","9.93034878730774","9.93034878730774"
"45300","9.93416501045227","9.93416501045227","9.93416501045227"
"45400","9.887451963424683","9.887451963424683","9.887451963424683"
"45500","9.867229433059693","9.867229433059693","9.867229433059693"
"45600","9.796069669723511","9.796069669723511","9.796069669723511"
"45700","9.874374504089355","9.874374504089355","9.874374504089355"
"45800","9.835412759780883","9.835412759780883","9.835412759780883"
"45900","9.837163038253784","9.837163038253784","9.837163038253784"
"46000","9.898919153213502","9.898919153213502","9.898919153213502"
"46100","9.83913239479065","9.83913239479065","9.83913239479065"
"46200","9.827835903167724","9.827835903167724","9.827835903167724"
"46300","9.887314176559448","9.887314176559448","9.887314176559448"
"46400","9.898155698776245","9.898155698776245","9.898155698776245"
"46500","9.77725573539734","9.77725573539734","9.77725573539734"
"46600","9.76255771636963","9.76255771636963","9.76255771636963"
"46700","9.823433818817138","9.823433818817138","9.823433818817138"
"46800","9.757419805526734","9.757419805526734","9.757419805526734"
"46900","9.807678956985473","9.807678956985473","9.807678956985473"
"47000","9.74681661605835","9.74681661605835","9.74681661605835"
"47100","9.797498626708984","9.797498626708984","9.797498626708984"
"47200","9.74265507698059","9.74265507698059","9.74265507698059"
"47300","9.792358198165893","9.792358198165893","9.792358198165893"
"47400","9.73580623626709","9.73580623626709","9.73580623626709"
"47500","9.736807918548584","9.736807918548584","9.736807918548584"
"47600","9.738273754119874","9.738273754119874","9.738273754119874"
"47700","9.700135869979858","9.700135869979858","9.700135869979858"
"47800","9.666938228607178","9.666938228607178","9.666938228607178"
"47900","9.687262411117553","9.687262411117553","9.687262411117553"
"48000","9.66238356590271","9.66238356590271","9.66238356590271"
"48100","9.665869798660278","9.665869798660278","9.665869798660278"
"48200","9.692895088195801","9.692895088195801","9.692895088195801"
"48300","9.667780857086182","9.667780857086182","9.667780857086182"
"48400","9.702409963607789","9.702409963607789","9.702409963607789"
"48500","9.648081550598144","9.648081550598144","9.648081550598144"
"48600","9.657065944671631","9.657065944671631","9.657065944671631"
"48700","9.627716264724732","9.627716264724732","9.627716264724732"
"48800","9.599835577011108","9.599835577011108","9.599835577011108"
"48900","9.625504608154296","9.625504608154296","9.625504608154296"
"49000","9.55549066543579","9.55549066543579","9.55549066543579"
"49100","9.703681659698486","9.703681659698486","9.703681659698486"
"49200","9.546913404464721","9.546913404464721","9.546913404464721"
"49300","9.532015743255615","9.532015743255615","9.532015743255615"
"49400","9.572379684448242","9.572379684448242","9.572379684448242"
"49500","9.612303590774536","9.612303590774536","9.612303590774536"
"49600","9.59888526916504","9.59888526916504","9.59888526916504"
"49700","9.620957984924317","9.620957984924317","9.620957984924317"
"49800","9.547808637619019","9.547808637619019","9.547808637619019"
"49900","9.619682712554932","9.619682712554932","9.619682712554932"
"50000","9.589058084487915","9.589058084487915","9.589058084487915"
"50100","9.555653276443481","9.555653276443481","9.555653276443481"
"50200","9.556251649856568","9.556251649856568","9.556251649856568"
"50300","9.537368869781494","9.537368869781494","9.537368869781494"
"50400","9.577373676300049","9.577373676300049","9.577373676300049"
"50500","9.560407209396363","9.560407209396363","9.560407209396363"
"50600","9.561274871826171","9.561274871826171","9.561274871826171"
"50700","9.573681402206422","9.573681402206422","9.573681402206422"
"50800","9.568010778427125","9.568010778427125","9.568010778427125"
