"Step","plain_addition_medium_decoder_0 - train_loss","plain_addition_medium_decoder_0 - train_loss__MIN","plain_addition_medium_decoder_0 - train_loss__MAX"
"1","2.755952835083008","2.755952835083008","2.755952835083008"
"2","2.685892105102539","2.685892105102539","2.685892105102539"
"3","2.6191253662109375","2.6191253662109375","2.6191253662109375"
"4","2.5540361404418945","2.5540361404418945","2.5540361404418945"
"5","2.476804733276367","2.476804733276367","2.476804733276367"
"6","2.3979263305664062","2.3979263305664062","2.3979263305664062"
"7","2.3265388011932373","2.3265388011932373","2.3265388011932373"
"8","2.2713005542755127","2.2713005542755127","2.2713005542755127"
"9","2.261284112930298","2.261284112930298","2.261284112930298"
"10","2.229249954223633","2.229249954223633","2.229249954223633"
"11","2.2115087509155273","2.2115087509155273","2.2115087509155273"
"12","2.1916754245758057","2.1916754245758057","2.1916754245758057"
"13","2.185364007949829","2.185364007949829","2.185364007949829"
"14","2.1567494869232178","2.1567494869232178","2.1567494869232178"
"15","2.1417973041534424","2.1417973041534424","2.1417973041534424"
"16","2.1332061290740967","2.1332061290740967","2.1332061290740967"
"17","2.1463170051574707","2.1463170051574707","2.1463170051574707"
"18","2.1326515674591064","2.1326515674591064","2.1326515674591064"
"19","2.106999635696411","2.106999635696411","2.106999635696411"
"20","2.1093368530273438","2.1093368530273438","2.1093368530273438"
"21","2.09784197807312","2.09784197807312","2.09784197807312"
"22","2.1008708477020264","2.1008708477020264","2.1008708477020264"
"23","2.0880393981933594","2.0880393981933594","2.0880393981933594"
"24","2.080800771713257","2.080800771713257","2.080800771713257"
"25","2.072140693664551","2.072140693664551","2.072140693664551"
"26","2.059227466583252","2.059227466583252","2.059227466583252"
"27","2.050370693206787","2.050370693206787","2.050370693206787"
"28","2.0420587062835693","2.0420587062835693","2.0420587062835693"
"29","2.044247627258301","2.044247627258301","2.044247627258301"
"30","2.026186227798462","2.026186227798462","2.026186227798462"
"31","2.052839994430542","2.052839994430542","2.052839994430542"
"32","2.0351297855377197","2.0351297855377197","2.0351297855377197"
"33","1.9907718896865845","1.9907718896865845","1.9907718896865845"
