"Step","counting_large_encoder_nope_perm_variant_0 - accuracy","counting_large_encoder_nope_perm_variant_0 - accuracy__MIN","counting_large_encoder_nope_perm_variant_0 - accuracy__MAX"
"100","0.3459375","0.3459375","0.3459375"
"200","0.41720703125","0.41720703125","0.41720703125"
"300","0.4738671875","0.4738671875","0.4738671875"
"400","0.4974609375","0.4974609375","0.4974609375"
"500","0.507890625","0.507890625","0.507890625"
"600","0.5623828125","0.5623828125","0.5623828125"
"700","0.53119140625","0.53119140625","0.53119140625"
"800","0.567265625","0.567265625","0.567265625"
"900","0.573125","0.573125","0.573125"
"1000","0.592421875","0.592421875","0.592421875"
"1100","0.62654296875","0.62654296875","0.62654296875"
"1200","0.62625","0.62625","0.62625"
"1300","0.64546875","0.64546875","0.64546875"
"1400","0.62943359375","0.62943359375","0.62943359375"
"1500","0.64814453125","0.64814453125","0.64814453125"
"1600","0.663828125","0.663828125","0.663828125"
"1700","0.672265625","0.672265625","0.672265625"
"1800","0.67376953125","0.67376953125","0.67376953125"
"1900","0.687734375","0.687734375","0.687734375"
"2000","0.7073828125","0.7073828125","0.7073828125"
"2100","0.695546875","0.695546875","0.695546875"
"2200","0.70837890625","0.70837890625","0.70837890625"
"2300","0.70705078125","0.70705078125","0.70705078125"
"2400","0.71701171875","0.71701171875","0.71701171875"
"2500","0.73005859375","0.73005859375","0.73005859375"
"2600","0.720390625","0.720390625","0.720390625"
"2700","0.73275390625","0.73275390625","0.73275390625"
"2800","0.74154296875","0.74154296875","0.74154296875"
"2900","0.73912109375","0.73912109375","0.73912109375"
"3000","0.7536328125","0.7536328125","0.7536328125"
"3100","0.75826171875","0.75826171875","0.75826171875"
"3200","0.76365234375","0.76365234375","0.76365234375"
"3300","0.76181640625","0.76181640625","0.76181640625"
"3400","0.7698828125","0.7698828125","0.7698828125"
"3500","0.7792578125","0.7792578125","0.7792578125"
"3600","0.77921875","0.77921875","0.77921875"
"3700","0.77552734375","0.77552734375","0.77552734375"
"3800","0.78658203125","0.78658203125","0.78658203125"
"3900","0.78591796875","0.78591796875","0.78591796875"
"4000","0.78947265625","0.78947265625","0.78947265625"
"4100","0.7919140625","0.7919140625","0.7919140625"
"4200","0.79607421875","0.79607421875","0.79607421875"
"4300","0.79982421875","0.79982421875","0.79982421875"
"4400","0.80236328125","0.80236328125","0.80236328125"
"4500","0.80451171875","0.80451171875","0.80451171875"
"4600","0.80146484375","0.80146484375","0.80146484375"
"4700","0.80546875","0.80546875","0.80546875"
"4800","0.80466796875","0.80466796875","0.80466796875"
"4900","0.806640625","0.806640625","0.806640625"
"5000","0.800703125","0.800703125","0.800703125"
"5100","0.8065625","0.8065625","0.8065625"
"5200","0.811328125","0.811328125","0.811328125"
"5300","0.80625","0.80625","0.80625"
"5400","0.81060546875","0.81060546875","0.81060546875"
"5500","0.811484375","0.811484375","0.811484375"
"5600","0.81244140625","0.81244140625","0.81244140625"
"5700","0.80822265625","0.80822265625","0.80822265625"
"5800","0.8077734375","0.8077734375","0.8077734375"
"5900","0.8158203125","0.8158203125","0.8158203125"
"6000","0.811953125","0.811953125","0.811953125"
"6100","0.81115234375","0.81115234375","0.81115234375"
"6200","0.81076171875","0.81076171875","0.81076171875"
"6300","0.81376953125","0.81376953125","0.81376953125"
"6400","0.81556640625","0.81556640625","0.81556640625"
"6500","0.81845703125","0.81845703125","0.81845703125"
"6600","0.8137890625","0.8137890625","0.8137890625"
"6700","0.810859375","0.810859375","0.810859375"
"6800","0.81369140625","0.81369140625","0.81369140625"
"6900","0.8131640625","0.8131640625","0.8131640625"
"7000","0.81556640625","0.81556640625","0.81556640625"
"7100","0.8208203125","0.8208203125","0.8208203125"
"7200","0.81416015625","0.81416015625","0.81416015625"
"7300","0.8165234375","0.8165234375","0.8165234375"
"7400","0.81900390625","0.81900390625","0.81900390625"
"7500","0.82189453125","0.82189453125","0.82189453125"
"7600","0.8172265625","0.8172265625","0.8172265625"
"7700","0.8190234375","0.8190234375","0.8190234375"
"7800","0.8194921875","0.8194921875","0.8194921875"
"7900","0.8171875","0.8171875","0.8171875"
"8000","0.81826171875","0.81826171875","0.81826171875"
"8100","0.82361328125","0.82361328125","0.82361328125"
"8200","0.8216796875","0.8216796875","0.8216796875"
"8300","0.82076171875","0.82076171875","0.82076171875"
"8400","0.82046875","0.82046875","0.82046875"
"8500","0.82107421875","0.82107421875","0.82107421875"
"8600","0.8174609375","0.8174609375","0.8174609375"
"8700","0.8133984375","0.8133984375","0.8133984375"
"8800","0.82501953125","0.82501953125","0.82501953125"
"8900","0.8188671875","0.8188671875","0.8188671875"
"9000","0.82009765625","0.82009765625","0.82009765625"
"9100","0.81931640625","0.81931640625","0.81931640625"
"9200","0.82001953125","0.82001953125","0.82001953125"
"9300","0.8216015625","0.8216015625","0.8216015625"
"9400","0.82146484375","0.82146484375","0.82146484375"
"9500","0.821171875","0.821171875","0.821171875"
"9600","0.81939453125","0.81939453125","0.81939453125"
"9700","0.8185546875","0.8185546875","0.8185546875"
"9800","0.82294921875","0.82294921875","0.82294921875"
"9900","0.81919921875","0.81919921875","0.81919921875"
"10000","0.8258984375","0.8258984375","0.8258984375"
