"Step","counting_medium_decoder_nope_perm_invariant_0 - loss","counting_medium_decoder_nope_perm_invariant_0 - loss__MIN","counting_medium_decoder_nope_perm_invariant_0 - loss__MAX"
"100","1.6800288891792297","1.6800288891792297","1.6800288891792297"
"200","0.6320353119075298","0.6320353119075298","0.6320353119075298"
"300","0.4997523646056652","0.4997523646056652","0.4997523646056652"
"400","0.3789743388816714","0.3789743388816714","0.3789743388816714"
"500","0.1903078578040004","0.1903078578040004","0.1903078578040004"
"600","0.25371666815131905","0.25371666815131905","0.25371666815131905"
"700","0.16997259574010967","0.16997259574010967","0.16997259574010967"
"800","0.18239326308481396","0.18239326308481396","0.18239326308481396"
"900","0.24424034375697373","0.24424034375697373","0.24424034375697373"
"1000","0.11131362363696098","0.11131362363696098","0.11131362363696098"
"1100","0.11922215534374118","0.11922215534374118","0.11922215534374118"
"1200","0.1082256271596998","0.1082256271596998","0.1082256271596998"
"1300","0.050302101941779254","0.050302101941779254","0.050302101941779254"
"1400","0.09309753186069429","0.09309753186069429","0.09309753186069429"
"1500","0.05992827887181193","0.05992827887181193","0.05992827887181193"
"1600","0.08686423122882843","0.08686423122882843","0.08686423122882843"
"1700","0.033847539690323176","0.033847539690323176","0.033847539690323176"
"1800","0.025532369995489718","0.025532369995489718","0.025532369995489718"
"1900","0.05779306102311239","0.05779306102311239","0.05779306102311239"
"2000","0.01972578753484413","0.01972578753484413","0.01972578753484413"
"2100","0.06535886604338885","0.06535886604338885","0.06535886604338885"
"2200","0.016821688674390316","0.016821688674390316","0.016821688674390316"
"2300","0.034487878495128826","0.034487878495128826","0.034487878495128826"
"2400","0.007509416850516573","0.007509416850516573","0.007509416850516573"
"2500","0.033208989151753486","0.033208989151753486","0.033208989151753486"
"2600","0.010552259252872318","0.010552259252872318","0.010552259252872318"
"2700","0.010177427971502766","0.010177427971502766","0.010177427971502766"
"2800","0.03102286399458535","0.03102286399458535","0.03102286399458535"
"2900","0.009448323433753103","0.009448323433753103","0.009448323433753103"
"3000","0.0038894327558227815","0.0038894327558227815","0.0038894327558227815"
"3100","0.010388517428655177","0.010388517428655177","0.010388517428655177"
"3200","0.012211457599769347","0.012211457599769347","0.012211457599769347"
"3300","0.0038718865520786495","0.0038718865520786495","0.0038718865520786495"
"3400","0.015064785423164721","0.015064785423164721","0.015064785423164721"
"3500","0.007276431413483806","0.007276431413483806","0.007276431413483806"
"3600","0.00170653133536689","0.00170653133536689","0.00170653133536689"
"3700","0.0026401162054389715","0.0026401162054389715","0.0026401162054389715"
"3800","0.005758236148976721","0.005758236148976721","0.005758236148976721"
"3900","0.001760481504315976","0.001760481504315976","0.001760481504315976"
"4000","0.006841602240456268","0.006841602240456268","0.006841602240456268"
"4100","0.0015729991736589","0.0015729991736589","0.0015729991736589"
"4200","0.0019203531069797463","0.0019203531069797463","0.0019203531069797463"
"4300","0.001987894754856825","0.001987894754856825","0.001987894754856825"
"4400","0.0029970670776674523","0.0029970670776674523","0.0029970670776674523"
"4500","0.0009129242191556841","0.0009129242191556841","0.0009129242191556841"
"4600","0.0015025537101610099","0.0015025537101610099","0.0015025537101610099"
"4700","0.0020998518211126794","0.0020998518211126794","0.0020998518211126794"
"4800","0.0010596902818360832","0.0010596902818360832","0.0010596902818360832"
"4900","0.0011220434780989308","0.0011220434780989308","0.0011220434780989308"
"5000","0.0010786280153115514","0.0010786280153115514","0.0010786280153115514"
"5100","0.0017515062984602991","0.0017515062984602991","0.0017515062984602991"
"5200","0.0011995119247148979","0.0011995119247148979","0.0011995119247148979"
"5300","0.0016976190800778567","0.0016976190800778567","0.0016976190800778567"
"5400","0.0007124334440595703","0.0007124334440595703","0.0007124334440595703"
"5500","0.001822423462945153","0.001822423462945153","0.001822423462945153"
"5600","0.0007540508221427444","0.0007540508221427444","0.0007540508221427444"
"5700","0.0010391348526172805","0.0010391348526172805","0.0010391348526172805"
"5800","0.0015234685885661748","0.0015234685885661748","0.0015234685885661748"
"5900","0.001007562651866465","0.001007562651866465","0.001007562651866465"
"6000","0.0013435906678932951","0.0013435906678932951","0.0013435906678932951"
"6100","0.0012400448403059273","0.0012400448403059273","0.0012400448403059273"
"6200","0.0008124297316680895","0.0008124297316680895","0.0008124297316680895"
"6300","0.0013491904207330663","0.0013491904207330663","0.0013491904207330663"
"6400","0.0010492575534590287","0.0010492575534590287","0.0010492575534590287"
