"Step","reversed_addition_medium_decoder_0 - train_loss","reversed_addition_medium_decoder_0 - train_loss__MIN","reversed_addition_medium_decoder_0 - train_loss__MAX"
"1","2.7550125122070312","2.7550125122070312","2.7550125122070312"
"2","2.6910781860351562","2.6910781860351562","2.6910781860351562"
"3","2.627383232116699","2.627383232116699","2.627383232116699"
"4","2.5657100677490234","2.5657100677490234","2.5657100677490234"
"5","2.4890823364257812","2.4890823364257812","2.4890823364257812"
"6","2.416393280029297","2.416393280029297","2.416393280029297"
"7","2.342207908630371","2.342207908630371","2.342207908630371"
"8","2.280982732772827","2.280982732772827","2.280982732772827"
"9","2.2587807178497314","2.2587807178497314","2.2587807178497314"
"10","2.234592914581299","2.234592914581299","2.234592914581299"
"11","2.2221925258636475","2.2221925258636475","2.2221925258636475"
"12","2.193913698196411","2.193913698196411","2.193913698196411"
"13","2.195324659347534","2.195324659347534","2.195324659347534"
"14","2.163318634033203","2.163318634033203","2.163318634033203"
"15","2.1456332206726074","2.1456332206726074","2.1456332206726074"
"16","2.1387617588043213","2.1387617588043213","2.1387617588043213"
"17","2.1520676612854004","2.1520676612854004","2.1520676612854004"
"18","2.133884906768799","2.133884906768799","2.133884906768799"
"19","2.1225993633270264","2.1225993633270264","2.1225993633270264"
"20","2.1121439933776855","2.1121439933776855","2.1121439933776855"
"21","2.088425636291504","2.088425636291504","2.088425636291504"
"22","2.0868330001831055","2.0868330001831055","2.0868330001831055"
"23","2.0903103351593018","2.0903103351593018","2.0903103351593018"
"24","2.0881729125976562","2.0881729125976562","2.0881729125976562"
"25","2.090367317199707","2.090367317199707","2.090367317199707"
"26","2.07784366607666","2.07784366607666","2.07784366607666"
"27","2.0421149730682373","2.0421149730682373","2.0421149730682373"
"28","2.062154531478882","2.062154531478882","2.062154531478882"
"29","2.011378049850464","2.011378049850464","2.011378049850464"
"30","2.0169668197631836","2.0169668197631836","2.0169668197631836"
"31","2.0819485187530518","2.0819485187530518","2.0819485187530518"
"32","2.143400192260742","2.143400192260742","2.143400192260742"
"33","2.0223612785339355","2.0223612785339355","2.0223612785339355"
"34","2.0721945762634277","2.0721945762634277","2.0721945762634277"
"35","2.0669918060302734","2.0669918060302734","2.0669918060302734"
"36","2.054342746734619","2.054342746734619","2.054342746734619"
"37","2.0420992374420166","2.0420992374420166","2.0420992374420166"
"38","2.0327694416046143","2.0327694416046143","2.0327694416046143"
"39","2.0211920738220215","2.0211920738220215","2.0211920738220215"
"40","1.9772536754608154","1.9772536754608154","1.9772536754608154"
"41","1.9922065734863281","1.9922065734863281","1.9922065734863281"
"42","1.9919694662094116","1.9919694662094116","1.9919694662094116"
"43","1.972976803779602","1.972976803779602","1.972976803779602"
"44","1.9436054229736328","1.9436054229736328","1.9436054229736328"
"45","1.9667311906814575","1.9667311906814575","1.9667311906814575"
"46","1.9377974271774292","1.9377974271774292","1.9377974271774292"
"47","1.9085698127746582","1.9085698127746582","1.9085698127746582"
"48","1.9059624671936035","1.9059624671936035","1.9059624671936035"
