"Step","counting_medium_encoder_nope_perm_invariant_0 - loss","counting_medium_encoder_nope_perm_invariant_0 - loss__MIN","counting_medium_encoder_nope_perm_invariant_0 - loss__MAX"
"100","1.8040788507461547","1.8040788507461547","1.8040788507461547"
"200","0.9165854686498642","0.9165854686498642","0.9165854686498642"
"300","0.7016686069965362","0.7016686069965362","0.7016686069965362"
"400","0.5959316429495811","0.5959316429495811","0.5959316429495811"
"500","0.4518508490920067","0.4518508490920067","0.4518508490920067"
"600","0.38092497140169146","0.38092497140169146","0.38092497140169146"
"700","0.2984973935782909","0.2984973935782909","0.2984973935782909"
"800","0.31729078754782675","0.31729078754782675","0.31729078754782675"
"900","0.4610166370868683","0.4610166370868683","0.4610166370868683"
"1000","0.2640079221129417","0.2640079221129417","0.2640079221129417"
"1100","0.17413539968430997","0.17413539968430997","0.17413539968430997"
"1200","0.17039108887314797","0.17039108887314797","0.17039108887314797"
"1300","0.14243880534544587","0.14243880534544587","0.14243880534544587"
"1400","0.2550052847713232","0.2550052847713232","0.2550052847713232"
"1500","0.0823545285500586","0.0823545285500586","0.0823545285500586"
"1600","0.10374526251107455","0.10374526251107455","0.10374526251107455"
"1700","0.16385373186320065","0.16385373186320065","0.16385373186320065"
"1800","0.061371542485430836","0.061371542485430836","0.061371542485430836"
"1900","0.08128695907071233","0.08128695907071233","0.08128695907071233"
"2000","0.08848710114136338","0.08848710114136338","0.08848710114136338"
"2100","0.1133643798995763","0.1133643798995763","0.1133643798995763"
"2200","0.031245697545818983","0.031245697545818983","0.031245697545818983"
"2300","0.06614063515793532","0.06614063515793532","0.06614063515793532"
"2400","0.1925526540260762","0.1925526540260762","0.1925526540260762"
"2500","0.030422793081961573","0.030422793081961573","0.030422793081961573"
"2600","0.04734028498642147","0.04734028498642147","0.04734028498642147"
"2700","0.013469366799108684","0.013469366799108684","0.013469366799108684"
"2800","0.06260494440793991","0.06260494440793991","0.06260494440793991"
"2900","0.009012628837954253","0.009012628837954253","0.009012628837954253"
"3000","0.07913815876003355","0.07913815876003355","0.07913815876003355"
"3100","0.009051264396402985","0.009051264396402985","0.009051264396402985"
"3200","0.024367488760035486","0.024367488760035486","0.024367488760035486"
"3300","0.007037380652036518","0.007037380652036518","0.007037380652036518"
"3400","0.04300639047753066","0.04300639047753066","0.04300639047753066"
"3500","0.008539128747070208","0.008539128747070208","0.008539128747070208"
"3600","0.025757161942310633","0.025757161942310633","0.025757161942310633"
"3700","0.012579606210347266","0.012579606210347266","0.012579606210347266"
"3800","0.004464715287322178","0.004464715287322178","0.004464715287322178"
"3900","0.005689567044610158","0.005689567044610158","0.005689567044610158"
"4000","0.008132857343880459","0.008132857343880459","0.008132857343880459"
"4100","0.008337333739036694","0.008337333739036694","0.008337333739036694"
"4200","0.004620041645830497","0.004620041645830497","0.004620041645830497"
"4300","0.00452645594603382","0.00452645594603382","0.00452645594603382"
"4400","0.0085236094717402","0.0085236094717402","0.0085236094717402"
"4500","0.004043693254352547","0.004043693254352547","0.004043693254352547"
"4600","0.004157194774015807","0.004157194774015807","0.004157194774015807"
"4700","0.0038723293330986054","0.0038723293330986054","0.0038723293330986054"
"4800","0.004560007475956809","0.004560007475956809","0.004560007475956809"
"4900","0.003786332234449219","0.003786332234449219","0.003786332234449219"
"5000","0.003969782404019497","0.003969782404019497","0.003969782404019497"
"5100","0.004105324395059142","0.004105324395059142","0.004105324395059142"
"5200","0.0037266008704318664","0.0037266008704318664","0.0037266008704318664"
"5300","0.0032640843698754905","0.0032640843698754905","0.0032640843698754905"
"5400","0.00219018621603027","0.00219018621603027","0.00219018621603027"
"5500","0.004942393081728369","0.004942393081728369","0.004942393081728369"
"5600","0.0019049758004257456","0.0019049758004257456","0.0019049758004257456"
"5700","0.0034591895260382443","0.0034591895260382443","0.0034591895260382443"
"5800","0.007240117644541897","0.007240117644541897","0.007240117644541897"
"5900","0.0017265630092879291","0.0017265630092879291","0.0017265630092879291"
"6000","0.0014740732705104164","0.0014740732705104164","0.0014740732705104164"
"6100","0.0028779337619198484","0.0028779337619198484","0.0028779337619198484"
"6200","0.0033125874420511536","0.0033125874420511536","0.0033125874420511536"
"6300","0.004940880459325853","0.004940880459325853","0.004940880459325853"
"6400","0.001648807011806639","0.001648807011806639","0.001648807011806639"
