"Step","counting_extra_small_decoder_perm_variant_0 - accuracy","counting_extra_small_decoder_perm_variant_0 - accuracy__MIN","counting_extra_small_decoder_perm_variant_0 - accuracy__MAX"
"100","0.2658951921761036","0.2658951921761036","0.2658951921761036"
"200","0.3106575611233711","0.3106575611233711","0.3106575611233711"
"300","0.4463606870174408","0.4463606870174408","0.4463606870174408"
"400","0.5156543126702309","0.5156543126702309","0.5156543126702309"
"500","0.6103906452655792","0.6103906452655792","0.6103906452655792"
"600","0.6594824427366257","0.6594824427366257","0.6594824427366257"
"700","0.7566080951690674","0.7566080951690674","0.7566080951690674"
"800","0.7996093958616257","0.7996093958616257","0.7996093958616257"
"900","0.826370462179184","0.826370462179184","0.826370462179184"
"1000","0.896617859005928","0.896617859005928","0.896617859005928"
"1100","0.9279362159967423","0.9279362159967423","0.9279362159967423"
"1200","0.879990257024765","0.879990257024765","0.879990257024765"
"1300","0.5695638245344162","0.5695638245344162","0.5695638245344162"
"1400","0.9615527540445328","0.9615527540445328","0.9615527540445328"
"1500","0.9626627802848816","0.9626627802848816","0.9626627802848816"
"1600","0.9416894710063934","0.9416894710063934","0.9416894710063934"
"1700","0.976038430929184","0.976038430929184","0.976038430929184"
"1800","0.8520573121309281","0.8520573121309281","0.8520573121309281"
"1900","0.9815397340059281","0.9815397340059281","0.9815397340059281"
"2000","0.8126041871309281","0.8126041871309281","0.8126041871309281"
"2100","0.9829199409484863","0.9829199409484863","0.9829199409484863"
"2200","0.9750716346502304","0.9750716346502304","0.9750716346502304"
"2300","0.9839909076690674","0.9839909076690674","0.9839909076690674"
"2400","0.9810286664962768","0.9810286664962768","0.9810286664962768"
"2500","0.9856087428331375","0.9856087428331375","0.9856087428331375"
"2600","0.9836946821212769","0.9836946821212769","0.9836946821212769"
"2700","0.9881738483905792","0.9881738483905792","0.9881738483905792"
"2800","0.9888997596502304","0.9888997596502304","0.9888997596502304"
"2900","0.9879101759195328","0.9879101759195328","0.9879101759195328"
"3000","0.9875911647081375","0.9875911647081375","0.9875911647081375"
"3100","0.9896842622756958","0.9896842622756958","0.9896842622756958"
"3200","0.9904850494861602","0.9904850494861602","0.9904850494861602"
"3300","0.9899772351980209","0.9899772351980209","0.9899772351980209"
"3400","0.9890722870826721","0.9890722870826721","0.9890722870826721"
"3500","0.9912239789962769","0.9912239789962769","0.9912239789962769"
"3600","0.9898958557844162","0.9898958557844162","0.9898958557844162"
"3700","0.9922363483905792","0.9922363483905792","0.9922363483905792"
"3800","0.9907649940252304","0.9907649940252304","0.9907649940252304"
"3900","0.9913639533519745","0.9913639533519745","0.9913639533519745"
"4000","0.9915690267086029","0.9915690267086029","0.9915690267086029"
"4100","0.9920931196212769","0.9920931196212769","0.9920931196212769"
"4200","0.9917578345537186","0.9917578345537186","0.9917578345537186"
"4300","0.9917806208133697","0.9917806208133697","0.9917806208133697"
"4400","0.9929362207651138","0.9929362207651138","0.9929362207651138"
