"Step","counting_extra_small_encoder_nope_perm_invariant_0 - loss","counting_extra_small_encoder_nope_perm_invariant_0 - loss__MIN","counting_extra_small_encoder_nope_perm_invariant_0 - loss__MAX"
"100","2.7032042467594146","2.7032042467594146","2.7032042467594146"
"200","1.491813063621521","1.491813063621521","1.491813063621521"
"300","1.0720076376199723","1.0720076376199723","1.0720076376199723"
"400","0.867462232708931","0.867462232708931","0.867462232708931"
"500","0.7732442170381546","0.7732442170381546","0.7732442170381546"
"600","0.7394567173719406","0.7394567173719406","0.7394567173719406"
"700","0.6904678863286972","0.6904678863286972","0.6904678863286972"
"800","0.6479633921384811","0.6479633921384811","0.6479633921384811"
"900","0.6046774584054947","0.6046774584054947","0.6046774584054947"
"1000","0.5846232551336289","0.5846232551336289","0.5846232551336289"
"1100","0.5506207838654518","0.5506207838654518","0.5506207838654518"
"1200","0.5255676573514938","0.5255676573514938","0.5255676573514938"
"1300","0.5036474618315697","0.5036474618315697","0.5036474618315697"
"1400","0.4934676542878151","0.4934676542878151","0.4934676542878151"
"1500","0.4755279433727264","0.4755279433727264","0.4755279433727264"
"1600","0.4572455805540085","0.4572455805540085","0.4572455805540085"
"1700","0.45141259372234344","0.45141259372234344","0.45141259372234344"
"1800","0.431692960858345","0.431692960858345","0.431692960858345"
"1900","0.42055317252874375","0.42055317252874375","0.42055317252874375"
"2000","0.40719332456588747","0.40719332456588747","0.40719332456588747"
"2100","0.3966087543964386","0.3966087543964386","0.3966087543964386"
"2200","0.37500548392534255","0.37500548392534255","0.37500548392534255"
"2300","0.37816578984260557","0.37816578984260557","0.37816578984260557"
"2400","0.3539967492222786","0.3539967492222786","0.3539967492222786"
"2500","0.34770179659128186","0.34770179659128186","0.34770179659128186"
"2600","0.32570675998926163","0.32570675998926163","0.32570675998926163"
"2700","0.3191873787343502","0.3191873787343502","0.3191873787343502"
"2800","0.2911926032602787","0.2911926032602787","0.2911926032602787"
"2900","0.2754178100824356","0.2754178100824356","0.2754178100824356"
"3000","0.2507744452357292","0.2507744452357292","0.2507744452357292"
"3100","0.2246183781325817","0.2246183781325817","0.2246183781325817"
"3200","0.19532094970345498","0.19532094970345498","0.19532094970345498"
"3300","0.16385909020900727","0.16385909020900727","0.16385909020900727"
"3400","0.14796171858906745","0.14796171858906745","0.14796171858906745"
"3500","0.14070372074842452","0.14070372074842452","0.14070372074842452"
"3600","0.12426535531878471","0.12426535531878471","0.12426535531878471"
"3700","0.1342263488471508","0.1342263488471508","0.1342263488471508"
"3800","0.10564987260848284","0.10564987260848284","0.10564987260848284"
"3900","0.10610079001635313","0.10610079001635313","0.10610079001635313"
"4000","0.10086005479097367","0.10086005479097367","0.10086005479097367"
"4100","0.091446020193398","0.091446020193398","0.091446020193398"
"4200","0.09516767717897892","0.09516767717897892","0.09516767717897892"
"4300","0.08765623584389687","0.08765623584389687","0.08765623584389687"
"4400","0.09103098269551993","0.09103098269551993","0.09103098269551993"
"4500","0.08440247256308794","0.08440247256308794","0.08440247256308794"
"4600","0.08139632999897004","0.08139632999897004","0.08139632999897004"
"4700","0.08180808018893003","0.08180808018893003","0.08180808018893003"
"4800","0.07692934334278106","0.07692934334278106","0.07692934334278106"
"4900","0.07506398860365153","0.07506398860365153","0.07506398860365153"
"5000","0.07269552964717149","0.07269552964717149","0.07269552964717149"
"5100","0.07308819137513638","0.07308819137513638","0.07308819137513638"
"5200","0.0675260166451335","0.0675260166451335","0.0675260166451335"
"5300","0.0691378365457058","0.0691378365457058","0.0691378365457058"
"5400","0.06740146342664957","0.06740146342664957","0.06740146342664957"
"5500","0.06686476051807404","0.06686476051807404","0.06686476051807404"
"5600","0.06604294627904891","0.06604294627904891","0.06604294627904891"
"5700","0.06477285226806999","0.06477285226806999","0.06477285226806999"
"5800","0.0638869932666421","0.0638869932666421","0.0638869932666421"
"5900","0.06327622443437576","0.06327622443437576","0.06327622443437576"
"6000","0.06377693554386496","0.06377693554386496","0.06377693554386496"
"6100","0.059705037996172904","0.059705037996172904","0.059705037996172904"
"6200","0.057550516929477456","0.057550516929477456","0.057550516929477456"
"6300","0.05848781205713749","0.05848781205713749","0.05848781205713749"
"6400","0.05816744610667229","0.05816744610667229","0.05816744610667229"
"6500","0.057780334930866956","0.057780334930866956","0.057780334930866956"
"6600","0.05190978515893221","0.05190978515893221","0.05190978515893221"
"6700","0.057370680924504994","0.057370680924504994","0.057370680924504994"
"6800","0.05515012877061963","0.05515012877061963","0.05515012877061963"
"6900","0.05270594451576471","0.05270594451576471","0.05270594451576471"
"7000","0.05178704250603914","0.05178704250603914","0.05178704250603914"
"7100","0.052971670646220444","0.052971670646220444","0.052971670646220444"
"7200","0.05362654795870185","0.05362654795870185","0.05362654795870185"
"7300","0.05078505482524633","0.05078505482524633","0.05078505482524633"
"7400","0.048178690392524","0.048178690392524","0.048178690392524"
"7500","0.048466761279851195","0.048466761279851195","0.048466761279851195"
"7600","0.05071922458708286","0.05071922458708286","0.05071922458708286"
"7700","0.04836097173392773","0.04836097173392773","0.04836097173392773"
"7800","0.04751278592273593","0.04751278592273593","0.04751278592273593"
"7900","0.048521124050021174","0.048521124050021174","0.048521124050021174"
"8000","0.0476670272089541","0.0476670272089541","0.0476670272089541"
"8100","0.04650279127061367","0.04650279127061367","0.04650279127061367"
"8200","0.04569508295506239","0.04569508295506239","0.04569508295506239"
"8300","0.04622371977195144","0.04622371977195144","0.04622371977195144"
"8400","0.04393801173195243","0.04393801173195243","0.04393801173195243"
"8500","0.041795480586588385","0.041795480586588385","0.041795480586588385"
"8600","0.04485768729820847","0.04485768729820847","0.04485768729820847"
"8700","0.04176416787318885","0.04176416787318885","0.04176416787318885"
"8800","0.04388952324166894","0.04388952324166894","0.04388952324166894"
"8900","0.043798448126763104","0.043798448126763104","0.043798448126763104"
"9000","0.039778089728206394","0.039778089728206394","0.039778089728206394"
"9100","0.042550233136862514","0.042550233136862514","0.042550233136862514"
"9200","0.04226475369185209","0.04226475369185209","0.04226475369185209"
"9300","0.040413162373006344","0.040413162373006344","0.040413162373006344"
"9400","0.03914599150419235","0.03914599150419235","0.03914599150419235"
"9500","0.040879319328814744","0.040879319328814744","0.040879319328814744"
"9600","0.040565240401774644","0.040565240401774644","0.040565240401774644"
"9700","0.040038989875465635","0.040038989875465635","0.040038989875465635"
"9800","0.040878962408751246","0.040878962408751246","0.040878962408751246"
"9900","0.038333851024508474","0.038333851024508474","0.038333851024508474"
"10000","0.03611281430348754","0.03611281430348754","0.03611281430348754"
