"Step","reversed_addition_len_gen_extra_small_deep_encoder_1_fixed - test_acc","reversed_addition_len_gen_extra_small_deep_encoder_1_fixed - test_acc__MIN","reversed_addition_len_gen_extra_small_deep_encoder_1_fixed - test_acc__MAX"
"500","0","0","0"
"1000","0","0","0"
"1500","0","0","0"
"2000","0","0","0"
"2500","0","0","0"
"3000","0","0","0"
"3500","0","0","0"
"4000","0.0002","0.0002","0.0002"
"4500","0.0013","0.0013","0.0013"
"5000","0.0061","0.0061","0.0061"
"5500","0.3569","0.3569","0.3569"
"6000","0.0032","0.0032","0.0032"
"6500","0.0136","0.0136","0.0136"
"7000","0.5995","0.5995","0.5995"
"7500","0","0","0"
"8000","0.005","0.005","0.005"
"8500","0","0","0"
"9000","0.0068","0.0068","0.0068"
"9500","0.1756","0.1756","0.1756"
"10000","0.2268","0.2268","0.2268"
"10500","0.5949","0.5949","0.5949"
"11000","0.7429","0.7429","0.7429"
"11500","0.7093","0.7093","0.7093"
"12000","0.3792","0.3792","0.3792"
"12500","0.9423","0.9423","0.9423"
"13000","0.7876","0.7876","0.7876"
"13500","0.4805","0.4805","0.4805"
"14000","0.7475","0.7475","0.7475"
"14500","0.6413","0.6413","0.6413"
"15000","0.6507","0.6507","0.6507"
"15500","0.552","0.552","0.552"
"16000","0.6155","0.6155","0.6155"
"16500","0.6576","0.6576","0.6576"
"17000","0.5208","0.5208","0.5208"
"17500","0.7397","0.7397","0.7397"
"18000","0.6408","0.6408","0.6408"
"18500","0.73","0.73","0.73"
"19000","0.5476","0.5476","0.5476"
"19500","0.7091","0.7091","0.7091"
"20000","0.3892","0.3892","0.3892"
"20500","0.5629","0.5629","0.5629"
"21000","0.9326","0.9326","0.9326"
"21500","0.4882","0.4882","0.4882"
"22000","0.5585","0.5585","0.5585"
"22500","0.5176","0.5176","0.5176"
"23000","0.4925","0.4925","0.4925"
"23500","0.4616","0.4616","0.4616"
"24000","0.4218","0.4218","0.4218"
"24500","0.4684","0.4684","0.4684"
"25000","0.453","0.453","0.453"
"25500","0.4004","0.4004","0.4004"
"26000","0.6209","0.6209","0.6209"
"26500","0.6649","0.6649","0.6649"
"27000","0.6407","0.6407","0.6407"
"27500","0.6567","0.6567","0.6567"
"28000","0.5028","0.5028","0.5028"
"28500","0.4969","0.4969","0.4969"
"29000","0.4735","0.4735","0.4735"
"29500","0.408","0.408","0.408"
"30000","0.8731","0.8731","0.8731"
