"Step","plain_addition_medium_encoder_0 - train_loss","plain_addition_medium_encoder_0 - train_loss__MIN","plain_addition_medium_encoder_0 - train_loss__MAX"
"1","2.7662429809570312","2.7662429809570312","2.7662429809570312"
"2","2.6953487396240234","2.6953487396240234","2.6953487396240234"
"3","2.619206428527832","2.619206428527832","2.619206428527832"
"4","2.5532588958740234","2.5532588958740234","2.5532588958740234"
"5","2.471787452697754","2.471787452697754","2.471787452697754"
"6","2.3884267807006836","2.3884267807006836","2.3884267807006836"
"7","2.3170809745788574","2.3170809745788574","2.3170809745788574"
"8","2.252152681350708","2.252152681350708","2.252152681350708"
"9","2.2405457496643066","2.2405457496643066","2.2405457496643066"
"10","2.208062171936035","2.208062171936035","2.208062171936035"
"11","2.189009666442871","2.189009666442871","2.189009666442871"
"12","2.16459059715271","2.16459059715271","2.16459059715271"
"13","2.1673779487609863","2.1673779487609863","2.1673779487609863"
"14","2.1318445205688477","2.1318445205688477","2.1318445205688477"
"15","2.1163835525512695","2.1163835525512695","2.1163835525512695"
"16","2.1164464950561523","2.1164464950561523","2.1164464950561523"
"17","2.1325488090515137","2.1325488090515137","2.1325488090515137"
"18","2.1107544898986816","2.1107544898986816","2.1107544898986816"
"19","2.0880274772644043","2.0880274772644043","2.0880274772644043"
"20","2.0774779319763184","2.0774779319763184","2.0774779319763184"
"21","2.0589759349823","2.0589759349823","2.0589759349823"
"22","2.044625997543335","2.044625997543335","2.044625997543335"
"23","2.061511754989624","2.061511754989624","2.061511754989624"
"24","2.1358766555786133","2.1358766555786133","2.1358766555786133"
"25","2.149813652038574","2.149813652038574","2.149813652038574"
"26","2.112579584121704","2.112579584121704","2.112579584121704"
"27","2.180856466293335","2.180856466293335","2.180856466293335"
"28","2.1505277156829834","2.1505277156829834","2.1505277156829834"
"29","2.093358278274536","2.093358278274536","2.093358278274536"
"30","2.075146436691284","2.075146436691284","2.075146436691284"
"31","2.153646230697632","2.153646230697632","2.153646230697632"
"32","2.141497850418091","2.141497850418091","2.141497850418091"
"33","2.096468687057495","2.096468687057495","2.096468687057495"
"34","2.070006847381592","2.070006847381592","2.070006847381592"
"35","2.0872185230255127","2.0872185230255127","2.0872185230255127"
"36","2.054121732711792","2.054121732711792","2.054121732711792"
"37","2.023196220397949","2.023196220397949","2.023196220397949"
"38","2.070000171661377","2.070000171661377","2.070000171661377"
"39","2.019463300704956","2.019463300704956","2.019463300704956"
"40","2.003445863723755","2.003445863723755","2.003445863723755"
"41","2.025383472442627","2.025383472442627","2.025383472442627"
"42","2.0333046913146973","2.0333046913146973","2.0333046913146973"
"43","1.9867194890975952","1.9867194890975952","1.9867194890975952"
"44","2.002089023590088","2.002089023590088","2.002089023590088"
"45","2.0333194732666016","2.0333194732666016","2.0333194732666016"
"46","1.9902193546295166","1.9902193546295166","1.9902193546295166"
"47","2.0419225692749023","2.0419225692749023","2.0419225692749023"
"48","1.9435293674468994","1.9435293674468994","1.9435293674468994"
"49","1.971864104270935","1.971864104270935","1.971864104270935"
"50","1.9674957990646362","1.9674957990646362","1.9674957990646362"
"51","1.960444450378418","1.960444450378418","1.960444450378418"
"52","1.9821279048919678","1.9821279048919678","1.9821279048919678"
"53","1.996718168258667","1.996718168258667","1.996718168258667"
"54","1.9374281167984009","1.9374281167984009","1.9374281167984009"
"55","1.9985549449920654","1.9985549449920654","1.9985549449920654"
"56","1.9542441368103027","1.9542441368103027","1.9542441368103027"
"57","1.9342401027679443","1.9342401027679443","1.9342401027679443"
"58","1.9317964315414429","1.9317964315414429","1.9317964315414429"
"59","1.9123848676681519","1.9123848676681519","1.9123848676681519"
"60","1.9352589845657349","1.9352589845657349","1.9352589845657349"
"61","1.894569993019104","1.894569993019104","1.894569993019104"
"62","1.9199423789978027","1.9199423789978027","1.9199423789978027"
"63","1.8680099248886108","1.8680099248886108","1.8680099248886108"
"64","1.867879867553711","1.867879867553711","1.867879867553711"
"65","1.8600339889526367","1.8600339889526367","1.8600339889526367"
"66","1.8672137260437012","1.8672137260437012","1.8672137260437012"
"67","1.859642505645752","1.859642505645752","1.859642505645752"
"68","1.8525372743606567","1.8525372743606567","1.8525372743606567"
"69","1.8448474407196045","1.8448474407196045","1.8448474407196045"
"70","1.852941632270813","1.852941632270813","1.852941632270813"
"71","1.8519437313079834","1.8519437313079834","1.8519437313079834"
