"Step","reversed_addition_medium_encoder_0 - train_loss","reversed_addition_medium_encoder_0 - train_loss__MIN","reversed_addition_medium_encoder_0 - train_loss__MAX"
"1","2.7645187377929688","2.7645187377929688","2.7645187377929688"
"2","2.7002487182617188","2.7002487182617188","2.7002487182617188"
"3","2.6272220611572266","2.6272220611572266","2.6272220611572266"
"4","2.564663887023926","2.564663887023926","2.564663887023926"
"5","2.484966278076172","2.484966278076172","2.484966278076172"
"6","2.407801628112793","2.407801628112793","2.407801628112793"
"7","2.3338441848754883","2.3338441848754883","2.3338441848754883"
"8","2.2628421783447266","2.2628421783447266","2.2628421783447266"
"9","2.2402493953704834","2.2402493953704834","2.2402493953704834"
"10","2.215132474899292","2.215132474899292","2.215132474899292"
"11","2.1992392539978027","2.1992392539978027","2.1992392539978027"
"12","2.167149782180786","2.167149782180786","2.167149782180786"
"13","2.170647621154785","2.170647621154785","2.170647621154785"
"14","2.1375527381896973","2.1375527381896973","2.1375527381896973"
"15","2.1216812133789062","2.1216812133789062","2.1216812133789062"
"16","2.11379337310791","2.11379337310791","2.11379337310791"
"17","2.129131555557251","2.129131555557251","2.129131555557251"
"18","2.105579376220703","2.105579376220703","2.105579376220703"
"19","2.085470676422119","2.085470676422119","2.085470676422119"
"20","2.082364797592163","2.082364797592163","2.082364797592163"
"21","2.0985400676727295","2.0985400676727295","2.0985400676727295"
"22","2.1034984588623047","2.1034984588623047","2.1034984588623047"
"23","2.1125264167785645","2.1125264167785645","2.1125264167785645"
"24","2.0947563648223877","2.0947563648223877","2.0947563648223877"
"25","2.046903133392334","2.046903133392334","2.046903133392334"
"26","2.0890867710113525","2.0890867710113525","2.0890867710113525"
"27","2.069304943084717","2.069304943084717","2.069304943084717"
"28","2.0828518867492676","2.0828518867492676","2.0828518867492676"
"29","2.0314414501190186","2.0314414501190186","2.0314414501190186"
"30","2.046886920928955","2.046886920928955","2.046886920928955"
"31","2.042283058166504","2.042283058166504","2.042283058166504"
"32","2.0099050998687744","2.0099050998687744","2.0099050998687744"
"33","2.023801565170288","2.023801565170288","2.023801565170288"
"34","2.0165562629699707","2.0165562629699707","2.0165562629699707"
"35","2.1744534969329834","2.1744534969329834","2.1744534969329834"
"36","2.2218871116638184","2.2218871116638184","2.2218871116638184"
"37","2.269652843475342","2.269652843475342","2.269652843475342"
"38","2.2053558826446533","2.2053558826446533","2.2053558826446533"
"39","2.1016764640808105","2.1016764640808105","2.1016764640808105"
"40","2.056536912918091","2.056536912918091","2.056536912918091"
"41","2.0522375106811523","2.0522375106811523","2.0522375106811523"
"42","2.0630435943603516","2.0630435943603516","2.0630435943603516"
"43","2.0798373222351074","2.0798373222351074","2.0798373222351074"
"44","2.045285940170288","2.045285940170288","2.045285940170288"
"45","2.0845937728881836","2.0845937728881836","2.0845937728881836"
"46","2.1089890003204346","2.1089890003204346","2.1089890003204346"
"47","2.1173512935638428","2.1173512935638428","2.1173512935638428"
"48","1.997745394706726","1.997745394706726","1.997745394706726"
"49","2.0596680641174316","2.0596680641174316","2.0596680641174316"
"50","1.9841437339782715","1.9841437339782715","1.9841437339782715"
"51","2.0348684787750244","2.0348684787750244","2.0348684787750244"
"52","1.9939340353012085","1.9939340353012085","1.9939340353012085"
"53","2.0246376991271973","2.0246376991271973","2.0246376991271973"
"54","2.01336932182312","2.01336932182312","2.01336932182312"
"55","2.0106823444366455","2.0106823444366455","2.0106823444366455"
"56","1.9727809429168701","1.9727809429168701","1.9727809429168701"
"57","1.975878357887268","1.975878357887268","1.975878357887268"
"58","1.9761868715286255","1.9761868715286255","1.9761868715286255"
"59","1.9816927909851074","1.9816927909851074","1.9816927909851074"
"60","1.9571141004562378","1.9571141004562378","1.9571141004562378"
"61","1.9566082954406738","1.9566082954406738","1.9566082954406738"
"62","1.9337279796600342","1.9337279796600342","1.9337279796600342"
"63","1.926003098487854","1.926003098487854","1.926003098487854"
"64","1.9007833003997803","1.9007833003997803","1.9007833003997803"
"65","1.8827286958694458","1.8827286958694458","1.8827286958694458"
"66","1.8988723754882812","1.8988723754882812","1.8988723754882812"
"67","1.8605259656906128","1.8605259656906128","1.8605259656906128"
"68","1.8801909685134888","1.8801909685134888","1.8801909685134888"
"69","1.8565999269485474","1.8565999269485474","1.8565999269485474"
"70","1.8749014139175415","1.8749014139175415","1.8749014139175415"
"71","1.9008748531341553","1.9008748531341553","1.9008748531341553"
"72","1.9200714826583862","1.9200714826583862","1.9200714826583862"
"73","1.8464676141738892","1.8464676141738892","1.8464676141738892"
"74","1.9259040355682373","1.9259040355682373","1.9259040355682373"
"75","1.9359670877456665","1.9359670877456665","1.9359670877456665"
"76","1.93767511844635","1.93767511844635","1.93767511844635"
"77","1.8558191061019897","1.8558191061019897","1.8558191061019897"
"78","1.9151158332824707","1.9151158332824707","1.9151158332824707"
"79","1.9652305841445923","1.9652305841445923","1.9652305841445923"
"80","1.8646126985549927","1.8646126985549927","1.8646126985549927"
"81","1.8909975290298462","1.8909975290298462","1.8909975290298462"
"82","1.8756744861602783","1.8756744861602783","1.8756744861602783"
"83","1.8798400163650513","1.8798400163650513","1.8798400163650513"
"84","1.8684180974960327","1.8684180974960327","1.8684180974960327"
"85","1.8728057146072388","1.8728057146072388","1.8728057146072388"
"86","1.876507043838501","1.876507043838501","1.876507043838501"
"87","1.8361663818359375","1.8361663818359375","1.8361663818359375"
"88","1.811478614807129","1.811478614807129","1.811478614807129"
"89","1.8064781427383423","1.8064781427383423","1.8064781427383423"
"90","1.7834601402282715","1.7834601402282715","1.7834601402282715"
"91","1.8043369054794312","1.8043369054794312","1.8043369054794312"
"92","1.7764918804168701","1.7764918804168701","1.7764918804168701"
"93","1.7716422080993652","1.7716422080993652","1.7716422080993652"
"94","1.8737648725509644","1.8737648725509644","1.8737648725509644"
"95","1.8435977697372437","1.8435977697372437","1.8435977697372437"
"96","1.7832224369049072","1.7832224369049072","1.7832224369049072"
"97","1.7773367166519165","1.7773367166519165","1.7773367166519165"
"98","1.7784123420715332","1.7784123420715332","1.7784123420715332"
"99","1.7484550476074219","1.7484550476074219","1.7484550476074219"
"100","1.8136405944824219","1.8136405944824219","1.8136405944824219"
"101","1.74568772315979","1.74568772315979","1.74568772315979"
"102","1.807355284690857","1.807355284690857","1.807355284690857"
"103","1.774467945098877","1.774467945098877","1.774467945098877"
"104","1.7785640954971313","1.7785640954971313","1.7785640954971313"
"105","1.721889615058899","1.721889615058899","1.721889615058899"
"106","1.78359854221344","1.78359854221344","1.78359854221344"
"107","1.7149466276168823","1.7149466276168823","1.7149466276168823"
"108","1.7050089836120605","1.7050089836120605","1.7050089836120605"
"109","1.7090362310409546","1.7090362310409546","1.7090362310409546"
"110","1.6896182298660278","1.6896182298660278","1.6896182298660278"
"111","1.6885737180709839","1.6885737180709839","1.6885737180709839"
"112","1.702553153038025","1.702553153038025","1.702553153038025"
"113","1.6676554679870605","1.6676554679870605","1.6676554679870605"
"114","1.6736501455307007","1.6736501455307007","1.6736501455307007"
"115","1.665016770362854","1.665016770362854","1.665016770362854"
"116","1.6517517566680908","1.6517517566680908","1.6517517566680908"
"117","1.6404491662979126","1.6404491662979126","1.6404491662979126"
"118","1.6428934335708618","1.6428934335708618","1.6428934335708618"
"119","1.6339303255081177","1.6339303255081177","1.6339303255081177"
"120","1.6249483823776245","1.6249483823776245","1.6249483823776245"
"121","1.6311185359954834","1.6311185359954834","1.6311185359954834"
"122","1.6018385887145996","1.6018385887145996","1.6018385887145996"
"123","1.6163991689682007","1.6163991689682007","1.6163991689682007"
"124","1.5892653465270996","1.5892653465270996","1.5892653465270996"
"125","1.5908024311065674","1.5908024311065674","1.5908024311065674"
"126","1.6039626598358154","1.6039626598358154","1.6039626598358154"
"127","1.6000384092330933","1.6000384092330933","1.6000384092330933"
"128","1.6064029932022095","1.6064029932022095","1.6064029932022095"
"129","1.5831390619277954","1.5831390619277954","1.5831390619277954"
"130","1.5661087036132812","1.5661087036132812","1.5661087036132812"
"131","1.5644224882125854","1.5644224882125854","1.5644224882125854"
"132","1.5607976913452148","1.5607976913452148","1.5607976913452148"
"133","1.5670223236083984","1.5670223236083984","1.5670223236083984"
"134","1.5727397203445435","1.5727397203445435","1.5727397203445435"
"135","1.5654575824737549","1.5654575824737549","1.5654575824737549"
"136","1.570241093635559","1.570241093635559","1.570241093635559"
"137","1.5654575824737549","1.5654575824737549","1.5654575824737549"
"138","1.540041208267212","1.540041208267212","1.540041208267212"
"139","1.5700114965438843","1.5700114965438843","1.5700114965438843"
"140","1.558552861213684","1.558552861213684","1.558552861213684"
"141","1.5402072668075562","1.5402072668075562","1.5402072668075562"
"142","1.5499988794326782","1.5499988794326782","1.5499988794326782"
"143","1.5516409873962402","1.5516409873962402","1.5516409873962402"
"144","1.550737977027893","1.550737977027893","1.550737977027893"
"145","1.5359396934509277","1.5359396934509277","1.5359396934509277"
"146","1.5613844394683838","1.5613844394683838","1.5613844394683838"
"147","1.5431172847747803","1.5431172847747803","1.5431172847747803"
"148","1.5599390268325806","1.5599390268325806","1.5599390268325806"
"149","1.5260183811187744","1.5260183811187744","1.5260183811187744"
"150","1.5311108827590942","1.5311108827590942","1.5311108827590942"
"151","1.549206256866455","1.549206256866455","1.549206256866455"
"152","1.5245466232299805","1.5245466232299805","1.5245466232299805"
"153","1.5348658561706543","1.5348658561706543","1.5348658561706543"
"154","1.5398688316345215","1.5398688316345215","1.5398688316345215"
"155","1.5460591316223145","1.5460591316223145","1.5460591316223145"
"156","1.5387904644012451","1.5387904644012451","1.5387904644012451"
"157","1.5428823232650757","1.5428823232650757","1.5428823232650757"
"158","1.5343211889266968","1.5343211889266968","1.5343211889266968"
"159","1.5401207208633423","1.5401207208633423","1.5401207208633423"
"160","1.513708472251892","1.513708472251892","1.513708472251892"
"161","1.5503610372543335","1.5503610372543335","1.5503610372543335"
"162","1.52349853515625","1.52349853515625","1.52349853515625"
"163","1.5479589700698853","1.5479589700698853","1.5479589700698853"
"164","1.5448211431503296","1.5448211431503296","1.5448211431503296"
"165","1.5327457189559937","1.5327457189559937","1.5327457189559937"
"166","1.5359430313110352","1.5359430313110352","1.5359430313110352"
"167","1.532259225845337","1.532259225845337","1.532259225845337"
"168","1.540980577468872","1.540980577468872","1.540980577468872"
"169","1.5387637615203857","1.5387637615203857","1.5387637615203857"
"170","1.5419890880584717","1.5419890880584717","1.5419890880584717"
"171","1.5500718355178833","1.5500718355178833","1.5500718355178833"
"172","1.5466614961624146","1.5466614961624146","1.5466614961624146"
"173","1.554997444152832","1.554997444152832","1.554997444152832"
"174","1.5084095001220703","1.5084095001220703","1.5084095001220703"
"175","1.5511102676391602","1.5511102676391602","1.5511102676391602"
"176","1.5401440858840942","1.5401440858840942","1.5401440858840942"
"177","1.5213357210159302","1.5213357210159302","1.5213357210159302"
"178","1.531507968902588","1.531507968902588","1.531507968902588"
"179","1.5433154106140137","1.5433154106140137","1.5433154106140137"
"180","1.5481425523757935","1.5481425523757935","1.5481425523757935"
"181","1.5384927988052368","1.5384927988052368","1.5384927988052368"
"182","1.5272470712661743","1.5272470712661743","1.5272470712661743"
"183","1.5282104015350342","1.5282104015350342","1.5282104015350342"
"184","1.5360074043273926","1.5360074043273926","1.5360074043273926"
"185","1.5202324390411377","1.5202324390411377","1.5202324390411377"
"186","1.5317550897598267","1.5317550897598267","1.5317550897598267"
"187","1.5355901718139648","1.5355901718139648","1.5355901718139648"
"188","1.517303228378296","1.517303228378296","1.517303228378296"
"189","1.516433596611023","1.516433596611023","1.516433596611023"
"190","1.5178823471069336","1.5178823471069336","1.5178823471069336"
"191","1.5097062587738037","1.5097062587738037","1.5097062587738037"
"192","1.511171579360962","1.511171579360962","1.511171579360962"
"193","1.5212773084640503","1.5212773084640503","1.5212773084640503"
"194","1.5260319709777832","1.5260319709777832","1.5260319709777832"
"195","1.5155287981033325","1.5155287981033325","1.5155287981033325"
"196","1.520938515663147","1.520938515663147","1.520938515663147"
"197","1.5241708755493164","1.5241708755493164","1.5241708755493164"
"198","1.50537109375","1.50537109375","1.50537109375"
"199","1.5162533521652222","1.5162533521652222","1.5162533521652222"
"200","1.5339950323104858","1.5339950323104858","1.5339950323104858"
"201","1.5258690118789673","1.5258690118789673","1.5258690118789673"
"202","1.5161104202270508","1.5161104202270508","1.5161104202270508"
"203","1.506327509880066","1.506327509880066","1.506327509880066"
"204","1.4957786798477173","1.4957786798477173","1.4957786798477173"
"205","1.498260259628296","1.498260259628296","1.498260259628296"
"206","1.5021660327911377","1.5021660327911377","1.5021660327911377"
"207","1.5126382112503052","1.5126382112503052","1.5126382112503052"
"208","1.5170016288757324","1.5170016288757324","1.5170016288757324"
"209","1.520638108253479","1.520638108253479","1.520638108253479"
"210","1.4739280939102173","1.4739280939102173","1.4739280939102173"
"211","1.5104122161865234","1.5104122161865234","1.5104122161865234"
"212","1.5150614976882935","1.5150614976882935","1.5150614976882935"
"213","1.4733134508132935","1.4733134508132935","1.4733134508132935"
"214","1.5075191259384155","1.5075191259384155","1.5075191259384155"
"215","1.4937827587127686","1.4937827587127686","1.4937827587127686"
"216","1.4986329078674316","1.4986329078674316","1.4986329078674316"
"217","1.4939535856246948","1.4939535856246948","1.4939535856246948"
"218","1.5017236471176147","1.5017236471176147","1.5017236471176147"
"219","1.4759763479232788","1.4759763479232788","1.4759763479232788"
"220","1.4983782768249512","1.4983782768249512","1.4983782768249512"
"221","1.511366605758667","1.511366605758667","1.511366605758667"
"222","1.4821780920028687","1.4821780920028687","1.4821780920028687"
"223","1.4980664253234863","1.4980664253234863","1.4980664253234863"
"224","1.4852133989334106","1.4852133989334106","1.4852133989334106"
"225","1.5062934160232544","1.5062934160232544","1.5062934160232544"
"226","1.453787088394165","1.453787088394165","1.453787088394165"
"227","1.5217723846435547","1.5217723846435547","1.5217723846435547"
"228","1.4981292486190796","1.4981292486190796","1.4981292486190796"
"229","1.4920265674591064","1.4920265674591064","1.4920265674591064"
"230","1.4889296293258667","1.4889296293258667","1.4889296293258667"
"231","1.4943382740020752","1.4943382740020752","1.4943382740020752"
"232","1.4896900653839111","1.4896900653839111","1.4896900653839111"
