"Step","plain_addition_small_encoder_0 - train_loss","plain_addition_small_encoder_0 - train_loss__MIN","plain_addition_small_encoder_0 - train_loss__MAX"
"1","2.7567195892333984","2.7567195892333984","2.7567195892333984"
"2","2.743253707885742","2.743253707885742","2.743253707885742"
"3","2.722524642944336","2.722524642944336","2.722524642944336"
"4","2.687358856201172","2.687358856201172","2.687358856201172"
"5","2.645702362060547","2.645702362060547","2.645702362060547"
"6","2.6070728302001953","2.6070728302001953","2.6070728302001953"
"7","2.5725555419921875","2.5725555419921875","2.5725555419921875"
"8","2.530385971069336","2.530385971069336","2.530385971069336"
"9","2.501986503601074","2.501986503601074","2.501986503601074"
"10","2.4588851928710938","2.4588851928710938","2.4588851928710938"
"11","2.4237442016601562","2.4237442016601562","2.4237442016601562"
"12","2.389179229736328","2.389179229736328","2.389179229736328"
"13","2.3496341705322266","2.3496341705322266","2.3496341705322266"
"14","2.333505630493164","2.333505630493164","2.333505630493164"
"15","2.2945785522460938","2.2945785522460938","2.2945785522460938"
"16","2.2777233123779297","2.2777233123779297","2.2777233123779297"
"17","2.2536301612854004","2.2536301612854004","2.2536301612854004"
"18","2.2308449745178223","2.2308449745178223","2.2308449745178223"
"19","2.2291932106018066","2.2291932106018066","2.2291932106018066"
"20","2.212535858154297","2.212535858154297","2.212535858154297"
"21","2.213754177093506","2.213754177093506","2.213754177093506"
"22","2.201380729675293","2.201380729675293","2.201380729675293"
"23","2.1899638175964355","2.1899638175964355","2.1899638175964355"
"24","2.182159900665283","2.182159900665283","2.182159900665283"
"25","2.1787095069885254","2.1787095069885254","2.1787095069885254"
"26","2.18229603767395","2.18229603767395","2.18229603767395"
"27","2.170058488845825","2.170058488845825","2.170058488845825"
"28","2.1703290939331055","2.1703290939331055","2.1703290939331055"
"29","2.1633946895599365","2.1633946895599365","2.1633946895599365"
"30","2.1610732078552246","2.1610732078552246","2.1610732078552246"
"31","2.1635043621063232","2.1635043621063232","2.1635043621063232"
"32","2.1387174129486084","2.1387174129486084","2.1387174129486084"
"33","2.130737543106079","2.130737543106079","2.130737543106079"
"34","2.1330580711364746","2.1330580711364746","2.1330580711364746"
"35","2.1205556392669678","2.1205556392669678","2.1205556392669678"
"36","2.1147048473358154","2.1147048473358154","2.1147048473358154"
"37","2.1230053901672363","2.1230053901672363","2.1230053901672363"
