"Step","counting_extra_small_encoder_nope_perm_invariant_0 - accuracy","counting_extra_small_encoder_nope_perm_invariant_0 - accuracy__MIN","counting_extra_small_encoder_nope_perm_invariant_0 - accuracy__MAX"
"100","0.32509441137313844","0.32509441137313844","0.32509441137313844"
"200","0.515608743429184","0.515608743429184","0.515608743429184"
"300","0.6389876472949981","0.6389876472949981","0.6389876472949981"
"400","0.6863802248239517","0.6863802248239517","0.6863802248239517"
"500","0.6830664247274398","0.6830664247274398","0.6830664247274398"
"600","0.7115722858905792","0.7115722858905792","0.7115722858905792"
"700","0.7377376508712769","0.7377376508712769","0.7377376508712769"
"800","0.7425032758712768","0.7425032758712768","0.7425032758712768"
"900","0.7748470234870911","0.7748470234870911","0.7748470234870911"
"1000","0.7861686408519745","0.7861686408519745","0.7861686408519745"
"1100","0.7753190296888351","0.7753190296888351","0.7753190296888351"
"1200","0.7993359577655792","0.7993359577655792","0.7993359577655792"
"1300","0.8044433772563935","0.8044433772563935","0.8044433772563935"
"1400","0.8129069203138352","0.8129069203138352","0.8129069203138352"
"1500","0.8170410346984863","0.8170410346984863","0.8170410346984863"
"1600","0.8295573139190674","0.8295573139190674","0.8295573139190674"
"1700","0.8291048371791839","0.8291048371791839","0.8291048371791839"
"1800","0.8268685102462768","0.8268685102462768","0.8268685102462768"
"1900","0.8390429884195327","0.8390429884195327","0.8390429884195327"
"2000","0.8521419447660447","0.8521419447660447","0.8521419447660447"
"2100","0.8532942914962769","0.8532942914962769","0.8532942914962769"
"2200","0.8553125196695328","0.8553125196695328","0.8553125196695328"
"2300","0.8610221534967423","0.8610221534967423","0.8610221534967423"
"2400","0.8591178596019745","0.8591178596019745","0.8591178596019745"
"2500","0.8663411659002304","0.8663411659002304","0.8663411659002304"
"2600","0.8855371290445327","0.8855371290445327","0.8855371290445327"
"2700","0.885817077755928","0.885817077755928","0.885817077755928"
"2800","0.8902767115831375","0.8902767115831375","0.8902767115831375"
"2900","0.905231141448021","0.905231141448021","0.905231141448021"
"3000","0.9133268445730209","0.9133268445730209","0.9133268445730209"
"3100","0.9252311426401139","0.9252311426401139","0.9252311426401139"
"3200","0.942727884054184","0.942727884054184","0.942727884054184"
"3300","0.9477376490831375","0.9477376490831375","0.9477376490831375"
"3400","0.9505859559774399","0.9505859559774399","0.9505859559774399"
"3500","0.9523763251304627","0.9523763251304627","0.9523763251304627"
"3600","0.9593782728910446","0.9593782728910446","0.9593782728910446"
"3700","0.962991555929184","0.962991555929184","0.962991555929184"
"3800","0.9610905128717423","0.9610905128717423","0.9610905128717423"
"3900","0.964010437130928","0.964010437130928","0.964010437130928"
"4000","0.9650195509195327","0.9650195509195327","0.9650195509195327"
"4100","0.9661621296405792","0.9661621296405792","0.9661621296405792"
"4200","0.9699381685256958","0.9699381685256958","0.9699381685256958"
"4300","0.9693489778041839","0.9693489778041839","0.9693489778041839"
"4400","0.9726009303331375","0.9726009303331375","0.9726009303331375"
