"Step","counting_extra_small_encoder_nope_perm_invariant_0 - accuracy","counting_extra_small_encoder_nope_perm_invariant_0 - accuracy__MIN","counting_extra_small_encoder_nope_perm_invariant_0 - accuracy__MAX"
"4500","0.9723144751787186","0.9723144751787186","0.9723144751787186"
"4600","0.9734017157554626","0.9734017157554626","0.9734017157554626"
"4700","0.9762207275629043","0.9762207275629043","0.9762207275629043"
"4800","0.9749935102462769","0.9749935102462769","0.9749935102462769"
"4900","0.9770215058326721","0.9770215058326721","0.9770215058326721"
"5000","0.9751530140638351","0.9751530140638351","0.9751530140638351"
"5100","0.9779362189769745","0.9779362189769745","0.9779362189769745"
"5200","0.9778190320730209","0.9778190320730209","0.9778190320730209"
"5300","0.9768620002269744","0.9768620002269744","0.9768620002269744"
"5400","0.9791862177848816","0.9791862177848816","0.9791862177848816"
"5500","0.9786816608905792","0.9786816608905792","0.9786816608905792"
"5600","0.9798958545923233","0.9798958545923233","0.9798958545923233"
"5700","0.9798730689287186","0.9798730689287186","0.9798730689287186"
"5800","0.9805859613418579","0.9805859613418579","0.9805859613418579"
"5900","0.9804589992761612","0.9804589992761612","0.9804589992761612"
"6000","0.9786718952655792","0.9786718952655792","0.9786718952655792"
"6100","0.980550149679184","0.980550149679184","0.980550149679184"
"6200","0.9791373896598816","0.9791373896598816","0.9791373896598816"
"6300","0.9837402552366257","0.9837402552366257","0.9837402552366257"
"6400","0.9805631721019745","0.9805631721019745","0.9805631721019745"
"6500","0.982405618429184","0.982405618429184","0.982405618429184"
"6600","0.9808659052848816","0.9808659052848816","0.9808659052848816"
"6700","0.982600929737091","0.982600929737091","0.982600929737091"
"6800","0.9825130414962768","0.9825130414962768","0.9825130414962768"
"6900","0.9819010609388351","0.9819010609388351","0.9819010609388351"
"7000","0.9826041847467423","0.9826041847467423","0.9826041847467423"
"7100","0.9823860847949981","0.9823860847949981","0.9823860847949981"
"7200","0.983212907910347","0.983212907910347","0.983212907910347"
"7300","0.9831250196695328","0.9831250196695328","0.9831250196695328"
"7400","0.9846679896116257","0.9846679896116257","0.9846679896116257"
"7500","0.9837369966506958","0.9837369966506958","0.9837369966506958"
"7600","0.983795593380928","0.983795593380928","0.983795593380928"
"7700","0.984355491399765","0.984355491399765","0.984355491399765"
"7800","0.9840755397081375","0.9840755397081375","0.9840755397081375"
"7900","0.9850325721502304","0.9850325721502304","0.9850325721502304"
"8000","0.9844824397563934","0.9844824397563934","0.9844824397563934"
"8100","0.9853906458616257","0.9853906458616257","0.9853906458616257"
"8200","0.9856868678331375","0.9856868678331375","0.9856868678331375"
"8300","0.9851172071695328","0.9851172071695328","0.9851172071695328"
"8400","0.9849642127752304","0.9849642127752304","0.9849642127752304"
"8500","0.9859244972467422","0.9859244972467422","0.9859244972467422"
"8600","0.9858170771598815","0.9858170771598815","0.9858170771598815"
"8700","0.986344421505928","0.986344421505928","0.986344421505928"
"8800","0.9861425983905793","0.9861425983905793","0.9861425983905793"
"8900","0.9855989789962769","0.9855989789962769","0.9855989789962769"
"9000","0.9862955957651138","0.9862955957651138","0.9862955957651138"
"9100","0.9852669489383697","0.9852669489383697","0.9852669489383697"
"9200","0.986507179737091","0.986507179737091","0.986507179737091"
"9300","0.9873958534002304","0.9873958534002304","0.9873958534002304"
"9400","0.9875521045923233","0.9875521045923233","0.9875521045923233"
"9500","0.9871224164962769","0.9871224164962769","0.9871224164962769"
"9600","0.987877624630928","0.987877624630928","0.987877624630928"
"9700","0.9872721540927887","0.9872721540927887","0.9872721540927887"
"9800","0.9868457233905792","0.9868457233905792","0.9868457233905792"
"9900","0.9880566602945328","0.9880566602945328","0.9880566602945328"
"10000","0.9881998866796493","0.9881998866796493","0.9881998866796493"
