"Step","plain_addition_small_decoder_0 - train_loss","plain_addition_small_decoder_0 - train_loss__MIN","plain_addition_small_decoder_0 - train_loss__MAX"
"1","2.7539196014404297","2.7539196014404297","2.7539196014404297"
"2","2.7414608001708984","2.7414608001708984","2.7414608001708984"
"3","2.7198963165283203","2.7198963165283203","2.7198963165283203"
"4","2.6846885681152344","2.6846885681152344","2.6846885681152344"
"5","2.643674850463867","2.643674850463867","2.643674850463867"
"6","2.6065521240234375","2.6065521240234375","2.6065521240234375"
"7","2.5733203887939453","2.5733203887939453","2.5733203887939453"
"8","2.5334644317626953","2.5334644317626953","2.5334644317626953"
"9","2.5067176818847656","2.5067176818847656","2.5067176818847656"
"10","2.4653520584106445","2.4653520584106445","2.4653520584106445"
"11","2.4310035705566406","2.4310035705566406","2.4310035705566406"
"12","2.3971052169799805","2.3971052169799805","2.3971052169799805"
"13","2.357564926147461","2.357564926147461","2.357564926147461"
"14","2.3418359756469727","2.3418359756469727","2.3418359756469727"
"15","2.3034510612487793","2.3034510612487793","2.3034510612487793"
"16","2.2847113609313965","2.2847113609313965","2.2847113609313965"
"17","2.261017322540283","2.261017322540283","2.261017322540283"
"18","2.2376270294189453","2.2376270294189453","2.2376270294189453"
"19","2.2362847328186035","2.2362847328186035","2.2362847328186035"
"20","2.2213282585144043","2.2213282585144043","2.2213282585144043"
"21","2.2227120399475098","2.2227120399475098","2.2227120399475098"
"22","2.209423542022705","2.209423542022705","2.209423542022705"
"23","2.1943435668945312","2.1943435668945312","2.1943435668945312"
"24","2.1862282752990723","2.1862282752990723","2.1862282752990723"
"25","2.1817848682403564","2.1817848682403564","2.1817848682403564"
"26","2.1884310245513916","2.1884310245513916","2.1884310245513916"
"27","2.179119348526001","2.179119348526001","2.179119348526001"
"28","2.1709752082824707","2.1709752082824707","2.1709752082824707"
"29","2.164130926132202","2.164130926132202","2.164130926132202"
"30","2.167759895324707","2.167759895324707","2.167759895324707"
"31","2.157909870147705","2.157909870147705","2.157909870147705"
