"Step","counting_extra_small_encoder_perm_variant_0 - loss","counting_extra_small_encoder_perm_variant_0 - loss__MIN","counting_extra_small_encoder_perm_variant_0 - loss__MAX"
"100","2.7575122928619384","2.7575122928619384","2.7575122928619384"
"200","1.9043664371967315","1.9043664371967315","1.9043664371967315"
"300","1.5895667719841002","1.5895667719841002","1.5895667719841002"
"400","1.3021634387969971","1.3021634387969971","1.3021634387969971"
"500","1.055561781525612","1.055561781525612","1.055561781525612"
"600","0.8586037695407868","0.8586037695407868","0.8586037695407868"
"700","0.6958732831478119","0.6958732831478119","0.6958732831478119"
"800","0.5667365536093711","0.5667365536093711","0.5667365536093711"
"900","0.46218286782503126","0.46218286782503126","0.46218286782503126"
"1000","0.3718121671676636","0.3718121671676636","0.3718121671676636"
"1100","0.38520066037774087","0.38520066037774087","0.38520066037774087"
"1200","0.24892648309469223","0.24892648309469223","0.24892648309469223"
"1300","0.31347702980041503","0.31347702980041503","0.31347702980041503"
"1400","0.193344639390707","0.193344639390707","0.193344639390707"
"1500","0.1689986976981163","0.1689986976981163","0.1689986976981163"
"1600","0.19516287915408612","0.19516287915408612","0.19516287915408612"
"1700","0.11541487134993077","0.11541487134993077","0.11541487134993077"
"1800","0.29571191072463987","0.29571191072463987","0.29571191072463987"
"1900","0.095981310531497","0.095981310531497","0.095981310531497"
"2000","0.1273641461133957","0.1273641461133957","0.1273641461133957"
"2100","0.1048946775123477","0.1048946775123477","0.1048946775123477"
"2200","0.08324196960777044","0.08324196960777044","0.08324196960777044"
"2300","0.09864255577325821","0.09864255577325821","0.09864255577325821"
"2400","0.09315652765333653","0.09315652765333653","0.09315652765333653"
"2500","0.053367216773331165","0.053367216773331165","0.053367216773331165"
"2600","0.1241858683153987","0.1241858683153987","0.1241858683153987"
"2700","0.045861390493810175","0.045861390493810175","0.045861390493810175"
"2800","0.042559628821909425","0.042559628821909425","0.042559628821909425"
"2900","0.07917685505002738","0.07917685505002738","0.07917685505002738"
"3000","0.04057669540867209","0.04057669540867209","0.04057669540867209"
"3100","0.039782934598624704","0.039782934598624704","0.039782934598624704"
"3200","0.039783318806439635","0.039783318806439635","0.039783318806439635"
"3300","0.07500232476741076","0.07500232476741076","0.07500232476741076"
