"Step","shakespeare_small_decoder_no_wpe_0 - val_loss","shakespeare_small_decoder_no_wpe_0 - val_loss__MIN","shakespeare_small_decoder_no_wpe_0 - val_loss__MAX"
"100","2.537327811717987","2.537327811717987","2.537327811717987"
"200","2.3822520542144776","2.3822520542144776","2.3822520542144776"
"300","2.3051043343544007","2.3051043343544007","2.3051043343544007"
"400","2.2336824798583983","2.2336824798583983","2.2336824798583983"
"500","2.1637141919136047","2.1637141919136047","2.1637141919136047"
"600","2.104697911739349","2.104697911739349","2.104697911739349"
"700","2.055885818004608","2.055885818004608","2.055885818004608"
"800","2.0221481990814207","2.0221481990814207","2.0221481990814207"
"900","1.97733700633049","1.97733700633049","1.97733700633049"
"1000","1.9451652359962464","1.9451652359962464","1.9451652359962464"
"1100","1.9268962466716766","1.9268962466716766","1.9268962466716766"
"1200","1.9090088272094727","1.9090088272094727","1.9090088272094727"
"1300","1.8916849327087402","1.8916849327087402","1.8916849327087402"
"1400","1.8638738644123078","1.8638738644123078","1.8638738644123078"
"1500","1.8461306536197661","1.8461306536197661","1.8461306536197661"
"1600","1.8454031503200532","1.8454031503200532","1.8454031503200532"
"1700","1.8320035791397096","1.8320035791397096","1.8320035791397096"
"1800","1.823002405166626","1.823002405166626","1.823002405166626"
"1900","1.8091753423213959","1.8091753423213959","1.8091753423213959"
"2000","1.7916614210605621","1.7916614210605621","1.7916614210605621"
"2100","1.793451578617096","1.793451578617096","1.793451578617096"
"2200","1.7936223042011261","1.7936223042011261","1.7936223042011261"
"2300","1.7793307852745057","1.7793307852745057","1.7793307852745057"
"2400","1.7843568110466004","1.7843568110466004","1.7843568110466004"
"2500","1.7532058489322662","1.7532058489322662","1.7532058489322662"
"2600","1.7641046679019927","1.7641046679019927","1.7641046679019927"
"2700","1.750102665424347","1.750102665424347","1.750102665424347"
"2800","1.7405214095115662","1.7405214095115662","1.7405214095115662"
"2900","1.748755829334259","1.748755829334259","1.748755829334259"
"3000","1.7413530349731445","1.7413530349731445","1.7413530349731445"
"3100","1.7474772012233735","1.7474772012233735","1.7474772012233735"
"3200","1.7404215717315674","1.7404215717315674","1.7404215717315674"
"3300","1.721888164281845","1.721888164281845","1.721888164281845"
"3400","1.7371720945835114","1.7371720945835114","1.7371720945835114"
"3500","1.7277963197231292","1.7277963197231292","1.7277963197231292"
"3600","1.7221323204040528","1.7221323204040528","1.7221323204040528"
"3700","1.726120810508728","1.726120810508728","1.726120810508728"
"3800","1.7315900599956513","1.7315900599956513","1.7315900599956513"
"3900","1.7144401443004609","1.7144401443004609","1.7144401443004609"
"4000","1.7178944897651673","1.7178944897651673","1.7178944897651673"
"4100","1.703307421207428","1.703307421207428","1.703307421207428"
"4200","1.7100873911380767","1.7100873911380767","1.7100873911380767"
"4300","1.7022333323955536","1.7022333323955536","1.7022333323955536"
"4400","1.7083804428577423","1.7083804428577423","1.7083804428577423"
"4500","1.7024510848522185","1.7024510848522185","1.7024510848522185"
"4600","1.6965779745578766","1.6965779745578766","1.6965779745578766"
"4700","1.699454755783081","1.699454755783081","1.699454755783081"
"4800","1.7038344717025757","1.7038344717025757","1.7038344717025757"
"4900","1.7069811832904815","1.7069811832904815","1.7069811832904815"
"5000","1.7035806202888488","1.7035806202888488","1.7035806202888488"
"5100","1.6968932271003723","1.6968932271003723","1.6968932271003723"
"5200","1.696767430305481","1.696767430305481","1.696767430305481"
"5300","1.6992600393295287","1.6992600393295287","1.6992600393295287"
"5400","1.709017070531845","1.709017070531845","1.709017070531845"
"5500","1.6954873812198639","1.6954873812198639","1.6954873812198639"
"5600","1.69128387093544","1.69128387093544","1.69128387093544"
"5700","1.6959096503257751","1.6959096503257751","1.6959096503257751"
"5800","1.7022428274154664","1.7022428274154664","1.7022428274154664"
"5900","1.6978126609325408","1.6978126609325408","1.6978126609325408"
"6000","1.6992244279384614","1.6992244279384614","1.6992244279384614"
"6100","1.6937586879730224","1.6937586879730224","1.6937586879730224"
"6200","1.6917087888717652","1.6917087888717652","1.6917087888717652"
"6300","1.6954708635807036","1.6954708635807036","1.6954708635807036"
"6400","1.6953438353538512","1.6953438353538512","1.6953438353538512"
"6500","1.7030430567264556","1.7030430567264556","1.7030430567264556"
"6600","1.7010444152355193","1.7010444152355193","1.7010444152355193"
