"Step","counting_extra_small_encoder_nope_perm_variant_0 - accuracy","counting_extra_small_encoder_nope_perm_variant_0 - accuracy__MIN","counting_extra_small_encoder_nope_perm_variant_0 - accuracy__MAX"
"100","0.25773438408970833","0.25773438408970833","0.25773438408970833"
"200","0.2715852980315685","0.2715852980315685","0.2715852980315685"
"300","0.28574545234441756","0.28574545234441756","0.28574545234441756"
"400","0.3008431088924408","0.3008431088924408","0.3008431088924408"
"500","0.31183920204639437","0.31183920204639437","0.31183920204639437"
"600","0.327194020152092","0.327194020152092","0.327194020152092"
"700","0.35139974862337114","0.35139974862337114","0.35139974862337114"
"800","0.3621321702003479","0.3621321702003479","0.3621321702003479"
"900","0.3741406351327896","0.3741406351327896","0.3741406351327896"
"1000","0.38059571355581284","0.38059571355581284","0.38059571355581284"
"1100","0.3903971445560455","0.3903971445560455","0.3903971445560455"
"1200","0.39403321355581283","0.39403321355581283","0.39403321355581283"
"1300","0.4163476672768593","0.4163476672768593","0.4163476672768593"
"1400","0.4234700611233711","0.4234700611233711","0.4234700611233711"
"1500","0.4329687595367432","0.4329687595367432","0.4329687595367432"
"1600","0.44091798007488253","0.44091798007488253","0.44091798007488253"
"1700","0.445211598277092","0.445211598277092","0.445211598277092"
"1800","0.4600423264503479","0.4600423264503479","0.4600423264503479"
"1900","0.4645703235268593","0.4645703235268593","0.4645703235268593"
"2000","0.47340821236371994","0.47340821236371994","0.47340821236371994"
"2100","0.4657780066132545","0.4657780066132545","0.4657780066132545"
"2200","0.4775032663345337","0.4775032663345337","0.4775032663345337"
"2300","0.4933073031902313","0.4933073031902313","0.4933073031902313"
"2400","0.4853711038827896","0.4853711038827896","0.4853711038827896"
"2500","0.5007780089974403","0.5007780089974403","0.5007780089974403"
"2600","0.5057422053813935","0.5057422053813935","0.5057422053813935"
"2700","0.509563818871975","0.509563818871975","0.509563818871975"
"2800","0.5146744984388352","0.5146744984388352","0.5146744984388352"
"2900","0.5118880379199982","0.5118880379199982","0.5118880379199982"
"3000","0.5209733274579048","0.5209733274579048","0.5209733274579048"
"3100","0.5220508009195328","0.5220508009195328","0.5220508009195328"
"3200","0.5312369999289512","0.5312369999289512","0.5312369999289512"
"3300","0.5352539259195328","0.5352539259195328","0.5352539259195328"
"3400","0.5359603044390678","0.5359603044390678","0.5359603044390678"
"3500","0.5292220222949982","0.5292220222949982","0.5292220222949982"
"3600","0.5427604377269745","0.5427604377269745","0.5427604377269745"
"3700","0.5438053607940674","0.5438053607940674","0.5438053607940674"
"3800","0.5449967640638351","0.5449967640638351","0.5449967640638351"
"3900","0.5464095264673233","0.5464095264673233","0.5464095264673233"
"4000","0.5493978071212768","0.5493978071212768","0.5493978071212768"
"4100","0.552161481976509","0.552161481976509","0.552161481976509"
"4200","0.5543587428331375","0.5543587428331375","0.5543587428331375"
"4300","0.5540364807844163","0.5540364807844163","0.5540364807844163"
"4400","0.559589866399765","0.559589866399765","0.559589866399765"
"4500","0.5587988483905793","0.5587988483905793","0.5587988483905793"
"4600","0.5600716358423233","0.5600716358423233","0.5600716358423233"
"4700","0.5629655110836029","0.5629655110836029","0.5629655110836029"
"4800","0.5634114789962769","0.5634114789962769","0.5634114789962769"
"4900","0.5597135639190673","0.5597135639190673","0.5597135639190673"
"5000","0.5651692909002304","0.5651692909002304","0.5651692909002304"
"5100","0.5711491066217422","0.5711491066217422","0.5711491066217422"
"5200","0.567477235198021","0.567477235198021","0.567477235198021"
"5300","0.5625065344572068","0.5625065344572068","0.5625065344572068"
"5400","0.567561868429184","0.567561868429184","0.567561868429184"
"5500","0.5728515809774399","0.5728515809774399","0.5728515809774399"
"5600","0.5690853095054627","0.5690853095054627","0.5690853095054627"
"5700","0.5697623866796494","0.5697623866796494","0.5697623866796494"
"5800","0.5680013227462769","0.5680013227462769","0.5680013227462769"
"5900","0.5706771028041839","0.5706771028041839","0.5706771028041839"
"6000","0.5696842658519745","0.5696842658519745","0.5696842658519745"
"6100","0.5674544471502304","0.5674544471502304","0.5674544471502304"
"6200","0.5724642127752304","0.5724642127752304","0.5724642127752304"
"6300","0.5732519745826721","0.5732519745826721","0.5732519745826721"
"6400","0.5697363471984863","0.5697363471984863","0.5697363471984863"
"6500","0.5726172053813934","0.5726172053813934","0.5726172053813934"
"6600","0.571227234005928","0.571227234005928","0.571227234005928"
"6700","0.5697103071212769","0.5697103071212769","0.5697103071212769"
"6800","0.5752539265155793","0.5752539265155793","0.5752539265155793"
"6900","0.5788411659002304","0.5788411659002304","0.5788411659002304"
"7000","0.576331398487091","0.576331398487091","0.576331398487091"
"7100","0.5754004102945328","0.5754004102945328","0.5754004102945328"
"7200","0.5797949421405793","0.5797949421405793","0.5797949421405793"
"7300","0.5772168171405793","0.5772168171405793","0.5772168171405793"
"7400","0.5811946809291839","0.5811946809291839","0.5811946809291839"
"7500","0.5778906458616256","0.5778906458616256","0.5778906458616256"
"7600","0.5770996290445328","0.5770996290445328","0.5770996290445328"
"7700","0.578138039112091","0.578138039112091","0.578138039112091"
"7800","0.5786360895633698","0.5786360895633698","0.5786360895633698"
"7900","0.5818619984388351","0.5818619984388351","0.5818619984388351"
"8000","0.5807552260160446","0.5807552260160446","0.5807552260160446"
"8100","0.5809668171405792","0.5809668171405792","0.5809668171405792"
"8200","0.5849186432361603","0.5849186432361603","0.5849186432361603"
"8300","0.5805175960063934","0.5805175960063934","0.5805175960063934"
"8400","0.5849316620826721","0.5849316620826721","0.5849316620826721"
"8500","0.5776692914962769","0.5776692914962769","0.5776692914962769"
"8600","0.5835319209098816","0.5835319209098816","0.5835319209098816"
"8700","0.5825130379199982","0.5825130379199982","0.5825130379199982"
"8800","0.5855761903524399","0.5855761903524399","0.5855761903524399"
"8900","0.5846907740831375","0.5846907740831375","0.5846907740831375"
"9000","0.5889160341024399","0.5889160341024399","0.5889160341024399"
"9100","0.5834733241796494","0.5834733241796494","0.5834733241796494"
"9200","0.5866927295923233","0.5866927295923233","0.5866927295923233"
