"Step","shakespeare_medium_encoder_no_wpe_0 - val_loss","shakespeare_medium_encoder_no_wpe_0 - val_loss__MIN","shakespeare_medium_encoder_no_wpe_0 - val_loss__MAX"
"100","2.4867432570457457","2.4867432570457457","2.4867432570457457"
"200","2.428998327255249","2.428998327255249","2.428998327255249"
"300","2.4342761635780334","2.4342761635780334","2.4342761635780334"
"400","2.409675657749176","2.409675657749176","2.409675657749176"
"500","2.397596492767334","2.397596492767334","2.397596492767334"
"600","2.3908689785003663","2.3908689785003663","2.3908689785003663"
"700","2.3998528575897216","2.3998528575897216","2.3998528575897216"
"800","2.368045642375946","2.368045642375946","2.368045642375946"
"900","2.3867810916900636","2.3867810916900636","2.3867810916900636"
"1000","2.368361005783081","2.368361005783081","2.368361005783081"
"1100","2.3673518896102905","2.3673518896102905","2.3673518896102905"
"1200","2.352958381175995","2.352958381175995","2.352958381175995"
"1300","2.3483879160881043","2.3483879160881043","2.3483879160881043"
"1400","2.3677142810821534","2.3677142810821534","2.3677142810821534"
"1500","2.3747850489616393","2.3747850489616393","2.3747850489616393"
"1600","2.3758399796485903","2.3758399796485903","2.3758399796485903"
"1700","2.364811637401581","2.364811637401581","2.364811637401581"
"1800","2.359664788246155","2.359664788246155","2.359664788246155"
"1900","2.3584877753257754","2.3584877753257754","2.3584877753257754"
"2000","2.359616096019745","2.359616096019745","2.359616096019745"
"2100","2.367932631969452","2.367932631969452","2.367932631969452"
"2200","2.347701666355133","2.347701666355133","2.347701666355133"
"2300","2.3561271405220032","2.3561271405220032","2.3561271405220032"
"2400","2.347413384914398","2.347413384914398","2.347413384914398"
"2500","2.3447149562835694","2.3447149562835694","2.3447149562835694"
"2600","2.348086588382721","2.348086588382721","2.348086588382721"
"2700","2.3497991299629213","2.3497991299629213","2.3497991299629213"
"2800","2.353114924430847","2.353114924430847","2.353114924430847"
"2900","2.347953565120697","2.347953565120697","2.347953565120697"
"3000","2.351014268398285","2.351014268398285","2.351014268398285"
"3100","2.3481893491744996","2.3481893491744996","2.3481893491744996"
"3200","2.3393319439888","2.3393319439888","2.3393319439888"
"3300","2.356358962059021","2.356358962059021","2.356358962059021"
"3400","2.349133484363556","2.349133484363556","2.349133484363556"
"3500","2.3443873739242553","2.3443873739242553","2.3443873739242553"
"3600","2.3419957876205446","2.3419957876205446","2.3419957876205446"
"3700","2.3473738288879393","2.3473738288879393","2.3473738288879393"
"3800","2.3536861515045167","2.3536861515045167","2.3536861515045167"
"3900","2.353768057823181","2.353768057823181","2.353768057823181"
"4000","2.3454072856903077","2.3454072856903077","2.3454072856903077"
"4100","2.3524269104003905","2.3524269104003905","2.3524269104003905"
"4200","2.357511863708496","2.357511863708496","2.357511863708496"
