"Step","count3_small_decoder_0 - token_accuracy","count3_small_decoder_0 - token_accuracy__MIN","count3_small_decoder_0 - token_accuracy__MAX"
"100","0.05721679806709289","0.05721679806709289","0.05721679806709289"
"200","0.05819987148046493","0.05819987148046493","0.05819987148046493"
"300","0.05845377743244171","0.05845377743244171","0.05845377743244171"
"400","0.058242188841104506","0.058242188841104506","0.058242188841104506"
"500","0.058261719793081285","0.058261719793081285","0.058261719793081285"
"600","0.05914713650941849","0.05914713650941849","0.05914713650941849"
"700","0.0591861991584301","0.0591861991584301","0.0591861991584301"
"800","0.05947265729308129","0.05947265729308129","0.05947265729308129"
"900","0.06051757961511612","0.06051757961511612","0.06051757961511612"
"1000","0.060403647124767305","0.060403647124767305","0.060403647124767305"
"1100","0.061051433980464934","0.061051433980464934","0.061051433980464934"
"1200","0.0611393241584301","0.0611393241584301","0.0611393241584301"
"1300","0.062207033187150956","0.062207033187150956","0.062207033187150956"
"1400","0.05991211071610451","0.05991211071610451","0.05991211071610451"
"1500","0.06241862088441849","0.06241862088441849","0.06241862088441849"
"1600","0.06234700694680214","0.06234700694680214","0.06234700694680214"
"1700","0.06324869960546493","0.06324869960546493","0.06324869960546493"
"1800","0.06231771007180214","0.06231771007180214","0.06231771007180214"
"1900","0.06310221537947655","0.06310221537947655","0.06310221537947655"
"2000","0.06317057520151138","0.06317057520151138","0.06317057520151138"
"2100","0.06297526210546493","0.06297526210546493","0.06297526210546493"
"2200","0.06345052286982536","0.06345052286982536","0.06345052286982536"
"2300","0.06385742411017419","0.06385742411017419","0.06385742411017419"
"2400","0.06301432475447655","0.06301432475447655","0.06301432475447655"
"2500","0.0640983098745346","0.0640983098745346","0.0640983098745346"
"2600","0.06415364757180214","0.06415364757180214","0.06415364757180214"
"2700","0.06322265759110451","0.06322265759110451","0.06322265759110451"
"2800","0.06470377877354622","0.06470377877354622","0.06470377877354622"
"2900","0.06518880411982536","0.06518880411982536","0.06518880411982536"
"3000","0.06504232048988343","0.06504232048988343","0.06504232048988343"
"3100","0.06481771066784858","0.06481771066784858","0.06481771066784858"
"3200","0.06495442941784858","0.06495442941784858","0.06495442941784858"
"3300","0.06650716364383698","0.06650716364383698","0.06650716364383698"
"3400","0.06551758036017417","0.06551758036017417","0.06551758036017417"
"3500","0.0662369817495346","0.0662369817495346","0.0662369817495346"
"3600","0.06596354335546493","0.06596354335546493","0.06596354335546493"
"3700","0.06552734598517418","0.06552734598517418","0.06552734598517418"
"3800","0.066246747225523","0.066246747225523","0.066246747225523"
"3900","0.06707031473517418","0.06707031473517418","0.06707031473517418"
"4000","0.06607096657156944","0.06607096657156944","0.06607096657156944"
"4100","0.06753255426883698","0.06753255426883698","0.06753255426883698"
"4200","0.0660546900331974","0.0660546900331974","0.0660546900331974"
