"Step","counting_medium_encoder_nope_perm_variant_0 - accuracy","counting_medium_encoder_nope_perm_variant_0 - accuracy__MIN","counting_medium_encoder_nope_perm_variant_0 - accuracy__MAX"
"100","0.2729199308156967","0.2729199308156967","0.2729199308156967"
"200","0.2926823002099991","0.2926823002099991","0.2926823002099991"
"300","0.33423503637313845","0.33423503637313845","0.33423503637313845"
"400","0.3726237079501152","0.3726237079501152","0.3726237079501152"
"500","0.40260092198848724","0.40260092198848724","0.40260092198848724"
"600","0.447428395152092","0.447428395152092","0.447428395152092"
"700","0.4752050876617432","0.4752050876617432","0.4752050876617432"
"800","0.4973632934689522","0.4973632934689522","0.4973632934689522"
"900","0.5369498908519745","0.5369498908519745","0.5369498908519745"
"1000","0.5573014539480209","0.5573014539480209","0.5573014539480209"
"1100","0.5789095228910446","0.5789095228910446","0.5789095228910446"
"1200","0.5914583551883698","0.5914583551883698","0.5914583551883698"
"1300","0.6094531428813934","0.6094531428813934","0.6094531428813934"
"1400","0.6237369966506958","0.6237369966506958","0.6237369966506958"
"1500","0.6369075727462769","0.6369075727462769","0.6369075727462769"
"1600","0.6460286647081375","0.6460286647081375","0.6460286647081375"
"1700","0.6620833510160447","0.6620833510160447","0.6620833510160447"
"1800","0.6710579615831375","0.6710579615831375","0.6710579615831375"
"1900","0.682786477804184","0.682786477804184","0.682786477804184"
"2000","0.6862109589576721","0.6862109589576721","0.6862109589576721"
"2100","0.6953190296888352","0.6953190296888352","0.6953190296888352"
"2200","0.7034635615348815","0.7034635615348815","0.7034635615348815"
"2300","0.7140234559774399","0.7140234559774399","0.7140234559774399"
"2400","0.7140462392568588","0.7140462392568588","0.7140462392568588"
"2500","0.7253711146116256","0.7253711146116256","0.7253711146116256"
"2600","0.736455095410347","0.736455095410347","0.736455095410347"
"2700","0.7360188978910446","0.7360188978910446","0.7360188978910446"
"2800","0.740778015255928","0.740778015255928","0.740778015255928"
"2900","0.7427799719572067","0.7427799719572067","0.7427799719572067"
"3000","0.7520670765638351","0.7520670765638351","0.7520670765638351"
"3100","0.7510677289962768","0.7510677289962768","0.7510677289962768"
"3200","0.7568099194765091","0.7568099194765091","0.7568099194765091"
"3300","0.7667806190252304","0.7667806190252304","0.7667806190252304"
"3400","0.7708821827173233","0.7708821827173233","0.7708821827173233"
"3500","0.7662760609388352","0.7662760609388352","0.7662760609388352"
"3600","0.7735872572660446","0.7735872572660446","0.7735872572660446"
"3700","0.7804850465059281","0.7804850465059281","0.7804850465059281"
"3800","0.7780989795923233","0.7780989795923233","0.7780989795923233"
"3900","0.7830208545923233","0.7830208545923233","0.7830208545923233"
"4000","0.7897851753234864","0.7897851753234864","0.7897851753234864"
"4100","0.7880631709098815","0.7880631709098815","0.7880631709098815"
"4200","0.792278665304184","0.792278665304184","0.792278665304184"
"4300","0.7968652564287185","0.7968652564287185","0.7968652564287185"
"4400","0.8001790559291839","0.8001790559291839","0.8001790559291839"
"4500","0.7998828291893005","0.7998828291893005","0.7998828291893005"
"4600","0.8007259321212769","0.8007259321212769","0.8007259321212769"
"4700","0.8017382991313934","0.8017382991313934","0.8017382991313934"
"4800","0.802929704785347","0.802929704785347","0.802929704785347"
"4900","0.8045638227462768","0.8045638227462768","0.8045638227462768"
"5000","0.8053873896598815","0.8053873896598815","0.8053873896598815"
"5100","0.8096582227945328","0.8096582227945328","0.8096582227945328"
"5200","0.8081347858905792","0.8081347858905792","0.8081347858905792"
"5300","0.805266946554184","0.805266946554184","0.805266946554184"
"5400","0.8071679878234863","0.8071679878234863","0.8071679878234863"
"5500","0.8132291877269745","0.8132291877269745","0.8132291877269745"
"5600","0.8097591364383697","0.8097591364383697","0.8097591364383697"
"5700","0.8094043159484863","0.8094043159484863","0.8094043159484863"
"5800","0.8101823127269745","0.8101823127269745","0.8101823127269745"
"5900","0.8111523634195328","0.8111523634195328","0.8111523634195328"
"6000","0.8133040565252304","0.8133040565252304","0.8133040565252304"
"6100","0.8115462446212769","0.8115462446212769","0.8115462446212769"
"6200","0.813811868429184","0.813811868429184","0.813811868429184"
"6300","0.8165787959098816","0.8165787959098816","0.8165787959098816"
"6400","0.8136230647563935","0.8136230647563935","0.8136230647563935"
"6500","0.8133138197660447","0.8133138197660447","0.8133138197660447"
"6600","0.8118034029006957","0.8118034029006957","0.8118034029006957"
"6700","0.813509134054184","0.813509134054184","0.813509134054184"
"6800","0.818089212179184","0.818089212179184","0.818089212179184"
"6900","0.816585304737091","0.816585304737091","0.816585304737091"
"7000","0.8173567920923233","0.8173567920923233","0.8173567920923233"
"7100","0.8160123908519745","0.8160123908519745","0.8160123908519745"
"7200","0.8189518404006958","0.8189518404006958","0.8189518404006958"
"7300","0.8192708522081376","0.8192708522081376","0.8192708522081376"
"7400","0.8187467634677887","0.8187467634677887","0.8187467634677887"
"7500","0.8188672059774399","0.8188672059774399","0.8188672059774399"
"7600","0.8192578345537186","0.8192578345537186","0.8192578345537186"
"7700","0.8208431208133697","0.8208431208133697","0.8208431208133697"
"7800","0.8196224188804626","0.8196224188804626","0.8196224188804626"
"7900","0.8216992390155792","0.8216992390155792","0.8216992390155792"
"8000","0.8208854359388351","0.8208854359388351","0.8208854359388351"
"8100","0.8188932484388352","0.8188932484388352","0.8188932484388352"
"8200","0.823889992237091","0.823889992237091","0.823889992237091"
"8300","0.8188411682844162","0.8188411682844162","0.8188411682844162"
"8400","0.8239355665445328","0.8239355665445328","0.8239355665445328"
"8500","0.819241554737091","0.819241554737091","0.819241554737091"
"8600","0.8232096552848815","0.8232096552848815","0.8232096552848815"
"8700","0.823304055929184","0.823304055929184","0.823304055929184"
"8800","0.8227571803331375","0.8227571803331375","0.8227571803331375"
"8900","0.8247396057844162","0.8247396057844162","0.8247396057844162"
"9000","0.8259635585546493","0.8259635585546493","0.8259635585546493"
"9100","0.8245638203620911","0.8245638203620911","0.8245638203620911"
"9200","0.8224153846502305","0.8224153846502305","0.8224153846502305"
"9300","0.826240257024765","0.826240257024765","0.826240257024765"
"9400","0.8256282770633697","0.8256282770633697","0.8256282770633697"
"9500","0.8267610883712768","0.8267610883712768","0.8267610883712768"
"9600","0.8246224129199982","0.8246224129199982","0.8246224129199982"
"9700","0.8257715010643005","0.8257715010643005","0.8257715010643005"
"9800","0.8289648646116257","0.8289648646116257","0.8289648646116257"
"9900","0.8255794495344162","0.8255794495344162","0.8255794495344162"
"10000","0.8282129108905792","0.8282129108905792","0.8282129108905792"
