"Step","counting_medium_encoder_perm_invariant_0 - loss","counting_medium_encoder_perm_invariant_0 - loss__MIN","counting_medium_encoder_perm_invariant_0 - loss__MAX"
"100","1.7184688818454743","1.7184688818454743","1.7184688818454743"
"200","0.6898285233974457","0.6898285233974457","0.6898285233974457"
"300","0.31388375103473665","0.31388375103473665","0.31388375103473665"
"400","0.38043972752988336","0.38043972752988336","0.38043972752988336"
"500","0.4766923224180937","0.4766923224180937","0.4766923224180937"
"600","0.1705523319914937","0.1705523319914937","0.1705523319914937"
"700","0.12594567762687803","0.12594567762687803","0.12594567762687803"
"800","0.1752631734497845","0.1752631734497845","0.1752631734497845"
"900","0.09816734071820975","0.09816734071820975","0.09816734071820975"
"1000","0.22407188324257732","0.22407188324257732","0.22407188324257732"
"1100","0.12366390651091934","0.12366390651091934","0.12366390651091934"
"1200","0.051207821434363726","0.051207821434363726","0.051207821434363726"
"1300","0.0797231082431972","0.0797231082431972","0.0797231082431972"
"1400","0.24526998874731362","0.24526998874731362","0.24526998874731362"
"1500","0.08231319222599268","0.08231319222599268","0.08231319222599268"
"1600","0.07189155161846429","0.07189155161846429","0.07189155161846429"
"1700","0.036553872115910054","0.036553872115910054","0.036553872115910054"
"1800","0.14849878799170255","0.14849878799170255","0.14849878799170255"
"1900","0.05436292849946767","0.05436292849946767","0.05436292849946767"
"2000","0.0720449141273275","0.0720449141273275","0.0720449141273275"
"2100","0.027600446564611046","0.027600446564611046","0.027600446564611046"
"2200","0.04074240788351744","0.04074240788351744","0.04074240788351744"
"2300","0.06951573191210628","0.06951573191210628","0.06951573191210628"
"2400","0.005876230528810993","0.005876230528810993","0.005876230528810993"
"2500","0.06862529497593642","0.06862529497593642","0.06862529497593642"
"2600","0.006864372760755941","0.006864372760755941","0.006864372760755941"
"2700","0.013552455662284047","0.013552455662284047","0.013552455662284047"
"2800","0.0365922582661733","0.0365922582661733","0.0365922582661733"
"2900","0.0068324624933302405","0.0068324624933302405","0.0068324624933302405"
"3000","0.025294342840788887","0.025294342840788887","0.025294342840788887"
"3100","0.0037544429395347835","0.0037544429395347835","0.0037544429395347835"
"3200","0.021135448949644343","0.021135448949644343","0.021135448949644343"
"3300","0.0041759479878237474","0.0041759479878237474","0.0041759479878237474"
"3400","0.019948468807851897","0.019948468807851897","0.019948468807851897"
"3500","0.002865506274392828","0.002865506274392828","0.002865506274392828"
"3600","0.006298930243647191","0.006298930243647191","0.006298930243647191"
"3700","0.00513515871076379","0.00513515871076379","0.00513515871076379"
"3800","0.007738743759691715","0.007738743759691715","0.007738743759691715"
"3900","0.002272786742541939","0.002272786742541939","0.002272786742541939"
"4000","0.003171347733878065","0.003171347733878065","0.003171347733878065"
"4100","0.0035421143379062415","0.0035421143379062415","0.0035421143379062415"
"4200","0.004049543219443876","0.004049543219443876","0.004049543219443876"
"4300","0.002090142852975987","0.002090142852975987","0.002090142852975987"
"4400","0.0031378921811119655","0.0031378921811119655","0.0031378921811119655"
"4500","0.0019881829255609775","0.0019881829255609775","0.0019881829255609775"
"4600","0.0025004364020423963","0.0025004364020423963","0.0025004364020423963"
"4700","0.0012931350906728767","0.0012931350906728767","0.0012931350906728767"
"4800","0.0012176015734439716","0.0012176015734439716","0.0012176015734439716"
"4900","0.002264246919658035","0.002264246919658035","0.002264246919658035"
"5000","0.0020617819592007435","0.0020617819592007435","0.0020617819592007435"
"5100","0.002089943599421531","0.002089943599421531","0.002089943599421531"
"5200","0.0016133480890130158","0.0016133480890130158","0.0016133480890130158"
"5300","0.0012570828557363712","0.0012570828557363712","0.0012570828557363712"
"5400","0.0022936069119896276","0.0022936069119896276","0.0022936069119896276"
"5500","0.0017272475409845355","0.0017272475409845355","0.0017272475409845355"
"5600","0.000722755401802715","0.000722755401802715","0.000722755401802715"
"5700","0.0014574316922517027","0.0014574316922517027","0.0014574316922517027"
"5800","0.0014772565619205124","0.0014772565619205124","0.0014772565619205124"
"5900","0.0022590716918057295","0.0022590716918057295","0.0022590716918057295"
"6000","0.0008908604980388191","0.0008908604980388191","0.0008908604980388191"
"6100","0.0008079835322860162","0.0008079835322860162","0.0008079835322860162"
"6200","0.002054995223006699","0.002054995223006699","0.002054995223006699"
"6300","0.0008240122944698669","0.0008240122944698669","0.0008240122944698669"
"6400","0.001702921290852828","0.001702921290852828","0.001702921290852828"
"6500","0.0011711851325526368","0.0011711851325526368","0.0011711851325526368"
"6600","0.0012327978517714655","0.0012327978517714655","0.0012327978517714655"
"6700","0.001965127563889837","0.001965127563889837","0.001965127563889837"
"6800","0.0005045739086199319","0.0005045739086199319","0.0005045739086199319"
"6900","0.0017957279932306848","0.0017957279932306848","0.0017957279932306848"
"7000","0.0010203010015538893","0.0010203010015538893","0.0010203010015538893"
"7100","0.0003717185983987292","0.0003717185983987292","0.0003717185983987292"
"7200","0.0012713544197322335","0.0012713544197322335","0.0012713544197322335"
"7300","0.0017569721017207485","0.0017569721017207485","0.0017569721017207485"
"7400","0.0012992534766090103","0.0012992534766090103","0.0012992534766090103"
"7500","0.0011579305496707093","0.0011579305496707093","0.0011579305496707093"
"7600","0.0015504948064335622","0.0015504948064335622","0.0015504948064335622"
"7700","0.002006732564186677","0.002006732564186677","0.002006732564186677"
"7800","0.0007072662127029616","0.0007072662127029616","0.0007072662127029616"
"7900","0.0011918382918520364","0.0011918382918520364","0.0011918382918520364"
"8000","0.005913241311791353","0.005913241311791353","0.005913241311791353"
"8100","0.0005265092491026735","0.0005265092491026735","0.0005265092491026735"
"8200","0.00048439158061228224","0.00048439158061228224","0.00048439158061228224"
"8300","0.0005502466933103279","0.0005502466933103279","0.0005502466933103279"
"8400","0.000781987930095056","0.000781987930095056","0.000781987930095056"
"8500","0.0008806386796641163","0.0008806386796641163","0.0008806386796641163"
"8600","0.0024152621166285827","0.0024152621166285827","0.0024152621166285827"
"8700","0.0004491114027769072","0.0004491114027769072","0.0004491114027769072"
"8800","0.0004884650970780058","0.0004884650970780058","0.0004884650970780058"
