"Step","counting_extra_small_decoder_nope_perm_variant_0 - loss","counting_extra_small_decoder_nope_perm_variant_0 - loss__MIN","counting_extra_small_decoder_nope_perm_variant_0 - loss__MAX"
"100","2.7651205039024354","2.7651205039024354","2.7651205039024354"
"200","1.9024498510360717","1.9024498510360717","1.9024498510360717"
"300","1.683870929479599","1.683870929479599","1.683870929479599"
"400","1.4339877212047576","1.4339877212047576","1.4339877212047576"
"500","1.2244742619991302","1.2244742619991302","1.2244742619991302"
"600","1.053647556900978","1.053647556900978","1.053647556900978"
"700","0.9380612623691559","0.9380612623691559","0.9380612623691559"
"800","0.8095267367362976","0.8095267367362976","0.8095267367362976"
"900","0.7221444046497345","0.7221444046497345","0.7221444046497345"
"1000","0.6398558861017227","0.6398558861017227","0.6398558861017227"
"1100","0.573236668407917","0.573236668407917","0.573236668407917"
"1200","0.5135802626609802","0.5135802626609802","0.5135802626609802"
"1300","0.4575143140554428","0.4575143140554428","0.4575143140554428"
"1400","0.3989561465382576","0.3989561465382576","0.3989561465382576"
"1500","0.3618890005350113","0.3618890005350113","0.3618890005350113"
"1600","0.3269145961105824","0.3269145961105824","0.3269145961105824"
"1700","0.2956435440480709","0.2956435440480709","0.2956435440480709"
"1800","0.2708696594834328","0.2708696594834328","0.2708696594834328"
"1900","0.24774722769856453","0.24774722769856453","0.24774722769856453"
"2000","0.23017456859350205","0.23017456859350205","0.23017456859350205"
"2100","0.22268950685858727","0.22268950685858727","0.22268950685858727"
"2200","0.1959616206586361","0.1959616206586361","0.1959616206586361"
"2300","0.18659140966832638","0.18659140966832638","0.18659140966832638"
"2400","0.1675099728256464","0.1675099728256464","0.1675099728256464"
"2500","0.16379657499492167","0.16379657499492167","0.16379657499492167"
"2600","0.15417001582682133","0.15417001582682133","0.15417001582682133"
"2700","0.13538230367004872","0.13538230367004872","0.13538230367004872"
"2800","0.1440662767738104","0.1440662767738104","0.1440662767738104"
"2900","0.12362864002585411","0.12362864002585411","0.12362864002585411"
"3000","0.115330268740654","0.115330268740654","0.115330268740654"
"3100","0.11539765752851963","0.11539765752851963","0.11539765752851963"
"3200","0.11400073945522309","0.11400073945522309","0.11400073945522309"
"3300","0.10350385446101427","0.10350385446101427","0.10350385446101427"
"3400","0.09909258157014847","0.09909258157014847","0.09909258157014847"
"3500","0.09845236420631409","0.09845236420631409","0.09845236420631409"
"3600","0.09233731340616941","0.09233731340616941","0.09233731340616941"
"3700","0.08951666992157697","0.08951666992157697","0.08951666992157697"
"3800","0.08371420256793499","0.08371420256793499","0.08371420256793499"
"3900","0.08403632130473852","0.08403632130473852","0.08403632130473852"
"4000","0.07569788690656423","0.07569788690656423","0.07569788690656423"
"4100","0.07202631503343582","0.07202631503343582","0.07202631503343582"
"4200","0.0738089706748724","0.0738089706748724","0.0738089706748724"
"4300","0.0692262988910079","0.0692262988910079","0.0692262988910079"
"4400","0.07199316523969174","0.07199316523969174","0.07199316523969174"
"4500","0.06754239059984685","0.06754239059984685","0.06754239059984685"
"4600","0.06676397792994976","0.06676397792994976","0.06676397792994976"
"4700","0.06420478995889425","0.06420478995889425","0.06420478995889425"
"4800","0.06548460144549609","0.06548460144549609","0.06548460144549609"
"4900","0.063098060823977","0.063098060823977","0.063098060823977"
"5000","0.06272315729409456","0.06272315729409456","0.06272315729409456"
"5100","0.060288090631365775","0.060288090631365775","0.060288090631365775"
"5200","0.058065429143607614","0.058065429143607614","0.058065429143607614"
"5300","0.05829791929572821","0.05829791929572821","0.05829791929572821"
"5400","0.05814135212451219","0.05814135212451219","0.05814135212451219"
"5500","0.05585262894630432","0.05585262894630432","0.05585262894630432"
"5600","0.057809683643281456","0.057809683643281456","0.057809683643281456"
"5700","0.05695030461996794","0.05695030461996794","0.05695030461996794"
"5800","0.05523313470184803","0.05523313470184803","0.05523313470184803"
"5900","0.05727516151964664","0.05727516151964664","0.05727516151964664"
"6000","0.055739136412739754","0.055739136412739754","0.055739136412739754"
"6100","0.055132195949554444","0.055132195949554444","0.055132195949554444"
