"Step","reversed_addition_len_gen_extra_small_deep_decoder_2_fixed - val_loss","reversed_addition_len_gen_extra_small_deep_decoder_2_fixed - val_loss__MIN","reversed_addition_len_gen_extra_small_deep_decoder_2_fixed - val_loss__MAX"
"500","2.0808086299896242","2.0808086299896242","2.0808086299896242"
"1000","2.0625851726531983","2.0625851726531983","2.0625851726531983"
"1500","2.0455523204803465","2.0455523204803465","2.0455523204803465"
"2000","2.0400641918182374","2.0400641918182374","2.0400641918182374"
"2500","2.0228913497924803","2.0228913497924803","2.0228913497924803"
"3000","2.0155868625640867","2.0155868625640867","2.0155868625640867"
"3500","2.0344589233398436","2.0344589233398436","2.0344589233398436"
"4000","1.8195927619934082","1.8195927619934082","1.8195927619934082"
"4500","1.8025292205810546","1.8025292205810546","1.8025292205810546"
"5000","1.7848901081085204","1.7848901081085204","1.7848901081085204"
"5500","1.773308925628662","1.773308925628662","1.773308925628662"
"6000","1.76486985206604","1.76486985206604","1.76486985206604"
"6500","1.7622457551956177","1.7622457551956177","1.7622457551956177"
"7000","1.7409619522094726","1.7409619522094726","1.7409619522094726"
"7500","1.7298106861114502","1.7298106861114502","1.7298106861114502"
"8000","1.8301740884780884","1.8301740884780884","1.8301740884780884"
"8500","1.7269467210769653","1.7269467210769653","1.7269467210769653"
"9000","1.702844696044922","1.702844696044922","1.702844696044922"
"9500","1.6490077781677246","1.6490077781677246","1.6490077781677246"
"10000","1.6019352197647094","1.6019352197647094","1.6019352197647094"
"10500","1.5574121189117431","1.5574121189117431","1.5574121189117431"
"11000","1.6459721946716308","1.6459721946716308","1.6459721946716308"
"11500","1.5083360481262207","1.5083360481262207","1.5083360481262207"
"12000","1.4951826763153075","1.4951826763153075","1.4951826763153075"
"12500","1.4923622512817383","1.4923622512817383","1.4923622512817383"
"13000","1.4970938920974732","1.4970938920974732","1.4970938920974732"
"13500","1.5589926528930664","1.5589926528930664","1.5589926528930664"
"14000","1.5684829568862915","1.5684829568862915","1.5684829568862915"
"14500","1.4860915517807007","1.4860915517807007","1.4860915517807007"
"15000","1.5074568700790405","1.5074568700790405","1.5074568700790405"
"15500","1.5259640407562256","1.5259640407562256","1.5259640407562256"
"16000","1.5158021879196166","1.5158021879196166","1.5158021879196166"
"16500","1.5091502714157103","1.5091502714157103","1.5091502714157103"
"17000","1.4976896953582763","1.4976896953582763","1.4976896953582763"
"17500","1.4859245777130128","1.4859245777130128","1.4859245777130128"
"18000","1.4849990320205688","1.4849990320205688","1.4849990320205688"
"18500","1.4913116121292114","1.4913116121292114","1.4913116121292114"
"19000","1.4785056352615356","1.4785056352615356","1.4785056352615356"
"19500","1.4851486921310424","1.4851486921310424","1.4851486921310424"
"20000","1.4838189268112183","1.4838189268112183","1.4838189268112183"
"20500","1.4838895177841187","1.4838895177841187","1.4838895177841187"
"21000","1.478650369644165","1.478650369644165","1.478650369644165"
"21500","1.4796150588989259","1.4796150588989259","1.4796150588989259"
"22000","1.4794279527664185","1.4794279527664185","1.4794279527664185"
"22500","1.4813344621658324","1.4813344621658324","1.4813344621658324"
"23000","1.4842604732513427","1.4842604732513427","1.4842604732513427"
"23500","1.482994418144226","1.482994418144226","1.482994418144226"
"24000","1.4927760648727417","1.4927760648727417","1.4927760648727417"
"24500","1.4861302614212035","1.4861302614212035","1.4861302614212035"
"25000","1.4783416509628295","1.4783416509628295","1.4783416509628295"
"25500","1.4914717149734498","1.4914717149734498","1.4914717149734498"
"26000","1.4826802539825439","1.4826802539825439","1.4826802539825439"
"26500","1.4841685152053834","1.4841685152053834","1.4841685152053834"
