"Step","counting_extra_small_encoder_perm_variant_0 - accuracy","counting_extra_small_encoder_perm_variant_0 - accuracy__MIN","counting_extra_small_encoder_perm_variant_0 - accuracy__MAX"
"100","0.2710026142001152","0.2710026142001152","0.2710026142001152"
"200","0.35854167729616165","0.35854167729616165","0.35854167729616165"
"300","0.464342457652092","0.464342457652092","0.464342457652092"
"400","0.5581673401594162","0.5581673401594162","0.5581673401594162"
"500","0.6435872596502304","0.6435872596502304","0.6435872596502304"
"600","0.7424218946695328","0.7424218946695328","0.7424218946695328"
"700","0.7305501472949981","0.7305501472949981","0.7305501472949981"
"800","0.8404297077655792","0.8404297077655792","0.8404297077655792"
"900","0.8725162953138351","0.8725162953138351","0.8725162953138351"
"1000","0.8800065302848816","0.8800065302848816","0.8800065302848816"
"1100","0.8943554896116257","0.8943554896116257","0.8943554896116257"
"1200","0.9209635627269744","0.9209635627269744","0.9209635627269744"
"1300","0.9341731983423233","0.9341731983423233","0.9341731983423233"
"1400","0.9356543135643005","0.9356543135643005","0.9356543135643005"
"1500","0.9324642127752304","0.9324642127752304","0.9324642127752304"
"1600","0.9467090010643006","0.9467090010643006","0.9467090010643006"
"1700","0.9660254108905793","0.9660254108905793","0.9660254108905793"
"1800","0.9670247608423232","0.9670247608423232","0.9670247608423232"
"1900","0.945693382024765","0.945693382024765","0.945693382024765"
"2000","0.9743587452173234","0.9743587452173234","0.9743587452173234"
"2100","0.9364127784967422","0.9364127784967422","0.9364127784967422"
"2200","0.9797721529006957","0.9797721529006957","0.9797721529006957"
"2300","0.9338021034002304","0.9338021034002304","0.9338021034002304"
"2400","0.981627625823021","0.981627625823021","0.981627625823021"
"2500","0.9810807496309281","0.9810807496309281","0.9810807496309281"
"2600","0.9819270998239518","0.9819270998239518","0.9819270998239518"
"2700","0.9845670765638351","0.9845670765638351","0.9845670765638351"
"2800","0.9846159034967422","0.9846159034967422","0.9846159034967422"
"2900","0.9762500190734863","0.9762500190734863","0.9762500190734863"
"3000","0.9863932484388351","0.9863932484388351","0.9863932484388351"
"3100","0.9833756721019745","0.9833756721019745","0.9833756721019745"
"3200","0.9871224159002304","0.9871224159002304","0.9871224159002304"
"3300","0.9881836146116256","0.9881836146116256","0.9881836146116256"
"3400","0.9885774940252304","0.9885774940252304","0.9885774940252304"
"3500","0.9889192926883698","0.9889192926883698","0.9889192926883698"
"3600","0.9894433814287186","0.9894433814287186","0.9894433814287186"
"3700","0.9898274940252304","0.9898274940252304","0.9898274940252304"
"3800","0.9893261909484863","0.9893261909484863","0.9893261909484863"
"3900","0.989954446554184","0.989954446554184","0.989954446554184"
"4000","0.9901985895633697","0.9901985895633697","0.9901985895633697"
"4100","0.9901595282554626","0.9901595282554626","0.9901595282554626"
"4200","0.9910221564769744","0.9910221564769744","0.9910221564769744"
"4300","0.9906412959098816","0.9906412959098816","0.9906412959098816"
"4400","0.9915136903524399","0.9915136903524399","0.9915136903524399"
"4500","0.9916731947660447","0.9916731947660447","0.9916731947660447"
"4600","0.9918847841024399","0.9918847841024399","0.9918847841024399"
"4700","0.9912402534484863","0.9912402534484863","0.9912402534484863"
"4800","0.9917708522081375","0.9917708522081375","0.9917708522081375"
"4900","0.9921452021598816","0.9921452021598816","0.9921452021598816"
"5000","0.9918164229393005","0.9918164229393005","0.9918164229393005"
"5100","0.9922428596019744","0.9922428596019744","0.9922428596019744"
"5200","0.9920377814769745","0.9920377814769745","0.9920377814769745"
"5300","0.9921354389190674","0.9921354389190674","0.9921354389190674"
"5400","0.9923307478427887","0.9923307478427887","0.9923307478427887"
"5500","0.9924674689769745","0.9924674689769745","0.9924674689769745"
"5600","0.9925976765155792","0.9925976765155792","0.9925976765155792"
"5700","0.9931347864866257","0.9931347864866257","0.9931347864866257"
"5800","0.9933170771598816","0.9933170771598816","0.9933170771598816"
"5900","0.9933040553331375","0.9933040553331375","0.9933040553331375"
"6000","0.993613298535347","0.993613298535347","0.993613298535347"
"6100","0.9932422095537186","0.9932422095537186","0.9932422095537186"
"6200","0.9937077051401139","0.9937077051401139","0.9937077051401139"
"6300","0.9944954603910446","0.9944954603910446","0.9944954603910446"
"6400","0.9941341358423234","0.9941341358423234","0.9941341358423234"
"6500","0.9935449409484863","0.9935449409484863","0.9935449409484863"
"6600","0.9939030128717422","0.9939030128717422","0.9939030128717422"
"6700","0.9941406446695328","0.9941406446695328","0.9941406446695328"
"6800","0.9928711128234863","0.9928711128234863","0.9928711128234863"
"6900","0.9944954609870911","0.9944954609870911","0.9944954609870911"
"7000","0.9946093958616257","0.9946093958616257","0.9946093958616257"
"7100","0.9943261921405793","0.9943261921405793","0.9943261921405793"
"7200","0.9947591346502304","0.9947591346502304","0.9947591346502304"
"7300","0.9945931178331375","0.9945931178331375","0.9945931178331375"
"7400","0.994934915304184","0.994934915304184","0.994934915304184"
"7500","0.9950651234388351","0.9950651234388351","0.9950651234388351"
"7600","0.9948209828138351","0.9948209828138351","0.9948209828138351"
"7700","0.9945735895633697","0.9945735895633697","0.9945735895633697"
"7800","0.994648453593254","0.994648453593254","0.994648453593254"
"7900","0.9949609559774398","0.9949609559774398","0.9949609559774398"
"8000","0.9951399940252305","0.9951399940252305","0.9951399940252305"
"8100","0.9950488483905793","0.9950488483905793","0.9950488483905793"
"8200","0.9947851753234863","0.9947851753234863","0.9947851753234863"
"8300","0.9951660352945327","0.9951660352945327","0.9951660352945327"
"8400","0.9950293183326722","0.9950293183326722","0.9950293183326722"
"8500","0.9947721540927887","0.9947721540927887","0.9947721540927887"
"8600","0.9952962470054626","0.9952962470054626","0.9952962470054626"
"8700","0.9949674707651138","0.9949674707651138","0.9949674707651138"
"8800","0.9952571827173233","0.9952571827173233","0.9952571827173233"
"8900","0.9952636939287186","0.9952636939287186","0.9952636939287186"
"9000","0.9954883027076721","0.9954883027076721","0.9954883027076721"
"9100","0.9940983259677887","0.9940983259677887","0.9940983259677887"
"9200","0.9951399940252305","0.9951399940252305","0.9951399940252305"
"9300","0.9952604353427887","0.9952604353427887","0.9952604353427887"
"9400","0.9954036682844162","0.9954036682844162","0.9954036682844162"
"9500","0.994954446554184","0.994954446554184","0.994954446554184"
"9600","0.9954297053813934","0.9954297053813934","0.9954297053813934"
"9700","0.9953222835063934","0.9953222835063934","0.9953222835063934"
"9800","0.9954427266120911","0.9954427266120911","0.9954427266120911"
"9900","0.9953385609388351","0.9953385609388351","0.9953385609388351"
"10000","0.9948567932844162","0.9948567932844162","0.9948567932844162"
