"Step","counting_medium_encoder_perm_variant_0 - accuracy","counting_medium_encoder_perm_variant_0 - accuracy__MIN","counting_medium_encoder_perm_variant_0 - accuracy__MAX"
"8600","0.9956901234388351","0.9956901234388351","0.9956901234388351"
"8700","0.9959017133712769","0.9959017133712769","0.9959017133712769"
"8800","0.9960612201690674","0.9960612201690674","0.9960612201690674"
"8900","0.9961686372756958","0.9961686372756958","0.9961686372756958"
"9000","0.996389993429184","0.996389993429184","0.996389993429184"
"9100","0.9961914253234864","0.9961914253234864","0.9961914253234864"
"9200","0.9959993696212769","0.9959993696212769","0.9959993696212769"
"9300","0.9962890833616257","0.9962890833616257","0.9962890833616257"
"9400","0.9961523640155793","0.9961523640155793","0.9961523640155793"
"9500","0.9959082210063934","0.9959082210063934","0.9959082210063934"
"9600","0.9958659070730209","0.9958659070730209","0.9958659070730209"
"9700","0.9961979371309281","0.9961979371309281","0.9961979371309281"
"9800","0.9962174689769745","0.9962174689769745","0.9962174689769745"
"9900","0.9962304890155792","0.9962304890155792","0.9962304890155792"
"10000","0.9961002808809281","0.9961002808809281","0.9961002808809281"
