"Step","counting_medium_encoder_perm_variant_0 - accuracy","counting_medium_encoder_perm_variant_0 - accuracy__MIN","counting_medium_encoder_perm_variant_0 - accuracy__MAX"
"100","0.2574479265511036","0.2574479265511036","0.2574479265511036"
"200","0.5882975494861603","0.5882975494861603","0.5882975494861603"
"300","0.794651712179184","0.794651712179184","0.794651712179184"
"400","0.9211067897081375","0.9211067897081375","0.9211067897081375"
"500","0.8400976759195328","0.8400976759195328","0.8400976759195328"
"600","0.5102311363816261","0.5102311363816261","0.5102311363816261"
"700","0.8887500184774398","0.8887500184774398","0.8887500184774398"
"800","0.9620084863901138","0.9620084863901138","0.9620084863901138"
"900","0.8143880385160446","0.8143880385160446","0.8143880385160446"
"1000","0.9718066591024399","0.9718066591024399","0.9718066591024399"
"1100","0.9556575727462768","0.9556575727462768","0.9556575727462768"
"1200","0.9719791877269744","0.9719791877269744","0.9719791877269744"
"1300","0.8557161647081375","0.8557161647081375","0.8557161647081375"
"1400","0.8882552307844161","0.8882552307844161","0.8882552307844161"
"1500","0.9758886969089509","0.9758886969089509","0.9758886969089509"
"1600","0.9809505373239518","0.9809505373239518","0.9809505373239518"
"1700","0.9754004108905793","0.9754004108905793","0.9754004108905793"
"1800","0.9832064020633697","0.9832064020633697","0.9832064020633697"
"1900","0.9868522346019745","0.9868522346019745","0.9868522346019745"
"2000","0.9871484571695328","0.9871484571695328","0.9871484571695328"
"2100","0.9875228083133698","0.9875228083133698","0.9875228083133698"
"2200","0.9713379102945328","0.9713379102945328","0.9713379102945328"
"2300","0.9894661641120911","0.9894661641120911","0.9894661641120911"
"2400","0.987386087179184","0.987386087179184","0.987386087179184"
"2500","0.9895149928331375","0.9895149928331375","0.9895149928331375"
"2600","0.9892676013708115","0.9892676013708115","0.9892676013708115"
"2700","0.9874381709098816","0.9874381709098816","0.9874381709098816"
"2800","0.9901237219572068","0.9901237219572068","0.9901237219572068"
"2900","0.9911425971984863","0.9911425971984863","0.9911425971984863"
"3000","0.9876106989383697","0.9876106989383697","0.9876106989383697"
"3100","0.9911946803331375","0.9911946803331375","0.9911946803331375"
"3200","0.9911393427848816","0.9911393427848816","0.9911393427848816"
"3300","0.9927994996309281","0.9927994996309281","0.9927994996309281"
"3400","0.9925162971019745","0.9925162971019745","0.9925162971019745"
"3500","0.9922168123722076","0.9922168123722076","0.9922168123722076"
"3600","0.9921647340059281","0.9921647340059281","0.9921647340059281"
"3700","0.9921289223432541","0.9921289223432541","0.9921289223432541"
"3800","0.992874368429184","0.992874368429184","0.992874368429184"
"3900","0.992506530880928","0.992506530880928","0.992506530880928"
"4000","0.9930273640155792","0.9930273640155792","0.9930273640155792"
"4100","0.9925162947177887","0.9925162947177887","0.9925162947177887"
"4200","0.9926009291410446","0.9926009291410446","0.9926009291410446"
"4300","0.9934082263708115","0.9934082263708115","0.9934082263708115"
"4400","0.9934830921888351","0.9934830921888351","0.9934830921888351"
"4500","0.9941569203138352","0.9941569203138352","0.9941569203138352"
"4600","0.9938281434774399","0.9938281434774399","0.9938281434774399"
"4700","0.9937239784002304","0.9937239784002304","0.9937239784002304"
"4800","0.9940820521116257","0.9940820521116257","0.9940820521116257"
"4900","0.9931933778524399","0.9931933778524399","0.9931933778524399"
"5000","0.9942610913515091","0.9942610913515091","0.9942610913515091"
"5100","0.9940494990348816","0.9940494990348816","0.9940494990348816"
"5200","0.9943034064769745","0.9943034064769745","0.9943034064769745"
"5300","0.9939746278524398","0.9939746278524398","0.9939746278524398"
"5400","0.9940853065252304","0.9940853065252304","0.9940853065252304"
"5500","0.9944498896598816","0.9944498896598816","0.9944498896598816"
"5600","0.993831398487091","0.993831398487091","0.993831398487091"
"5700","0.9945963740348815","0.9945963740348815","0.9945963740348815"
"5800","0.9949218970537186","0.9949218970537186","0.9949218970537186"
"5900","0.994908874630928","0.994908874630928","0.994908874630928"
"6000","0.9947005444765091","0.9947005444765091","0.9947005444765091"
"6100","0.9943912965059281","0.9943912965059281","0.9943912965059281"
"6200","0.9949186408519745","0.9949186408519745","0.9949186408519745"
"6300","0.9949023640155792","0.9949023640155792","0.9949023640155792"
"6400","0.9950000202655792","0.9950000202655792","0.9950000202655792"
"6500","0.9947200697660447","0.9947200697660447","0.9947200697660447"
"6600","0.9947168165445328","0.9947168165445328","0.9947168165445328"
"6700","0.9953841322660446","0.9953841322660446","0.9953841322660446"
"6800","0.9947689002752305","0.9947689002752305","0.9947689002752305"
"6900","0.9954752796888351","0.9954752796888351","0.9954752796888351"
"7000","0.9958170777559281","0.9958170777559281","0.9958170777559281"
"7100","0.9954687666893005","0.9954687666893005","0.9954687666893005"
"7200","0.995621765255928","0.995621765255928","0.995621765255928"
"7300","0.9960189008712769","0.9960189008712769","0.9960189008712769"
"7400","0.9958300995826721","0.9958300995826721","0.9958300995826721"
"7500","0.9956575697660446","0.9956575697660446","0.9956575697660446"
"7600","0.9957910346984863","0.9957910346984863","0.9957910346984863"
"7700","0.9951985859870911","0.9951985859870911","0.9951985859870911"
"7800","0.9958073127269745","0.9958073127269745","0.9958073127269745"
"7900","0.9957129114866257","0.9957129114866257","0.9957129114866257"
"8000","0.9959342640638351","0.9959342640638351","0.9959342640638351"
"8100","0.9955436378717423","0.9955436378717423","0.9955436378717423"
"8200","0.9958561396598816","0.9958561396598816","0.9958561396598816"
"8300","0.9956022328138352","0.9956022328138352","0.9956022328138352"
"8400","0.9959342616796494","0.9959342616796494","0.9959342616796494"
"8500","0.9959928596019745","0.9959928596019745","0.9959928596019745"
