"Step","reversed_addition_len_gen_extra_small_deep_decoder_0_fixed - train_loss","reversed_addition_len_gen_extra_small_deep_decoder_0_fixed - train_loss__MIN","reversed_addition_len_gen_extra_small_deep_decoder_0_fixed - train_loss__MAX"
"3","2.7277603149414062","2.7277603149414062","2.7277603149414062"
"6","2.711820602416992","2.711820602416992","2.711820602416992"
"12","2.6335182189941406","2.6335182189941406","2.6335182189941406"
"15","2.5917415618896484","2.5917415618896484","2.5917415618896484"
"20","2.534271240234375","2.534271240234375","2.534271240234375"
"27","2.477731704711914","2.477731704711914","2.477731704711914"
"29","2.4657363891601562","2.4657363891601562","2.4657363891601562"
"34","2.4439048767089844","2.4439048767089844","2.4439048767089844"
"38","2.429088592529297","2.429088592529297","2.429088592529297"
"40","2.427699089050293","2.427699089050293","2.427699089050293"
"45","2.4238967895507812","2.4238967895507812","2.4238967895507812"
"62","2.3959741592407227","2.3959741592407227","2.3959741592407227"
"67","2.3901195526123047","2.3901195526123047","2.3901195526123047"
"74","2.3743200302124023","2.3743200302124023","2.3743200302124023"
"76","2.376070022583008","2.376070022583008","2.376070022583008"
"78","2.3765645027160645","2.3765645027160645","2.3765645027160645"
"82","2.368063449859619","2.368063449859619","2.368063449859619"
"87","2.357635021209717","2.357635021209717","2.357635021209717"
"88","2.356536388397217","2.356536388397217","2.356536388397217"
"90","2.3505473136901855","2.3505473136901855","2.3505473136901855"
"94","2.349715232849121","2.349715232849121","2.349715232849121"
"95","2.3533196449279785","2.3533196449279785","2.3533196449279785"
"96","2.352752685546875","2.352752685546875","2.352752685546875"
"97","2.33671236038208","2.33671236038208","2.33671236038208"
"104","2.338718891143799","2.338718891143799","2.338718891143799"
"105","2.3352251052856445","2.3352251052856445","2.3352251052856445"
"109","2.320063591003418","2.320063591003418","2.320063591003418"
"110","2.320106029510498","2.320106029510498","2.320106029510498"
"118","2.316260814666748","2.316260814666748","2.316260814666748"
"121","2.313685417175293","2.313685417175293","2.313685417175293"
"124","2.2987499237060547","2.2987499237060547","2.2987499237060547"
"131","2.303802490234375","2.303802490234375","2.303802490234375"
"134","2.3014955520629883","2.3014955520629883","2.3014955520629883"
"135","2.2917160987854004","2.2917160987854004","2.2917160987854004"
"138","2.2843918800354004","2.2843918800354004","2.2843918800354004"
"141","2.273123264312744","2.273123264312744","2.273123264312744"
"149","2.260817050933838","2.260817050933838","2.260817050933838"
"155","2.2301101684570312","2.2301101684570312","2.2301101684570312"
"162","2.2277824878692627","2.2277824878692627","2.2277824878692627"
"163","2.232184410095215","2.232184410095215","2.232184410095215"
"170","2.2148702144622803","2.2148702144622803","2.2148702144622803"
"176","2.220025062561035","2.220025062561035","2.220025062561035"
"179","2.206019163131714","2.206019163131714","2.206019163131714"
"184","2.1935853958129883","2.1935853958129883","2.1935853958129883"
"186","2.190796136856079","2.190796136856079","2.190796136856079"
"194","2.174128532409668","2.174128532409668","2.174128532409668"
"195","2.1951441764831543","2.1951441764831543","2.1951441764831543"
"201","2.1919572353363037","2.1919572353363037","2.1919572353363037"
"205","2.1773946285247803","2.1773946285247803","2.1773946285247803"
"208","2.1623847484588623","2.1623847484588623","2.1623847484588623"
"209","2.1794955730438232","2.1794955730438232","2.1794955730438232"
"213","2.1527998447418213","2.1527998447418213","2.1527998447418213"
"225","2.1384711265563965","2.1384711265563965","2.1384711265563965"
"231","2.142251968383789","2.142251968383789","2.142251968383789"
"232","2.147536039352417","2.147536039352417","2.147536039352417"
"233","2.13647198677063","2.13647198677063","2.13647198677063"
"238","2.1404213905334473","2.1404213905334473","2.1404213905334473"
"240","2.1388254165649414","2.1388254165649414","2.1388254165649414"
"249","2.1407012939453125","2.1407012939453125","2.1407012939453125"
"257","2.135301113128662","2.135301113128662","2.135301113128662"
"258","2.1300296783447266","2.1300296783447266","2.1300296783447266"
"269","2.120333194732666","2.120333194732666","2.120333194732666"
"274","2.1420345306396484","2.1420345306396484","2.1420345306396484"
"289","2.120183229446411","2.120183229446411","2.120183229446411"
"291","2.118020534515381","2.118020534515381","2.118020534515381"
"300","2.106835126876831","2.106835126876831","2.106835126876831"
"305","2.1318538188934326","2.1318538188934326","2.1318538188934326"
"335","2.1180179119110107","2.1180179119110107","2.1180179119110107"
"340","2.117725133895874","2.117725133895874","2.117725133895874"
"348","2.098921060562134","2.098921060562134","2.098921060562134"
"358","2.104741334915161","2.104741334915161","2.104741334915161"
"359","2.1141247749328613","2.1141247749328613","2.1141247749328613"
"360","2.0977132320404053","2.0977132320404053","2.0977132320404053"
"362","2.112534284591675","2.112534284591675","2.112534284591675"
"364","2.0883874893188477","2.0883874893188477","2.0883874893188477"
"365","2.0882177352905273","2.0882177352905273","2.0882177352905273"
"377","2.108422040939331","2.108422040939331","2.108422040939331"
"388","2.0852012634277344","2.0852012634277344","2.0852012634277344"
"390","2.092020273208618","2.092020273208618","2.092020273208618"
"393","2.098475217819214","2.098475217819214","2.098475217819214"
"404","2.1014633178710938","2.1014633178710938","2.1014633178710938"
"405","2.102169990539551","2.102169990539551","2.102169990539551"
"409","2.0902466773986816","2.0902466773986816","2.0902466773986816"
"417","2.0900087356567383","2.0900087356567383","2.0900087356567383"
"425","2.0645618438720703","2.0645618438720703","2.0645618438720703"
"429","2.088641405105591","2.088641405105591","2.088641405105591"
"430","2.0760154724121094","2.0760154724121094","2.0760154724121094"
"432","2.0711145401000977","2.0711145401000977","2.0711145401000977"
"435","2.0834803581237793","2.0834803581237793","2.0834803581237793"
"437","2.0776281356811523","2.0776281356811523","2.0776281356811523"
"451","2.0740883350372314","2.0740883350372314","2.0740883350372314"
"452","2.080549716949463","2.080549716949463","2.080549716949463"
"458","2.0803093910217285","2.0803093910217285","2.0803093910217285"
"464","2.09006929397583","2.09006929397583","2.09006929397583"
"466","2.100893020629883","2.100893020629883","2.100893020629883"
"467","2.0783801078796387","2.0783801078796387","2.0783801078796387"
"475","2.084683895111084","2.084683895111084","2.084683895111084"
"477","2.079699993133545","2.079699993133545","2.079699993133545"
"484","2.0931127071380615","2.0931127071380615","2.0931127071380615"
"485","2.0693359375","2.0693359375","2.0693359375"
"486","2.0624172687530518","2.0624172687530518","2.0624172687530518"
"490","2.0775341987609863","2.0775341987609863","2.0775341987609863"
"491","2.0657246112823486","2.0657246112823486","2.0657246112823486"
"492","2.078446865081787","2.078446865081787","2.078446865081787"
"493","2.0722012519836426","2.0722012519836426","2.0722012519836426"
"496","2.063185453414917","2.063185453414917","2.063185453414917"
"497","2.063687801361084","2.063687801361084","2.063687801361084"
"498","2.07181453704834","2.07181453704834","2.07181453704834"
"500","2.0735955238342285","2.0735955238342285","2.0735955238342285"
"502","2.0897152423858643","2.0897152423858643","2.0897152423858643"
"504","2.0815980434417725","2.0815980434417725","2.0815980434417725"
"506","2.13196063041687","2.13196063041687","2.13196063041687"
"510","2.1036365032196045","2.1036365032196045","2.1036365032196045"
"523","2.0827393531799316","2.0827393531799316","2.0827393531799316"
"524","2.0715231895446777","2.0715231895446777","2.0715231895446777"
"531","2.0693557262420654","2.0693557262420654","2.0693557262420654"
"540","2.083880662918091","2.083880662918091","2.083880662918091"
"542","2.0655531883239746","2.0655531883239746","2.0655531883239746"
"554","2.0728085041046143","2.0728085041046143","2.0728085041046143"
"559","2.0753989219665527","2.0753989219665527","2.0753989219665527"
"569","2.064575433731079","2.064575433731079","2.064575433731079"
"585","2.1175124645233154","2.1175124645233154","2.1175124645233154"
"587","2.1086511611938477","2.1086511611938477","2.1086511611938477"
"592","2.1006381511688232","2.1006381511688232","2.1006381511688232"
"607","2.0799217224121094","2.0799217224121094","2.0799217224121094"
